maxAge,endDate,netIncome,depreciation,changeToNetincome,changeToLiabilities,totalCashFromOperatingActivities,capitalExpenditures,investments,otherCashflowsFromInvestingActivities,totalCashflowsFromInvestingActivities,netBorrowings,otherCashflowsFromFinancingActivities,totalCashFromFinancingActivities,changeInCash,dividendsPaid,type,kode,effectOfExchangeRate,repurchaseOfStock,issuanceOfStock,changeToOperatingActivities
1,2021-12-31,8223998000000,595674000000,-4741782000000,0,-35961733000000,-1214057000000.0,-7106530000000.0,-243032000000.0,-8559721000000.0,270686000000.0,54926906000000.0,52115716000000.0,7666912000000,-3081876000000.0,Q,BBCA.JK,72650000000.0,,,-43694622000000.0
1,2021-09-30,8742797000000,548677000000,10813049000000,0,-3668426000000,-482790000000.0,-14004103000000.0,7182000000.0,-14477149000000.0,368622000000.0,29761797000000.0,30130419000000.0,11963379000000,-3081876000000.0,Q,BBCA.JK,-21465000000.0,,,-20196730000000.0
1,2021-12-31,10898518000000,2006916000000,16712853000000,0,10528180000000,-1850402000000.0,-14132630000000.0,,-15656307000000.0,2666828000000.0,86950845000000.0,88669546000000.0,46432694000000,-820101000000.0,A,BBNI.JK,505258000000.0,-128026000000.0,,-15559237000000.0
1,2020-12-31,3280403000000,2576716000000,19355165000000,0,11666305000000,-1154449000000.0,-10744684000000.0,,-11992116000000.0,-13213601000000.0,62587619000000.0,45448450000000.0,45723001000000,-3846119000000.0,A,BBNI.JK,600362000000.0,-79449000000.0,,-15189921000000.0
1,2019-12-31,15384476000000,1386498000000,11330804000000,0,-45840388000000,-1625306000000.0,15235317000000.0,,13483654000000.0,-14737328000000.0,33229346000000.0,14738238000000.0,-17737434000000,-3753780000000.0,A,BBNI.JK,-118938000000.0,-79449000000.0,,-72615261000000.0
1,2018-12-31,15015118000000,1201294000000,9164850000000,0,-68459351000000,-1865628000000.0,-7871114000000.0,,-9611702000000.0,25374879000000.0,64185256000000.0,84794368000000.0,6944754000000,-4765767000000.0,A,BBNI.JK,221439000000.0,-79449000000.0,,-94611790000000.0
1,2022-06-30,4840929000000,1167831000000,9728329000000,0,72844645000000,-1045691000000.0,-7510558000000.0,,-5013866000000.0,7031032000000.0,-6485652000000.0,-2179249000000.0,65670836000000,-2724629000000.0,Q,BBNI.JK,19306000000.0,,,56152283000000.0
1,2022-03-31,3962000000000,531314000000,4046171000000,0,-27144478000000,-766606000000.0,-6057156000000.0,,-6583169000000.0,-556360000000.0,-34978257000000.0,-35534617000000.0,-69153401000000,-2724629000000.0,Q,BBNI.JK,108863000000.0,,,-37577866000000.0
1,2021-12-31,3152201000000,447914000000,5662514000000,0,-750543000000,227420000000.0,-8640382000000.0,,-8077647000000.0,-9203998000000.0,51635395000000.0,42431397000000.0,33347342000000,-2724629000000.0,Q,BBNI.JK,-255865000000.0,,,-8509014000000.0
1,2021-09-30,2719714000000,554020000000,-286286000000,0,-22344890000000,-22191000000.0,-4457001000000.0,,-4544376000000.0,8164307000000.0,29235148000000.0,37271429000000.0,10262727000000,-2724629000000.0,Q,BBNI.JK,-119436000000.0,-128026000000.0,,-25818258000000.0
1,2021-12-31,33467283000000,2759154000000,35856098000000,0,-8273328000000,-8254116000000.0,-64897492000000.0,4349000000.0,-73095605000000.0,-6289763000000.0,40861702000000.0,63505556000000.0,-17865567000000,-12125589000000.0,A,BBRI.JK,-2190000000.0,,41059206000000.0,-89520394000000.0
1,2020-12-31,21035795000000,5357833000000,34064215000000,0,-67058709000000,-4375066000000.0,-112115034000000.0,5530000000.0,-116449356000000.0,42504954000000.0,96863293000000.0,118744682000000.0,-65116261000000,-20623565000000.0,A,BBRI.JK,-352878000000.0,,41059206000000.0,-115076386000000.0
1,2019-12-31,34372609000000,1733629000000,19298094000000,0,-37323698000000,-3695364000000.0,-1498935000000.0,5857000000.0,-5188301000000.0,-1909539000000.0,81906635000000.0,63821531000000.0,21149281000000,-16175565000000.0,A,BBRI.JK,-160251000000.0,,41059206000000.0,-80090876000000.0
1,2018-12-31,32351133000000,1865317000000,9869363000000,0,-47607963000000,-1822703000000.0,-25188955000000.0,814000000.0,-27010844000000.0,11976893000000.0,104882063000000.0,103810515000000.0,29139632000000,-13048441000000.0,A,BBRI.JK,-52076000000.0,,41059206000000.0,-89127328000000.0
1,2022-06-30,12618981000000,750745000000,8256158000000,-1795934000000,8285352000000,-1076133000000.0,15200391000000.0,44000000.0,13898870000000.0,1588650000000.0,8476559000000.0,-16928708000000.0,5110437000000,-26406603000000.0,Q,BBRI.JK,-145077000000.0,-587314000000.0,,-15546820000000.0
1,2022-03-31,12167224000000,819615000000,3774398000000,0,-14847549000000,-2368346000000.0,28494804000000.0,44000000.0,26169667000000.0,-3162032000000.0,-17793341000000.0,-20955373000000.0,-9442028000000,-26406603000000.0,Q,BBRI.JK,191227000000.0,-587314000000.0,,-30718766000000.0
1,2021-12-31,14211033000000,859943000000,8118735000000,0,4928428000000,-3392159000000.0,-31991271000000.0,139000000.0,-35371108000000.0,4870279000000.0,12424370000000.0,17294649000000.0,-13172721000000,-26406603000000.0,Q,BBRI.JK,-24690000000.0,-587314000000.0,,-24102348000000.0
1,2021-09-30,6783623000000,642302000000,6270185000000,0,-27469581000000,-2301769000000.0,-38084143000000.0,4200000000.0,-40213640000000.0,-5723797000000.0,29479078000000.0,64814487000000.0,-2947056000000,-26406603000000.0,Q,BBRI.JK,-78322000000.0,-587314000000.0,41059206000000.0,-37323913000000.0
1,2021-12-31,2376227000000,556034000000,53920000000,0,-4523437000000,-415473000000.0,4249928000000.0,,3834455000000.0,-6794035000000.0,14075369000000.0,7281334000000.0,6592352000000,,A,BBTN.JK,,,,-13202028000000.0
1,2020-12-31,1602358000000,528767000000,-256365000000,0,-21106163000000,-798086000000.0,-22928790000000.0,,-23726876000000.0,476847000000.0,47764766000000.0,48220686000000.0,3387647000000,-20927000000.0,A,BBTN.JK,,,,-5030997000000.0
1,2019-12-31,209263000000,314233000000,2899222000000,0,-12216224000000,-366561000000.0,-6710545000000.0,,-7077106000000.0,9001954000000.0,-2612137000000.0,5828232000000.0,-13465098000000,-561585000000.0,A,BBTN.JK,,,,-19638834000000.0
1,2018-12-31,2807923000000,293048000000,485690000000,0,-34282643000000,-526743000000.0,2216236000000.0,,1689493000000.0,7203797000000.0,31872213000000.0,38470517000000.0,5877367000000,-605493000000.0,A,BBTN.JK,,,,-36259889000000.0
1,2022-06-30,696502000000,137313000000,182049000000,0,-12863542000000,-175511000000.0,234523000000.0,,59012000000.0,-874308000000.0,16240303000000.0,15365994000000.0,2561464000000,-1000000.0,Q,BBTN.JK,,,,-9180427000000.0
1,2022-03-31,774000000000,129341000000,1305672000000,0,-8683817000000,-90773000000.0,-670343000000.0,,-761116000000.0,-981836000000.0,-3494179000000.0,-4713638000000.0,-14158571000000,-237623000000.0,Q,BBTN.JK,,,,-5439012000000.0
1,2021-12-31,860831000000,152717000000,-189416000000,0,282328000000,-230750000000.0,1177513000000.0,,946763000000.0,1402748000000.0,3975749000000.0,5378497000000.0,6607588000000,-237623000000.0,Q,BBTN.JK,,,,-4361954000000.0
1,2021-09-30,595329000000,138213000000,484119000000,0,-1567435000000,-50820000000.0,1805227000000.0,,1754407000000.0,-5893787000000.0,-9649123000000.0,-15542910000000.0,-15355938000000,-237623000000.0,Q,BBTN.JK,,,,-3528582000000.0
1,2021-12-31,261472609470,14205484669,-471995670241,0,-196317576102,-8055946210.0,,-10400000000.0,1209510053790.0,-845633542792.0,,-845257474642.0,167935003046,,A,BKSL.JK,,,376068150.0,
1,2020-12-31,-608784173814,13359230656,-926968622804,0,-1522393565962,-2359785547.0,-54000000000.0,-10400000000.0,-56237785547.0,-2384193779.0,,1357478788986.0,-221152562523,,A,BKSL.JK,,,1359862982765.0,
1,2019-12-31,49505385523,14664599312,-566602661352,0,-502432676517,-7191881768.0,-71036815464.0,-10400000000.0,-326481383511.0,946044634948.0,,946447631320.0,117533571292,,A,BKSL.JK,,,402996372.0,
1,2018-12-31,335872044497,13918062981,-1165435685577,0,-815645578099,-10122185439.0,499821593.0,-10400000000.0,-269085150533.0,446542467903.0,301401672091.0,747944715799.0,-336786012833,,A,BKSL.JK,,,575805.0,
1,2022-06-30,-245588586,3311621734,47276040078,0,50342073226,-4696648630.0,,,-4893548630.0,-22316853561.0,,-22316853561.0,23131671035,,Q,BKSL.JK,,,,
1,2022-03-31,-21069024344,2570950008,-79215068086,0,-97713142422,-4896365594.0,,,2830131316.0,12308804012.0,,12308804012.0,-82574207094,,Q,BKSL.JK,,,,
1,2021-12-31,-51894809615,3628484043,-1533924021300,0,-1582190346872,-2968561119.0,,-10400000000.0,1214597438881.0,302879651804.0,,303255719954.0,-64337188037,,Q,BKSL.JK,,,376068150.0,
1,2021-09-30,18898828482,3084921439,-222507209829,0,-200523459908,-3762572422.0,,-10400000000.0,-3762572422.0,176250283001.0,,176250283001.0,-28035749329,,Q,BKSL.JK,,,376068150.0,
1,2021-12-31,28028155000000,3557949000000,14849546000000,0,-17788756000000,-2282614000000.0,-127281409000000.0,-957220000000.0,-132477052000000.0,6836093000000.0,147681249000000.0,144245790000000.0,-6290015000000,-10271552000000.0,A,BMRI.JK,-269997000000.0,,,-60603887000000.0
1,2020-12-31,16799515000000,3933692000000,34870236000000,0,-17362742000000,-2806835000000.0,-33700672000000.0,-2268456000000.0,-41558403000000.0,2132130000000.0,127450071000000.0,112865199000000.0,55356053000000,-16566107000000.0,A,BMRI.JK,1411999000000.0,-150895000000.0,,-46197653000000.0
1,2019-12-31,27482133000000,1464796000000,4510709000000,0,-73411991000000,-3685566000000.0,-11435002000000.0,-2268456000000.0,-16251888000000.0,4899485000000.0,96865139000000.0,90507865000000.0,-884936000000,-11256759000000.0,A,BMRI.JK,-1728922000000.0,-150895000000.0,,-100320022000000.0
1,2018-12-31,25015021000000,1311681000000,8819993000000,0,-57737938000000,-2432966000000.0,-17835083000000.0,-2268456000000.0,-21041189000000.0,26913447000000.0,25300916000000.0,42926506000000.0,-34098110000000,-9287857000000.0,A,BMRI.JK,1754511000000.0,-150895000000.0,,-96160637000000.0
1,2022-06-30,10177683000000,671461000000,13791619000000,0,-48005993000000,-58747000000.0,-9473232000000.0,337744000000.0,-11583359000000.0,-2461073000000.0,56555525000000.0,52844497000000.0,-4964235000000,,Q,BMRI.JK,1780620000000.0,-1249955000000.0,,-73936753000000.0
1,2022-03-31,10032000000000,863379000000,-16770903000000,0,14487420000000,-715335000000.0,-28734021000000.0,-337744000000.0,-29823288000000.0,17363899000000.0,-21802704000000.0,-19854848000000.0,-34724735000000,-16816893000000.0,Q,BMRI.JK,465981000000.0,-1249955000000.0,1400850000000.0,13957005000000.0
1,2021-12-31,8799080000000,800071000000,-1149313000000,0,40517586000000,-1496902000000.0,-6468235000000.0,-417116000000.0,-9872130000000.0,4267361000000.0,-33117734000000.0,-29108534000000.0,4490973000000,-16816893000000.0,Q,BMRI.JK,2954051000000.0,-258161000000.0,1400850000000.0,23774980000000.0
1,2021-09-30,6727941000000,1009997000000,9813734000000,0,23151898000000,-388255000000.0,-61690107000000.0,-170798000000.0,-62533473000000.0,-2145528000000.0,44751935000000.0,42620140000000.0,-2240915000000,-16816893000000.0,Q,BMRI.JK,-5479480000000.0,-258161000000.0,13733000000.0,2725336000000.0
1,2021-12-31,1348623038141,433224635522,1523839360382,0,3305687034045,-17189100415.0,721114023816.0,543982427924.0,368787171489.0,-5371125301780.0,-1114522016074.0,-6485647317854.0,-2741198616776,,A,BSDE.JK,69974495544.0,,,
1,2020-12-31,281700888667,396863869923,785784267574,0,1464349026164,-20691185479.0,-1112350803474.0,759316104865.0,-1182431342549.0,3386912262233.0,-1311297793421.0,3307403025612.0,3875997510793,,A,BSDE.JK,286676801566.0,,1231788556800.0,
1,2019-12-31,2791416326399,359256605808,-1133675025257,0,2016997906950,-31214808781.0,-986858809336.0,1363553255508.0,-1969148509295.0,-265978722219.0,-1014465793164.0,-1280444515383.0,-1283325797511,,A,BSDE.JK,-46475839508.0,,1231788556800.0,
1,2018-12-31,1293850222563,391649130214,-68818933827,0,1616680418950,-42038694197.0,-1491897671317.0,276370165374.0,-2651717327363.0,4535131868593.0,-884528563553.0,3362601654947.0,2346294516387,,A,BSDE.JK,18729769853.0,-288001650093.0,1231788556800.0,
1,2022-06-30,115734544124,101017485483,277387471856,0,494139501463,-8864478675.0,363303302358.0,84770089272.0,414642966794.0,-362524130646.0,-411011596221.0,-773535726867.0,194120745801,,Q,BSDE.JK,58874004411.0,,,
1,2022-03-31,347902282692,110380236683,1081541100121,0,1539823619496,-4808616818.0,-3751966835.0,78702850568.0,-245439607368.0,56916202453.0,-192721062583.0,-135804860130.0,1160538986028,,Q,BSDE.JK,1959834030.0,,,
1,2021-12-31,417847414892,100040822605,-352894424398,0,164993813099,-7132269988.0,225315808208.0,87682023065.0,245220888102.0,-55330674497.0,-233116092676.0,-288446767173.0,104705148542,,Q,BSDE.JK,-17062785486.0,,,
1,2021-09-30,250771292854,115974880090,757777002795,0,1124523175739,-2377261887.0,-144697732797.0,169404914718.0,-249954944323.0,-175256120269.0,-263142375730.0,-438398495999.0,434880937283,,Q,BSDE.JK,-1288798134.0,,,
1,2021-12-31,3620961000000,1145915000000,2121905000000,0,2121905000000,-2807300000000.0,,-117953000000.0,-2819121000000.0,1520541000000.0,,-316035000000.0,-1011506000000,-1836576000000.0,A,CPIN.JK,1745000000.0,,,
1,2020-12-31,3842083000000,1026753000000,-23261000000,0,4845575000000,-1812194000000.0,,-84267000000.0,-1805708000000.0,-1001725000000.0,,-2329963000000.0,716440000000,-1328238000000.0,A,CPIN.JK,6536000000.0,,,
1,2019-12-31,3644672000000,869881000000,-1114380000000,0,3400173000000,-2765707000000.0,,-84267000000.0,-2854639000000.0,560654000000.0,,-1374310000000.0,-841758000000,-1934964000000.0,A,CPIN.JK,-12982000000.0,,,
