maxAge,endDate,cash,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,longTermInvestments,propertyPlantEquipment,intangibleAssets,otherAssets,deferredLongTermAssetCharges,totalAssets,accountsPayable,shortLongTermDebt,otherCurrentLiab,longTermDebt,otherLiab,minorityInterest,totalCurrentLiabilities,totalLiab,commonStock,retainedEarnings,treasuryStock,capitalSurplus,otherStockholderEquity,totalStockholderEquity,netTangibleAssets,type,kode,shortTermInvestments,goodWill,deferredLongTermLiab
1,2018-12-31,927896000.0,385734000.0,112005000.0,85512000.0,1600294000.0,591785000.0,3906424000.0,,168642000.0,27336000.0,7060755000.0,341766000.0,182671000.0,181903000.0,1085959000.0,730372000.0,652293000.0,816443000.0,2758063000.0,342940000.0,2161277000.0,-8312000.0,1154494000.0,-8312000.0,3650399000.0,2856789000.0,A,ADRO.JK,89147000.0,793610000.0,
1,2022-06-30,2243724000.0,916082000.0,195219000.0,89672000.0,3600352000.0,1458489000.0,2482450000.0,6017000.0,464460000.0,154261000.0,8788711000.0,322173000.0,312055000.0,730751000.0,1258246000.0,419421000.0,418346000.0,1579219000.0,3282098000.0,342940000.0,3696153000.0,-105320000.0,1154494000.0,34616000.0,5088267000.0,4305307000.0,Q,ADRO.JK,155655000.0,776943000.0,
1,2022-03-31,1555677000.0,613697000.0,142356000.0,75960000.0,2573012000.0,1310233000.0,2554390000.0,6285000.0,409060000.0,131645000.0,7629923000.0,255495000.0,281023000.0,273064000.0,1275919000.0,430620000.0,343884000.0,980484000.0,2720187000.0,342940000.0,3183565000.0,-115147000.0,1154494000.0,-259000.0,4565852000.0,3782624000.0,Q,ADRO.JK,185322000.0,776943000.0,
1,2021-12-31,1811141000.0,611547000.0,125738000.0,69006000.0,2838132000.0,993644000.0,2614589000.0,4849000.0,358779000.0,92933000.0,7586936000.0,272409000.0,218971000.0,726687000.0,1294326000.0,430466000.0,321535000.0,1361558000.0,3128621000.0,342940000.0,2783495000.0,-144149000.0,1154494000.0,-47079000.0,4136780000.0,3354988000.0,Q,ADRO.JK,220700000.0,776943000.0,
1,2021-09-30,1510921000.0,470532000.0,132703000.0,42569000.0,2325575000.0,905355000.0,2670513000.0,,440006000.0,76049000.0,7118392000.0,256405000.0,292630000.0,299579000.0,1309225000.0,407399000.0,278812000.0,1032426000.0,2794483000.0,342940000.0,2621167000.0,-73504000.0,1154494000.0,-73504000.0,4045097000.0,3268154000.0,Q,ADRO.JK,168850000.0,776943000.0,
1,2021-12-31,2600492407000.0,4622656638000.0,4507651039000.0,213670145000.0,12022678362000.0,547516934000.0,5547018781000.0,,5391371659000.0,251900442000.0,23508585736000.0,7766849298000.0,451657907000.0,331306319000.0,2201479208000.0,435176440000.0,1953848784000.0,9306841393000.0,12209620623000.0,401469492000.0,7518358978000.0,138124802000.0,1287163057000.0,256196666000.0,9345116329000.0,9345116329000.0,A,AKRA.JK,,,
1,2020-12-31,1549363629000.0,2673113869000.0,3633782356000.0,143218782000.0,8042418506000.0,547715028000.0,5591500103000.0,,4501939178000.0,244442894000.0,18683572815000.0,3011754388000.0,366544717000.0,373448143000.0,2656843283000.0,185520441000.0,1803979063000.0,5102110055000.0,8127216543000.0,401469492000.0,6930561993000.0,133182667000.0,1287163057000.0,251254531000.0,8752377209000.0,8752377209000.0,A,AKRA.JK,,,
1,2019-12-31,1860780880000.0,4521175643000.0,4091036024000.0,247532810000.0,10777639192000.0,418957162000.0,5325172386000.0,,4887277433000.0,244401161000.0,21409046173000.0,5835094335000.0,458733547000.0,250279939000.0,2469492872000.0,160165730000.0,1730586519000.0,8712526231000.0,11342184833000.0,401469492000.0,6401191146000.0,246451126000.0,1287163057000.0,246451126000.0,8336274821000.0,8336274821000.0,A,AKRA.JK,,,
1,2018-12-31,2171083536000.0,4647430083000.0,4107396801000.0,286211118000.0,11268597800000.0,418162792000.0,4921528198000.0,,3332561809000.0,253413394000.0,19940850599000.0,4996896454000.0,1114645705000.0,298014894000.0,1803069679000.0,148221757000.0,1555723225000.0,8062727824000.0,10014019260000.0,401469492000.0,6410237376000.0,272238189000.0,1287163057000.0,272238189000.0,8371108114000.0,8371108114000.0,A,AKRA.JK,,,
1,2022-06-30,3567924937000.0,7661204131000.0,4589341050000.0,238917237000.0,16144242761000.0,405987867000.0,5548299150000.0,,5736126352000.0,248454247000.0,27834656130000.0,11230527626000.0,521551821000.0,273469523000.0,2197903783000.0,448571511000.0,2005532355000.0,12893048724000.0,15843104993000.0,401469492000.0,8138579268000.0,158806965000.0,1287163057000.0,276878829000.0,9986018782000.0,9986018782000.0,Q,AKRA.JK,,,
