emiten,tanggal,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
MAYA.JK,2021-12-31,,,72211000000,,44127000000,1285849000000,1399130000000,0,89135000000,24146000000,,,,,28084000000,1459147000000,1370012000000,60017000000,-16924000000,,44127000000,44127000000
MAYA.JK,2020-12-31,,,104448000000,,64164000000,1372320000000,1611326000000,0,211303000000,27703000000,,,,,40284000000,1649921000000,1438618000000,38595000000,-106855000000,,64164000000,64164000000
MAYA.JK,2019-12-31,,,714688000000,,528114000000,1487278000000,2213933000000,0,715431000000,11224000000,,,,,186574000000,2247427000000,1531996000000,33494000000,-743000000,,528114000000,528114000000
MAYA.JK,2018-12-31,,,600930000000,,437412000000,1398190000000,2011668000000,0,600681000000,12797000000,,,,,163518000000,2034968000000,1434287000000,23300000000,249000000,,437412000000,437412000000
EPMT.JK,2021-12-31,,,1091263311440,15835711333,847881142916,1744740897122,2764336688571,1034225947573,1034225947573,-14630156124,-10096994519,,,,245022311943,25673756765637,24639530818064,22909420077066,57037363867,,846240999497,847881142916
EPMT.JK,2020-12-31,,,882739797483,16867323797,680597939678,1670185089430,2418744942466,767385522011,767385522011,-18825668975,-10852235264,,,,202869249486,22545419368639,21778033846628,20126674426173,115354275472,,679870547997,680597939678
EPMT.JK,2019-12-31,,,813103428517,1226719090,580629918596,1685332544261,2412947549993,747360775252,747360775252,-19745769520,-6161028189,,,,232288751064,22226912485948,21479551710696,19813964935955,65742653265,,580814677453,580629918596
EPMT.JK,2018-12-31,,,879481177101,1065996105,653064164661,1533390572527,2361491053417,834841222040,834841222040,-6740741150,-5391026594,,,,226230291045,20604487293751,19769646071711,18242996240334,44639955061,,653250886056,653064164661
INPP.JK,2021-12-31,,,-28633533766,514863966383,-5192000303,274777224693,241584420695,-3684531347,-3684531347,-29508272651,-97080340225,,,,-187555332,427677089386,431361620733,186092668691,-24949002419,,-28445978434,-5192000303
INPP.JK,2020-12-31,,,-485437762265,568311546256,-479316910051,284372183529,247520770636,-24694658009,-24694658009,-12156754884,-82506461583,,,,-1903171341,397049609531,421744267540,149528838895,-460743104256,,-483534590924,-479316910051
INPP.JK,2019-12-31,,,2125366482570,597934528734,2028064890356,351741782692,559289303862,203176804678,203176804678,4370716492,-132071878099,,,,44224146222,900208787095,697031982417,340919483233,1922189677892,,2081142336348,2028064890356
INPP.JK,2018-12-31,,,167567553890,613944607012,76275110146,310773275178,477100636410,188640966561,188640966561,-22313605329,-128899291257,,,,44673284636,770398351932,581757385371,293297715522,-21073412671,,122894269254,76275110146
TURI.JK,2021-12-31,,,691548000000,12036000000,538482000000,675512000000,1210758000000,447501000000,447501000000,16249000000,-77681000000,,,,151148000000,12151643000000,11704142000000,10940885000000,244047000000,,540400000000,538482000000
TURI.JK,2020-12-31,,,119765000000,10368000000,42799000000,532540000000,803614000000,186963000000,186963000000,13305000000,-76473000000,,,,77101000000,8397772000000,8210809000000,7594158000000,-67198000000,,42664000000,42799000000
TURI.JK,2019-12-31,,,735960000000,10543000000,582707000000,711438000000,1141993000000,351184000000,351184000000,16623000000,-85648000000,,,,152726000000,13000217000000,12649033000000,11858224000000,384776000000,,583234000000,582707000000
TURI.JK,2018-12-31,,,686846000000,10222000000,560156000000,693248000000,1089743000000,331879000000,331879000000,13837000000,-85915000000,,,,125687000000,13403619000000,13071740000000,12313876000000,354967000000,,561159000000,560156000000
KPIG.JK,2021-12-31,,,175381058754,208251358494,195862601260,143835267237,127284418026,111449663733,111449663733,-128000512944,-223826723826,,,,30860216509,699975339646,588525675913,572690921620,63931395021,,144520842245,195862601260
