emiten,tanggal,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,investments,changeToOperatingActivities,repurchaseOfStock
FAPA.JK,2019-12-31,0.0,-817340382399.0,114957725946.0,654207376563.0,1001717712000.0,-240097248664.0,15126193158.0,,178259198994.0,490725459139.0,-59933048066.0,,539249650617.0,-72369011481.0,-757407334333.0,,,
FAPA.JK,2018-12-31,0.0,-669950999357.0,205954345605.0,506870400371.0,1001717712000.0,-325310827180.0,-6213377787.0,,156867221199.0,406799520362.0,74003592555.0,,300916054766.0,75378528017.0,-744072773730.0,,,
BSSR.JK,2021-12-31,0.0,-22923245.0,4982044.0,-74018810.0,,205163912.0,140329414.0,-36639.0,237308108.0,20981055.0,,-79000000.0,-854.0,11163141.0,-23018548.0,,,
BSSR.JK,2020-12-31,0.0,-10267603.0,-4622525.0,-14623361.0,,30520185.0,12685057.0,-5965.0,37581986.0,16796203.0,,-10000000.0,-836.0,-9734402.0,-10328830.0,,,
BSSR.JK,2019-12-31,0.0,-21782379.0,-8366782.0,-19138770.0,,30467378.0,-5215828.0,170969.0,35534352.0,18304757.0,,-10000000.0,-771988.0,-13237783.0,-21792582.0,,,
BSSR.JK,2018-12-31,0.0,-35707908.0,19196686.0,-48753311.0,,69062996.0,-567495.0,-414509.0,84308233.0,14462956.0,,-69000000.0,1050003.0,782281.0,-35996852.0,,,
BJTM.JK,2021-12-31,0.0,-17788511000000.0,23933000000.0,15356308000000.0,,1523070000000.0,7663863000000.0,,10096066000000.0,113935000000.0,,-733508000000.0,16065883000000.0,153300000000.0,-70838000000.0,-17722229000000.0,8305761000000.0,
BJTM.JK,2020-12-31,0.0,-4973081000000.0,-1239777000000.0,5933321000000.0,7263000000.0,1488962000000.0,-7159476000000.0,-25000000.0,-8119691000000.0,109944000000.0,,-723747000000.0,7889582000000.0,444909000000.0,-32487000000.0,-4943265000000.0,-10163506000000.0,
BJTM.JK,2019-12-31,0.0,-1795971000000.0,1144682000000.0,12258289000000.0,14209000000.0,1376505000000.0,1015581000000.0,-1231000000.0,-9445506000000.0,44993000000.0,,-683865000000.0,11783263000000.0,295399000000.0,-22126000000.0,-1774238000000.0,-11162403000000.0,
BJTM.JK,2018-12-31,0.0,-3063485000000.0,-571314000000.0,9127097000000.0,1826000000.0,1260308000000.0,5133766000000.0,-195000000.0,-929651000000.0,47505000000.0,,-660386000000.0,10356971000000.0,88179000000.0,-31236000000.0,-3032249000000.0,-2325643000000.0,
MNCN.JK,2021-12-31,0.0,-609621000000.0,-1582531000000.0,-1704919000000.0,,2377382000000.0,346081000000.0,,2660621000000.0,636443000000.0,120426000000.0,-120398000000.0,,-353204000000.0,-652438000000.0,6645000000.0,,-1990000000.0
MNCN.JK,2020-12-31,0.0,-1171682000000.0,-682452000000.0,101738000000.0,784190000000.0,1747519000000.0,309326000000.0,,1379270000000.0,507143000000.0,197868000000.0,-120398000000.0,,-875392000000.0,-588636000000.0,-19475000000.0,,-1990000000.0
MNCN.JK,2019-12-31,0.0,-1332132000000.0,-1824000000.0,-481111000000.0,784190000000.0,2233316000000.0,-89378000000.0,,1723865000000.0,454412000000.0,24365000000.0,-214141000000.0,,-963863000000.0,-570604000000.0,-738194000000.0,,-265146000000.0
MNCN.JK,2018-12-31,0.0,-1625457000000.0,489016000000.0,-131119000000.0,784190000000.0,1531395000000.0,251262000000.0,,2007838000000.0,436964000000.0,29277000000.0,-209235000000.0,,39479000000.0,-648614000000.0,-844294000000.0,,-410900000000.0
LINK.JK,2021-12-31,0.0,-3143008000000.0,1582475000000.0,1084523000000.0,,885318000000.0,-88846000000.0,683000000.0,1968956000000.0,1108442000000.0,-165871000000.0,-282587000000.0,-215365000000.0,-76275000000.0,-2907035000000.0,,,
