emiten,tanggal,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
BBCA.JK,2021-12-31,,,38841174000000,136172000000,31422660000000,24920779000000,67256960000000,0,38841174000000,3495007000000,,,,,7401015000000,69144054000000,30302880000000,1887094000000,0,,31440159000000,31422660000000
BBCA.JK,2020-12-31,,,33568507000000,118383000000,27131109000000,24723622000000,62087029000000,0,33584853000000,3778554000000,,,,,6421398000000,63531238000000,29946385000000,1444209000000,-16346000000,,27147109000000,27131109000000
BBCA.JK,2019-12-31,,,36288998000000,100225000000,28565053000000,25772417000000,65505659000000,0,36300561000000,3432681000000,,,,,7719024000000,67022947000000,30722386000000,1517288000000,-11563000000,,28569974000000,28565053000000
BBCA.JK,2018-12-31,,,32706064000000,93743000000,25855154000000,23762981000000,59068053000000,0,32796102000000,2508970000000,,,,,6854404000000,60353186000000,27557084000000,1285133000000,-90038000000,,25851660000000,25855154000000
BBRI.JK,2021-12-31,,,40992065000000,3051821000000,33467283000000,59117575000000,110031247000000,0,32990468000000,17923204000000,,,,,7835608000000,111422160000000,78431692000000,1390913000000,8001597000000,,33156457000000,33467283000000
BBRI.JK,2020-12-31,,,29993406000000,2550831000000,21035795000000,52565546000000,90862263000000,0,22745657000000,15551060000000,,,,,8951971000000,92228752000000,69483095000000,1366489000000,7247749000000,,21041435000000,21035795000000
BBRI.JK,2019-12-31,,,43364053000000,2460903000000,34372609000000,37947956000000,80628826000000,0,36717002000000,5963868000000,,,,,8950228000000,81939989000000,45222987000000,1311163000000,6647051000000,,34413825000000,34372609000000
BBRI.JK,2018-12-31,,,41753694000000,2307788000000,32351133000000,35249604000000,76322112000000,0,35870685000000,5201823000000,,,,,9335208000000,77511555000000,41640870000000,1189443000000,5883009000000,,32418486000000,32351133000000
TLKM.JK,2021-12-31,,,43678000000000,23753000000000,24760000000000,13957000000000,89680000000000,44225000000000,44225000000000,-41000000000,-4365000000000,,,,9730000000000,143210000000000,98985000000000,53530000000000,-547000000000,,33948000000000,24760000000000
TLKM.JK,2020-12-31,,,38775000000000,18362000000000,20804000000000,13707000000000,85787000000000,43332000000000,43332000000000,-40000000000,-4520000000000,,,,9212000000000,136462000000000,93130000000000,50675000000000,-4557000000000,,29563000000000,20804000000000
TLKM.JK,2019-12-31,,,37908000000000,17689000000000,18663000000000,10420000000000,75252000000000,42283000000000,42283000000000,-629000000000,-4240000000000,,,,10316000000000,135567000000000,93284000000000,60315000000000,-4375000000000,,27592000000000,18663000000000
TLKM.JK,2018-12-31,,,36405000000000,18393000000000,18032000000000,10351000000000,69532000000000,38624000000000,38624000000000,-849000000000,-3507000000000,,,,9426000000000,130784000000000,92160000000000,61252000000000,-2219000000000,,26979000000000,18032000000000
