maxAge,endDate,cash,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,longTermInvestments,propertyPlantEquipment,goodWill,otherAssets,deferredLongTermAssetCharges,totalAssets,accountsPayable,shortLongTermDebt,otherCurrentLiab,longTermDebt,otherLiab,minorityInterest,totalCurrentLiabilities,totalLiab,commonStock,retainedEarnings,treasuryStock,capitalSurplus,otherStockholderEquity,totalStockholderEquity,netTangibleAssets,type,kode,intangibleAssets,shortTermInvestments,deferredLongTermLiab
1.0,2022-06-30,3159133000000.0,683505000000.0,4114768000000.0,916095000000.0,9429251000000.0,307747000000.0,7083587000000.0,51624000000.0,915566000000.0,332108000000.0,17973579000000.0,1610842000000.0,418610000000.0,1197429000000.0,,713932000000.0,1388865000000.0,6851396000000.0,9709859000000.0,830000000000.0,4374851000000.0,1166968000000.0,503036000000.0,1186940000000.0,6874855000000.0,6637427000000.0,Q,MAPI.JK,185804000000.0,347817000000.0,
1.0,2022-03-31,2468482000000.0,596654000000.0,4322419000000.0,865744000000.0,8757498000000.0,296407000000.0,7078998000000.0,51624000000.0,902841000000.0,330380000000.0,17274557000000.0,1686687000000.0,411262000000.0,1236929000000.0,,704604000000.0,1285253000000.0,6701553000000.0,9617296000000.0,830000000000.0,3856485000000.0,1182487000000.0,503036000000.0,1202459000000.0,6372008000000.0,6133195000000.0,Q,MAPI.JK,187189000000.0,342690000000.0,
1.0,2021-12-31,2778415000000.0,606079000000.0,3731442000000.0,639564000000.0,8213616000000.0,261637000000.0,7168929000000.0,51624000000.0,899724000000.0,339020000000.0,16783042000000.0,1756736000000.0,404121000000.0,1113252000000.0,,698202000000.0,1220833000000.0,6661498000000.0,9687135000000.0,830000000000.0,3343664000000.0,1198374000000.0,503036000000.0,1218346000000.0,5875074000000.0,5635938000000.0,Q,MAPI.JK,187512000000.0,365301000000.0,
1.0,2021-09-30,2098772000000.0,500826000000.0,4350984000000.0,729406000000.0,8167763000000.0,261111000000.0,7270412000000.0,51624000000.0,942669000000.0,380318000000.0,16877265000000.0,1467510000000.0,,1076719000000.0,396950000000.0,873998000000.0,1134319000000.0,6825862000000.0,10422905000000.0,830000000000.0,2821302000000.0,1165703000000.0,503036000000.0,1185675000000.0,5320041000000.0,5084731000000.0,Q,MAPI.JK,183686000000.0,356110000000.0,
1.0,2021-12-31,31702624564.0,104094225125.0,5516066758.0,7508614949.0,149360083785.0,28417215726.0,16325999288.0,44534564118.0,11652474946.0,2852523261.0,329231056270.0,,4200000000.0,3818856522.0,27044353018.0,27354461846.0,66883511964.0,21524477733.0,84413011988.0,52526440000.0,91505315313.0,8864073283.0,25038703722.0,8864073283.0,177934532318.0,54459249793.0,A,MARI.JK,78940718407.0,,
1.0,2020-12-31,34041839344.0,106368016287.0,603151714.0,2152028021.0,143498817771.0,28950429462.0,19563063820.0,44534564119.0,10021576064.0,3020967535.0,317124238853.0,,6600000000.0,6129011862.0,56389822887.0,30782063195.0,4080031363.0,23239716501.0,120517590084.0,52526440000.0,111056973156.0,8864073283.0,20079130967.0,8864073283.0,192526617406.0,77436265670.0,A,MARI.JK,70555787617.0,,
1.0,2019-12-31,10779195285.0,134962862552.0,334197898.0,2085335348.0,149969023030.0,34895068790.0,10393228347.0,49650572365.0,40386797050.0,6680997581.0,355135646797.0,,29599400000.0,11259656396.0,30655992191.0,29098301256.0,8071667598.0,48097802015.0,107852095462.0,52526440000.0,156905403949.0,9700908821.0,20079130967.0,9700908821.0,239211883737.0,119720354157.0,A,MARI.JK,69840957215.0,1406071952.0,
1.0,2018-12-31,16315706074.0,118940088577.0,,3560578235.0,140352481829.0,34528178819.0,10592701385.0,49650572365.0,34864486299.0,3917207714.0,338701893494.0,,9600000000.0,13036535759.0,60255392191.0,26904901526.0,10015340559.0,28350652947.0,115510946664.0,52526440000.0,130869126483.0,9700908821.0,20079130967.0,9700908821.0,213175606271.0,94811561109.0,A,MARI.JK,68713472797.0,1107752433.0,
1.0,2022-06-30,285433004588.0,102532323898.0,13327105777.0,11504688563.0,414821946607.0,28417215726.0,13368590278.0,44534564118.0,12386159217.0,2852523261.0,601384659992.0,,4200000000.0,3381139003.0,346078360883.0,27354461846.0,45077516638.0,22877494696.0,402507048869.0,52526440000.0,67370877480.0,8864073283.0,25038703722.0,8864073283.0,153800094485.0,21409346321.0,Q,MARI.JK,87856184046.0,,
1.0,2022-03-31,33048698707.0,90990783284.0,7152051821.0,3912626693.0,136685721314.0,28417215726.0,14726755776.0,44534564118.0,11984375947.0,2852523261.0,319036703720.0,,4200000000.0,4019213684.0,29830510410.0,27354461846.0,64121394415.0,23853216622.0,88035201416.0,52526440000.0,80450890884.0,8864073283.0,25038703722.0,8864073283.0,166880107889.0,39657472932.0,Q,MARI.JK,82688070839.0,,
1.0,2021-12-31,31702624564.0,104094225125.0,5516066758.0,7508614949.0,149360083785.0,28417215726.0,16325999288.0,44534564118.0,11652474946.0,2852523261.0,329231056270.0,,4200000000.0,3818856522.0,27044353018.0,27354461846.0,66883511964.0,21524477733.0,84413011988.0,52526440000.0,91505315313.0,8864073283.0,25038703722.0,8864073283.0,177934532318.0,54459249793.0,Q,MARI.JK,78940718407.0,,
