emiten,tanggal,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
BNGA.JK,2021-12-31,,,5191098000000,11236000000,4100340000000,8174689000000,13399896000000,0,5120659000000,104548000000,,,,,1092494000000,13399896000000,8279237000000,0,70439000000,,4098604000000,4100340000000
BNGA.JK,2020-12-31,,,2947420000000,14112000000,2012401000000,7897359000000,10956477000000,0,2855693000000,203425000000,,,,,936166000000,10956477000000,8100784000000,0,91727000000,,2011254000000,2012401000000
BNGA.JK,2019-12-31,,,4953897000000,15275000000,3645154000000,8452386000000,13569584000000,0,4935220000000,181978000000,,,,,1310962000000,13569584000000,8634364000000,0,18677000000,,3642935000000,3645154000000
BNGA.JK,2018-12-31,,,4850818000000,1005000000,3482304000000,7710291000000,12800826000000,0,4796698000000,293837000000,,,,,1368390000000,12800826000000,8004128000000,0,54120000000,,3482428000000,3482304000000
TKIM.JK,2021-12-31,,,257533000,,249006000,89086000,138614000,49528000,49528000,,-46495000,,,,8527000,1024459000,974931000,885845000,208005000,,249006000,249006000
TKIM.JK,2020-12-31,,,152979000,,148334000,77725000,117918000,40193000,40193000,,-56147000,,,,4645000,866453000,826260000,748535000,112786000,,148334000,148334000
TKIM.JK,2019-12-31,,,184698000,,166516000,79770000,105984000,26214000,26214000,,-62378000,,,,18182000,1047118000,1020904000,941134000,158484000,,166516000,166516000
TKIM.JK,2018-12-31,,,250802000,,245709000,74694000,114318000,39624000,39624000,,-57689000,,,,5093000,1055800000,1016176000,941482000,211178000,,245709000,245709000
ACES.JK,2021-12-31,,,861853191200,31233899639,704384331764,2203065809559,2992628793343,920939402959,920939402959,-131376419175,-74294485195,,,,143050851649,6543362698900,5622423295941,3550733905557,-59086211759,,718802339551,704384331764
ACES.JK,2020-12-31,,,925986290814,14772408978,733195452445,2589661672543,3444235387606,993753510691,993753510691,-139179795628,-82473589167,,,,194675719463,7412766872302,6419013361611,3968531484696,-67767219877,,731310571351,733195452445
ACES.JK,2019-12-31,,,1267148818380,14533616639,1017394917073,2454654415134,3674696498279,1380115709069,1380115709069,-160073625924,-77847863244,,,,243512279981,8142717045655,6762601336586,4468020547376,-112966890689,,1023636538399,1017394917073
ACES.JK,2018-12-31,,,1207010867953,10052978822,964554026626,2177652387265,3249993401932,1202962681414,1202962681414,-130621666747,-714503007,,,,230737511356,7239754268263,6036791586849,3989760866331,4048186539,,976273356597,964554026626
BDMN.JK,2021-12-31,,,2279920000000,543951000000,1573113000000,7777526000000,11980801000000,0,2419984000000,1783291000000,,,,,610640000000,11980801000000,9560817000000,0,-140064000000,,1669280000000,1573113000000
BDMN.JK,2020-12-31,,,2067076000000,467686000000,1007614000000,7443965000000,11378536000000,0,2273451000000,1661120000000,,,,,978134000000,11378536000000,9105085000000,0,-206375000000,,1088942000000,1007614000000
BDMN.JK,2019-12-31,,,5487790000000,479861000000,4073453000000,8372491000000,15971745000000,0,5583901000000,2015353000000,,,,,1619447000000,15971745000000,10387844000000,0,-96111000000,372328000000.0,3868343000000,4073453000000
BDMN.JK,2018-12-31,,,4925686000000,629215000000,3922172000000,4960383000000,15348607000000,0,4973458000000,5414766000000,,,,,1354328000000,15348607000000,10375149000000,0,-47772000000,494763000000.0,3571358000000,3922172000000
PWON.JK,2021-12-31,,,1853084894000,3131732929000,1382548068000,483262514000,2807426350000,2269895074000,2269895074000,54268762000,-337843052000,,,,302650555000,5713272952000,3443377878000,2905846602000,-416810180000,,1550434339000,1382548068000
PWON.JK,2020-12-31,,,1389956231000,2963216264000,929918580000,427282542000,1975813885000,1500631846000,1500631846000,47899497000,-283013967000,,,,270843221000,3977211311000,2476579465000,2001397426000,-110675615000,,1119113010000,929918580000
PWON.JK,2019-12-31,,,3660935372000,3124278902000,2719532999000,596312209000,4096516676000,3451006211000,3451006211000,49198256000,-219735373000,,,,421139145000,7202001193000,3750994982000,3105484517000,209929161000,,3239796227000,2719532999000
PWON.JK,2018-12-31,,,3237248133000,2715563321000,2542868927000,580123215000,4085596753000,3458909022000,3458909022000,46564516000,-243337352000,,,,410311920000,7080668385000,3621759363000,2995071632000,-221660889000,,2826936213000,2542868927000
MSIN.JK,2021-12-31,,,386054000000,10842000000,300077000000,111717000000,556877000000,408452000000,408452000000,,-38134000000,,,,84931000000,1813220000000,1404768000000,1256343000000,-22398000000,,301123000000,300077000000
MSIN.JK,2020-12-31,,,217064000000,10062000000,167037000000,102758000000,416955000000,277598000000,277598000000,,-62989000000,,,,48188000000,1389166000000,1111568000000,972211000000,-60534000000,,168876000000,167037000000
MSIN.JK,2019-12-31,,,291622000000,8218000000,211412000000,125433000000,489560000000,317461000000,317461000000,,-49809000000,,,,78019000000,1780848000000,1463387000000,1291288000000,-25839000000,,213603000000,211412000000
