emiten,tanggal,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,inventory,accountsPayable,shortLongTermDebt,longTermDebt,goodWill,longTermInvestments,deferredLongTermLiab,shortTermInvestments,intangibleAssets
AGII.JK,2018-12-31,350437000000.0,3499963000000.0,3087032000000.0,60760000000.0,89749000000.0,6647755000000.0,1533330000000.0,108634000000.0,251589000000.0,123025000000.0,951676000000.0,170226000000.0,284472000000.0,1297840000000.0,,951676000000.0,4835210000000.0,1585943000000.0,3087032000000.0,647576000000.0,455625000000.0,150015000000.0,297911000000.0,1992505000000.0,,56376000000.0,57239000000.0,80000000000.0,
AMOR.JK,2021-06-30,,80948190256.0,312179403950.0,,10654293555.0,393127594206.0,27777780000.0,1191497477.0,75575734835.0,6052932825.0,208825889115.0,2194586484.0,262210304154.0,54096808641.0,2194586484.0,208825889115.0,23683285421.0,307194208703.0,312179403950.0,42900548983.0,,,,,,60055513598.0,,,
AMOR.JK,2020-06-30,,50845571299.0,285553417500.0,,4160066763.0,336398988799.0,27777780000.0,1206997478.0,55956447655.0,4885750000.0,201819189845.0,893300000.0,211179779986.0,45959821299.0,893300000.0,201819189845.0,4320840249.0,331184848550.0,285553417500.0,29716863703.0,,,,,,,,88415555070.0,
AMOR.JK,2019-06-30,,71747996590.0,38956689090.0,,11249280576.0,110704685680.0,25000000000.0,1105747478.0,13389653840.0,3159119000.0,567035250.0,807370172.0,68204688239.0,68588877590.0,789779750.0,567035250.0,5821045507.0,104035020001.0,38915439090.0,34491041370.0,,,,,,,,,41250000.0
AMOR.JK,2018-06-30,,58726747031.0,37930020903.0,,9564021288.0,96656767934.0,25000000000.0,5419180933.0,12386707403.0,21763461079.0,543313500.0,553939500.0,41949404540.0,36963285952.0,553800000.0,543313500.0,582597551.0,95451480883.0,37861270903.0,47811383230.0,,,,,,,,,68750000.0
MBAP.JK,2021-12-31,15415593.0,57736778.0,199983070.0,591.0,14878882.0,257720439.0,10743672.0,2690619.0,173567948.0,5056197.0,255857.0,10487138.0,63882458.0,52680581.0,4699616.0,255857.0,25099898.0,209548134.0,199983070.0,48143884.0,11620855.0,8050771.0,,,,12585269.0,,83000000.0,
MBAP.JK,2020-12-31,15415593.0,43752926.0,138219682.0,494.0,2879029.0,181973102.0,10743672.0,1063788.0,111771387.0,6243384.0,289030.0,9753083.0,46063170.0,33560298.0,3780758.0,289030.0,33859429.0,125650152.0,138219682.0,22221456.0,13090584.0,5766159.0,4675057.0,,,12710438.0,,43000000.0,
MBAP.JK,2019-12-31,15415593.0,46886899.0,145639964.0,426.0,3745171.0,192527289.0,10743672.0,926089.0,119270534.0,5556866.0,210165.0,14062196.0,29103941.0,36654975.0,3676180.0,210165.0,33650555.0,132090716.0,145639964.0,28430765.0,11390183.0,7710555.0,4675058.0,4675058.0,,12723822.0,,62000000.0,
MBAP.JK,2018-12-31,15415593.0,49328008.0,124180903.0,351.0,2226433.0,173509262.0,10743672.0,1286581.0,97852341.0,4145942.0,169297.0,14260884.0,54261741.0,40887182.0,4189959.0,169297.0,37911975.0,107855898.0,124180903.0,29188783.0,22828891.0,7987812.0,2123794.0,4247586.0,,13480505.0,,,
MASB.JK,2021-12-31,436531397130.0,20502065652524.0,2701057828826.0,,102737715710.0,23203123481350.0,1241176500000.0,2014654879127.0,889423801583.0,106549957166.0,133926130113.0,7803181820280.0,3622525285701.0,20383880345193.0,,133926130113.0,90488709486.0,7934962238377.0,2701057828826.0,,,20176471983444.0,,,,7374490713207.0,,2285989958309.0,
