emiten,tanggal,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,goodWill
AKRA.JK,2019-12-31,,1287163057000.0,11342184833000.0,8336274821000.0,1730586519000.0,,250279939000.0,21409046173000.0,401469492000.0,247532810000.0,6401191146000.0,160165730000.0,246451126000.0,4887277433000.0,1860780880000.0,8712526231000.0,244401161000.0,458733547000.0,246451126000.0,5325172386000.0,10777639192000.0,418957162000.0,8336274821000.0,,4521175643000.0,2469492872000.0,4091036024000.0,5835094335000.0,
AKRA.JK,2018-12-31,,1287163057000.0,10014019260000.0,8371108114000.0,1555723225000.0,,298014894000.0,19940850599000.0,401469492000.0,286211118000.0,6410237376000.0,148221757000.0,272238189000.0,3332561809000.0,2171083536000.0,8062727824000.0,253413394000.0,1114645705000.0,272238189000.0,4921528198000.0,11268597800000.0,418162792000.0,8371108114000.0,,4647430083000.0,1803069679000.0,4107396801000.0,4996896454000.0,
CARE.JK,2020-12-31,,3284159332.0,154913824897.0,3289834819936.0,922619320.0,,5576874874.0,3445671264153.0,3325000000000.0,2503639282.0,-38449339396.0,10787821920.0,,481476309661.0,525479693804.0,48429071388.0,1969259816.0,7502028558.0,,2175317280881.0,781853202675.0,,3282810349000.0,200000000000.0,46333363936.0,95696931589.0,6868279382.0,13169364188.0,7024470936.0
CARE.JK,2019-12-31,,,175330732506.0,2272069580938.0,1069930693.0,,4093608654.0,2448470244137.0,2325000000000.0,2904618632.0,-52930419062.0,6634851726.0,,4996318480.0,6949421674.0,65496920633.0,1026359685.0,6801039853.0,,2144295749673.0,292153705048.0,,2265045110002.0,220000000000.0,54779065529.0,103198960147.0,6281244086.0,8085564814.0,7024470936.0
CARE.JK,2018-12-31,,,579153127655.0,-28235608793.0,1096112665.0,,422252788923.0,552013631527.0,250000000.0,161919975.0,-28485608793.0,3283785652.0,,576319569.0,7935350734.0,495003688527.0,484636741.0,19844744973.0,,493877396900.0,45638610641.0,,-40156913210.0,,33224459027.0,80865653476.0,3866791176.0,8119620607.0,11921304417.0
CARE.JK,2017-12-31,,,316688608636.0,-1011307921.0,12346310893.0,,983272114.0,328023611608.0,250000000.0,,-1261307921.0,2328114202.0,,1151310925.0,11295714307.0,268013978908.0,311293846.0,13724289886.0,,285873557480.0,29077438786.0,,-12932612338.0,,14969834064.0,46346515526.0,2503891689.0,1953772003.0,11921304417.0
JPFA.JK,2021-12-31,35753000000.0,1148067000000.0,15486946000000.0,12233384000000.0,869326000000.0,,948004000000.0,28589656000000.0,1879461000000.0,1397278000000.0,9428884000000.0,1282256000000.0,-223028000000.0,2438864000000.0,1085116000000.0,7064166000000.0,450235000000.0,1686211000000.0,-67970000000.0,11645817000000.0,14161153000000.0,152652000000.0,12042214000000.0,2115000000.0,2428541000000.0,7132142000000.0,9179616000000.0,2345377000000.0,155417000000.0
JPFA.JK,2020-12-31,27679000000.0,1148067000000.0,14539790000000.0,10677910000000.0,734060000000.0,,947335000000.0,25951760000000.0,1879461000000.0,1225556000000.0,7770437000000.0,1712711000000.0,-120055000000.0,2567928000000.0,1335911000000.0,6007679000000.0,415157000000.0,647310000000.0,-40105000000.0,11328396000000.0,11745138000000.0,127202000000.0,10494814000000.0,1568000000.0,1982331000000.0,6785517000000.0,7091851000000.0,2503816000000.0,155417000000.0
JPFA.JK,2019-12-31,45555000000.0,1694351000000.0,14754081000000.0,11220870000000.0,675944000000.0,,826813000000.0,26650895000000.0,1879461000000.0,1293442000000.0,7266985000000.0,1337850000000.0,380073000000.0,2740261000000.0,1004280000000.0,7741958000000.0,336676000000.0,245033000000.0,387280000000.0,10710081000000.0,12873148000000.0,126433000000.0,11019898000000.0,1162000000.0,2372728000000.0,5674273000000.0,8150514000000.0,2765968000000.0,155417000000.0
JPFA.JK,2018-12-31,46927000000.0,1691782000000.0,14061678000000.0,10158283000000.0,607394000000.0,,1006624000000.0,24827355000000.0,1879461000000.0,1190921000000.0,6109050000000.0,1206059000000.0,477990000000.0,2565644000000.0,1160393000000.0,7689521000000.0,302990000000.0,994798000000.0,487195000000.0,8649756000000.0,13334804000000.0,136745000000.0,10017877000000.0,1212000000.0,2308222000000.0,5162962000000.0,8602843000000.0,3633402000000.0,93479000000.0
MLBI.JK,2021-12-31,,1802000000.0,1822860000000.0,1098651000000.0,506000000.0,,467048000000.0,2922017000000.0,21070000000.0,26843000000.0,1075779000000.0,112711000000.0,,237819000000.0,638197000000.0,1682700000000.0,97462000000.0,,,1443086000000.0,1241112000000.0,,1098651000000.0,,329199000000.0,,208324000000.0,192638000000.0,
