emiten,tanggal,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,longTermDebt,inventory,accountsPayable,shortLongTermDebt,intangibleAssets,minorityInterest,netReceivables,goodWill,deferredLongTermLiab
TMAS.JK,2020-12-31,145603000000.0,2626095000000.0,1206500000000.0,31189000000.0,3837040000000.0,142629000000.0,28513000000.0,1008110000000.0,35096000000.0,-89842000000.0,252570000000.0,120586000000.0,902798000000.0,230957000000.0,-89842000000.0,3174286000000.0,410184000000.0,,1206500000000.0,,1215069000000.0,59821000000.0,198174000000.0,276849000000.0,,4445000000.0,197911000000.0,,12366000000.0
TMAS.JK,2019-12-31,145603000000.0,2082994000000.0,1168072000000.0,24939000000.0,3266151000000.0,142629000000.0,149525000000.0,965861000000.0,31564000000.0,-86021000000.0,235276000000.0,40281000000.0,982055000000.0,203653000000.0,-86021000000.0,2511934000000.0,518941000000.0,,1168072000000.0,,861805000000.0,98360000000.0,277280000000.0,238738000000.0,,15085000000.0,226881000000.0,,3338000000.0
TMAS.JK,2018-12-31,145603000000.0,1768011000000.0,1067984000000.0,66043000000.0,2837426000000.0,142629000000.0,95426000000.0,872863000000.0,32412000000.0,-93111000000.0,246028000000.0,40377000000.0,956341000000.0,221393000000.0,-93111000000.0,2176593000000.0,411249000000.0,3556000000.0,1067984000000.0,,592574000000.0,81434000000.0,234045000000.0,379176000000.0,,1431000000.0,190844000000.0,,4218000000.0
BMHS.JK,2021-12-31,421742868415.0,1000855714277.0,1559956914102.0,74465060547.0,2687630545714.0,172068323520.0,9439860607.0,282345161623.0,48443113417.0,683800560544.0,54006744084.0,793916152380.0,726452078629.0,14225027142.0,683800560544.0,1472571803620.0,1009639587051.0,100600776564.0,1509145279707.0,15617629529.0,193498426984.0,31134772975.0,127570842296.0,28275076891.0,,126817917335.0,158255941800.0,50811634395.0,
BMHS.JK,2020-12-31,74440819965.0,1112837448853.0,995237210570.0,92388542590.0,2162536834465.0,150000000000.0,11495942154.0,83741664950.0,43612322974.0,687054725655.0,25241028203.0,624986556241.0,683215825248.0,11811161479.0,687054725655.0,1273018786037.0,815734493466.0,48542526759.0,995237210570.0,,377775120888.0,18986141553.0,120125322795.0,21295199457.0,,54462175042.0,160070708817.0,,
BMHS.JK,2019-12-31,74440819965.0,735163918349.0,618582010704.0,90536203524.0,1400758013082.0,1000000000.0,10748658568.0,-17049374403.0,33367911662.0,560190565142.0,22556300776.0,100254587466.0,258581911839.0,8920188321.0,560190565142.0,1124339697207.0,231096912765.0,22765102334.0,618582010704.0,,442986675888.0,16228817156.0,74678273005.0,74633351120.0,,47012084029.0,99048540256.0,,
BMHS.JK,2018-12-31,74440819965.0,708922258891.0,494777988480.0,39837081577.0,1241150609441.0,1000000000.0,11522256239.0,-24271986034.0,28430698231.0,443609154549.0,29055650919.0,102633751938.0,197801422687.0,7502610269.0,443609154549.0,988014829083.0,217579992330.0,6500137109.0,494777988480.0,,482393060973.0,10285564044.0,89227009714.0,50731173734.0,,37450362070.0,85902554457.0,,
JRPT.JK,2021-12-31,703770243000.0,3594354650000.0,7862170855000.0,3044776160000.0,11748147834000.0,275000000000.0,96050014000.0,7089947128000.0,300643332000.0,-206546516000.0,7163994017000.0,546059814000.0,3283208945000.0,,,164483432000.0,3372963980000.0,1046706405000.0,7862170855000.0,9030329000.0,10502373000.0,2681835373000.0,68400748000.0,5700000000.0,,291622329000.0,32391362000.0,,
JRPT.JK,2020-12-31,703770243000.0,3606436882000.0,7531226031000.0,2962573941000.0,11481521265000.0,275000000000.0,100692922000.0,6618042546000.0,346108821000.0,-65586758000.0,6279118693000.0,1009019620000.0,3244809938000.0,,,161562241000.0,4034439346000.0,1006400985000.0,7531226031000.0,7787904000.0,15149707000.0,2880962046000.0,74623059000.0,2000000000.0,,343858352000.0,29243110000.0,,
JRPT.JK,2019-12-31,703770243000.0,3762437184000.0,7087992476000.0,3090241205000.0,11164935100000.0,275000000000.0,109321655000.0,6112628179000.0,361115767000.0,-3405946000.0,6014098318000.0,814040955000.0,3385768357000.0,,,150078346000.0,3882837365000.0,1117921071000.0,7087992476000.0,6083026000.0,15553060000.0,2850655652000.0,89434503000.0,5700000000.0,,314505440000.0,97784405000.0,,
