emiten,tanggal,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,longTermDebt,inventory,accountsPayable,shortLongTermDebt,intangibleAssets,minorityInterest,netReceivables,goodWill,deferredLongTermLiab
DUTI.JK,2019-12-31,465031634211.0,3197457277140.0,8718743630120.0,1489994985512.0,13788227459960.0,925000000000.0,521760714400.0,7299903157381.0,1188633995353.0,28808838528.0,6366474030838.0,3030524159572.0,1755044091811.0,,28808838528.0,304735856152.0,6724985445000.0,382729195673.0,8709440697823.0,14600875882.0,253779189976.0,2816499046776.0,90268453599.0,115663650000.0,,1872026552700.0,338617614917.0,9302932297.0,
DUTI.JK,2018-12-31,465031634211.0,3227976940583.0,7606169948224.0,1419365884759.0,12642895738823.0,925000000000.0,460977558288.0,6202470253542.0,1286624074422.0,13668060471.0,6273370514408.0,2533281889883.0,1571910026185.0,,13668060471.0,317166296444.0,5665261049077.0,377794946597.0,7596867015927.0,14197729104.0,369442839976.0,2439476970963.0,49496529336.0,,,1808748850016.0,213408069408.0,9302932297.0,
ARNA.JK,2021-12-31,5752421445.0,670353190326.0,1548315059254.0,90210373428.0,2243523072803.0,91767887200.0,1323184892.0,1477298252692.0,65907083849.0,-26503502083.0,26422851845.0,602550379682.0,604446106477.0,22279013653.0,,766149629601.0,1450950591357.0,,1548315059254.0,,,160230729915.0,283642988384.0,,,24854823223.0,682451252832.0,,
ARNA.JK,2020-12-31,661790808.0,665401637797.0,1284037470567.0,79259528533.0,1970340289520.0,91767887200.0,807414186.0,1223974290165.0,62829255200.0,-32366497606.0,19952880183.0,435881790280.0,602572382597.0,17635444944.0,,767222504498.0,1183164904839.0,,1284037470567.0,,,126783512172.0,295373758438.0,,,20901181156.0,616007579661.0,,
ARNA.JK,2019-12-31,661790808.0,622355306743.0,1158204193601.0,95215250968.0,1799137069343.0,91767887200.0,4417857536.0,1071496671111.0,60350990723.0,-5722155518.0,23523726678.0,348977786130.0,562004316020.0,20438923186.0,,799758119934.0,975855222731.0,,1158204193601.0,,,97155151403.0,230149293517.0,,,18577568999.0,523863788842.0,,
ARNA.JK,2018-12-31,661790808.0,556309556626.0,1079492730190.0,28684100138.0,1652905985730.0,91767887200.0,123348248.0,990351066117.0,49453914762.0,-3288013935.0,29770193707.0,192813271612.0,476647908156.0,14401797512.0,,795547807911.0,827587984112.0,,1079492730190.0,,30207733708.0,125359480777.0,230796692119.0,24182975673.0,,17103698914.0,503845537083.0,,
SMBR.JK,2021-12-31,1270606785000.0,2351501098000.0,3466207984000.0,2912949000.0,5817745619000.0,993253434000.0,16310743000.0,1256729903000.0,207579183000.0,-54382138000.0,169125666000.0,534829582000.0,473114288000.0,,-54382138000.0,4132635897000.0,1311881924000.0,25000000.0,3262130852000.0,,1592119081000.0,282226860000.0,250835524000.0,58854644000.0,204077132000.0,36537000.0,476102431000.0,,
SMBR.JK,2020-12-31,1270606785000.0,2329286953000.0,3407853591000.0,3691274000.0,5737175560000.0,993253434000.0,25869289000.0,1203319758000.0,216590938000.0,-59326386000.0,151891964000.0,362469101000.0,850138636000.0,,-59326386000.0,4242524144000.0,1101657425000.0,25000000.0,3166776564000.0,,1173130470000.0,249819117000.0,258776436000.0,425523681000.0,241077027000.0,35016000.0,459092859000.0,,
SMBR.JK,2019-12-31,1270606785000.0,2088977112000.0,3482255377000.0,5119511000.0,5571270204000.0,993253434000.0,51849698000.0,1267929240000.0,155518878000.0,-49534082000.0,150383296000.0,185648846000.0,468526329000.0,,-49534082000.0,4171966909000.0,1071983297000.0,25000000.0,3305343675000.0,,1414544545000.0,340862066000.0,300134688000.0,72041272000.0,176911702000.0,37715000.0,483782149000.0,,
SMBR.JK,2018-12-31,1270606785000.0,2064408447000.0,3473634732000.0,6544195000.0,5538079503000.0,993253434000.0,104341881000.0,1256828043000.0,98224465000.0,-47053530000.0,88658915000.0,465826559000.0,636408215000.0,,-47053530000.0,4012558978000.0,1358329865000.0,25000000.0,3395127987000.0,,1262361788000.0,291077112000.0,461979311000.0,59241272000.0,78506745000.0,36324000.0,489242346000.0,,
UCID.JK,2021-12-31,1064255000000.0,2881008000000.0,4905688000000.0,247903000000.0,7787513000000.0,415657000000.0,145248000000.0,3434270000000.0,186752000000.0,-8494000000.0,157567000000.0,1499252000000.0,2390066000000.0,151273000000.0,11503000000.0,2813956000000.0,4815990000000.0,,4905688000000.0,,17440000000.0,964332000000.0,1023955000000.0,27632000000.0,,817000000.0,2181264000000.0,,
UCID.JK,2020-12-31,1064255000000.0,3149811000000.0,4494148000000.0,221281000000.0,7644451000000.0,415657000000.0,440954000000.0,3022730000000.0,154714000000.0,-8494000000.0,109180000000.0,1428189000000.0,2590637000000.0,104855000000.0,11503000000.0,2975123000000.0,4560148000000.0,,4494148000000.0,,44554000000.0,591966000000.0,813309000000.0,354629000000.0,,492000000.0,2087377000000.0,,
UCID.JK,2019-12-31,1061876000000.0,3974444000000.0,4341343000000.0,139068000000.0,8316053000000.0,415657000000.0,494516000000.0,2851831000000.0,139105000000.0,11979000000.0,117117000000.0,1986649000000.0,2314879000000.0,114188000000.0,11979000000.0,2637295000000.0,5561641000000.0,,4341343000000.0,,1520460000000.0,638942000000.0,844883000000.0,36849000000.0,,266000000.0,2392409000000.0,,
UCID.JK,2018-12-31,,4381943000000.0,2797520000000.0,147917000000.0,7179647000000.0,332526000000.0,371057000000.0,2462340000000.0,103854000000.0,2654000000.0,93683000000.0,1140083000000.0,2393796000000.0,90783000000.0,2654000000.0,2940768000000.0,4145196000000.0,,2797520000000.0,1133000000.0,1884293000000.0,724227000000.0,938618000000.0,38386000000.0,,184000000.0,1805305000000.0,,
NATO.JK,2021-12-31,8883232.0,2744073437.0,801599599423.0,1068356526.0,804367332407.0,800111040400.0,56956250.0,1479400931.0,266210670.0,274860.0,557770281.0,142641092552.0,2477862767.0,557770281.0,274860.0,660344573114.0,143464989012.0,,801599599423.0,,,531855060.0,183671353.0,,,23659547.0,235085150.0,,
NATO.JK,2020-12-31,8736032.0,1175133924.0,807568829747.0,727143811.0,808770530038.0,800109200400.0,84142690.0,7450893315.0,113549332.0,,1667347357.0,148026420500.0,1061584592.0,1667347357.0,,658149072620.0,148882142706.0,,807496862392.0,,,606870721.0,187130377.0,,,26566367.0,164708795.0,71967355.0,
NATO.JK,2019-12-31,7892000.0,4786805291.0,806656732213.0,2160238305.0,811463616498.0,800098650000.0,521772117.0,6550190213.0,851412020.0,,1245266710.0,151550957000.0,3935393271.0,1245266710.0,,656156482276.0,153989900157.0,,806584764858.0,,,741677102.0,457690766.0,,,20078994.0,1022320139.0,71967355.0,
NATO.JK,2018-12-31,,21831317432.0,603252737685.0,3272390793.0,625087426131.0,600000000000.0,8018150000.0,3252737685.0,398073185.0,,2407876048.0,3352787000.0,16433244247.0,2407876048.0,,607998592863.0,14608989865.0,,603180770330.0,,5000000000.0,736051929.0,559207890.0,7583333333.0,,3371014.0,561794909.0,71967355.0,
CPRO.JK,2021-12-31,,3586807000000.0,2858781000000.0,206269000000.0,6448014000000.0,5002156000000.0,76554000000.0,-4142614000000.0,465582000000.0,1999239000000.0,529949000000.0,98125000000.0,2055151000000.0,146464000000.0,1999239000000.0,4040293000000.0,1818753000000.0,56049000000.0,2855811000000.0,,1026644000000.0,1099259000000.0,468956000000.0,60187000000.0,2970000000.0,2426000000.0,533278000000.0,,
CPRO.JK,2020-12-31,,5618709000000.0,705070000000.0,293148000000.0,6326293000000.0,5002156000000.0,63410000000.0,-6366627000000.0,502946000000.0,2069541000000.0,501859000000.0,301607000000.0,5085064000000.0,150595000000.0,2069541000000.0,4058063000000.0,1702148000000.0,56295000000.0,697142000000.0,,,795586000000.0,648312000000.0,2362903000000.0,7928000000.0,2514000000.0,532512000000.0,,
CPRO.JK,2019-12-31,,5670767000000.0,327499000000.0,265251000000.0,6000259000000.0,5002156000000.0,107964000000.0,-6735273000000.0,593047000000.0,2060616000000.0,313511000000.0,129243000000.0,5077465000000.0,6072000000.0,2060616000000.0,4052936000000.0,1574516000000.0,46661000000.0,314864000000.0,,,787338000000.0,575034000000.0,2580776000000.0,12635000000.0,1993000000.0,525538000000.0,,
CPRO.JK,2018-12-31,,5898097000000.0,672646000000.0,323793000000.0,6572440000000.0,5002156000000.0,149195000000.0,-6376730000000.0,590457000000.0,2047220000000.0,345455000000.0,115297000000.0,3192796000000.0,2201000000.0,2047220000000.0,4206297000000.0,1959723000000.0,46661000000.0,658342000000.0,,2114777000000.0,871072000000.0,999872000000.0,331494000000.0,14304000000.0,1697000000.0,789004000000.0,,
NFCX.JK,2021-12-31,283429037784.0,539497347440.0,619106810934.0,221993757446.0,1926693143204.0,66666750000.0,104729456411.0,237183516984.0,2849405441.0,31827506166.0,23237055123.0,317202772811.0,485003423552.0,3714609536.0,38453471666.0,225199268470.0,1580381529470.0,90126491212.0,611358012005.0,,39236593045.0,349478795978.0,185393086280.0,15886026950.0,7748798929.0,768088984830.0,265936329704.0,,
NFCX.JK,2020-12-31,283429037784.0,409616561116.0,459936140638.0,23627338649.0,1403992329735.0,66666750000.0,47716045298.0,75103096951.0,1687454000.0,34737255903.0,11726492579.0,266532948429.0,337680268108.0,584604922.0,41363221403.0,186538523926.0,1117816587759.0,71561123908.0,443586539075.0,,55161443399.0,422209444852.0,212233011998.0,15846170096.0,16349601563.0,534439627981.0,380533718850.0,,
NFCX.JK,2019-12-31,283429037784.0,283850963490.0,486923867003.0,25857847262.0,1341118244979.0,66666750000.0,80028916820.0,51153110971.0,749348000.0,85674968248.0,1428870647.0,465146929177.0,282957848823.0,401136000.0,85674968248.0,18852297568.0,1257937730321.0,51207214465.0,475231735025.0,,,280161237168.0,190241052049.0,,11692131978.0,570343414486.0,317305397332.0,,
NFCX.JK,2018-12-31,283081137931.0,117482127849.0,366474867149.0,12653531119.0,531535643965.0,66666750000.0,56995039763.0,15601148780.0,9725602626.0,1125830438.0,646372524.0,43650242074.0,79794022982.0,56567250.0,1125830438.0,4686603538.0,518994146417.0,,359266345663.0,,27962502241.0,72670773814.0,33553769522.0,,6011419773.0,47578648967.0,218671036933.0,1197101713.0,
SAMF.JK,2021-12-31,12030897968.0,900912951489.0,835848761546.0,36467769063.0,1763123879245.0,512500000000.0,51960012013.0,312595638515.0,16170013930.0,-1277774937.0,5175324285.0,99823579040.0,884452469621.0,5175324285.0,-1277774937.0,309524775723.0,1413923779237.0,34500000000.0,835848761546.0,,,758516785059.0,310218600538.0,10198137714.0,,26362166210.0,503573717455.0,,
SAMF.JK,2020-12-31,12030897968.0,558300272457.0,759972333018.0,17581388970.0,1342071492913.0,512500000000.0,6122232389.0,236523782796.0,14444241755.0,-1082347746.0,5590292108.0,46296872740.0,511577005759.0,5590292108.0,-1082347746.0,300913388255.0,1001067812550.0,34500000000.0,759972333018.0,,30993876251.0,381262232523.0,195214145446.0,13597516980.0,,23798887438.0,567180483049.0,,
SAMF.JK,2019-12-31,,716891004184.0,607156351326.0,4205999750.0,1347469793668.0,435000000000.0,13080471686.0,173527631652.0,12583990028.0,-1371280326.0,5887733523.0,58576903422.0,660887740084.0,5887733523.0,-1371280326.0,252751373563.0,1053930686582.0,34900000000.0,607156351326.0,,43419274072.0,433740654510.0,161219915388.0,34267529802.0,,23422438158.0,548429503654.0,,
SAMF.JK,2018-12-31,,827657318004.0,572311996908.0,8431689194.0,1421702249266.0,360000000000.0,24350042714.0,213070568536.0,9558127345.0,-758571628.0,2378560994.0,60133244053.0,735433395890.0,2378560994.0,-758571628.0,217085394092.0,1199988294180.0,2250000000.0,572311996908.0,,81788910208.0,499643602281.0,146865632356.0,23597516980.0,,21732934354.0,615831691110.0,,
PALM.JK,2021-12-31,531154469000.0,39999352000.0,5827680378000.0,39060922000.0,5867669837000.0,106793105000.0,38764000.0,5205154485000.0,253118000.0,-15421681000.0,703473000.0,461368476000.0,39746234000.0,133753000.0,,2363346000.0,470208894000.0,5394394124000.0,5827680378000.0,,,,,,,-9893000.0,8766699000.0,,
PALM.JK,2020-12-31,531154469000.0,192674823000.0,3850926318000.0,13963276000.0,4043604072000.0,106793105000.0,9615222000.0,2979825364000.0,108532664000.0,233153380000.0,4459022000.0,52843510000.0,84142159000.0,762288000.0,248575061000.0,587072875000.0,82309265000.0,3369762910000.0,3850926318000.0,,,6591951000.0,9504647000.0,54740000000.0,,2931000.0,12835322000.0,,
PALM.JK,2019-12-31,531154469000.0,262899779000.0,2067399481000.0,1778564000.0,2330315741000.0,106793105000.0,14118001000.0,346978754000.0,108315758000.0,1082473153000.0,1243487000.0,54697298000.0,99844021000.0,330510000.0,1097894834000.0,554764481000.0,95032974000.0,1679274799000.0,2067399481000.0,,54740000000.0,7226466000.0,4834595000.0,86940000000.0,,16481000.0,17840545000.0,,
PALM.JK,2018-12-31,531154469000.0,379797334000.0,1612029347000.0,12565513000.0,1992544414000.0,106793105000.0,16888170000.0,372477233000.0,132929619000.0,601604540000.0,3034081000.0,98438402000.0,102794199000.0,863218000.0,615976336000.0,808538076000.0,154440107000.0,1026532150000.0,1612029347000.0,,143840010000.0,11531770000.0,7219490000.0,75670000000.0,,717733000.0,25969441000.0,,
PNLF.JK,2021-12-31,,4429768000000.0,26623308000000.0,40805000000.0,33192581000000.0,4002759000000.0,308100000000.0,17928243000000.0,789430000000.0,4692306000000.0,153960000000.0,5988442000000.0,3630808000000.0,,4692306000000.0,162991000000.0,9304934000000.0,23356047000000.0,26408659000000.0,6400000000.0,,,3468213000000.0,,214649000000.0,2139505000000.0,110022000000.0,,552000000.0
PNLF.JK,2020-12-31,,4536463000000.0,25688869000000.0,35335000000.0,32381721000000.0,4002759000000.0,297383000000.0,16600430000000.0,1041357000000.0,5085680000000.0,152920000000.0,5615213000000.0,3480114000000.0,,5085680000000.0,170972000000.0,8635500000000.0,23190157000000.0,25456697000000.0,28900000000.0,,,3341392000000.0,,232172000000.0,2156389000000.0,94463000000.0,,1603000000.0
PNLF.JK,2019-12-31,,4394402000000.0,23858273000000.0,33302000000.0,30289386000000.0,4002759000000.0,205275000000.0,15662015000000.0,347289000000.0,4193499000000.0,167775000000.0,3869897000000.0,4047113000000.0,,4193499000000.0,156247000000.0,8560329000000.0,21155339000000.0,23608577000000.0,1293560000000.0,,,3910921000000.0,,249696000000.0,2036711000000.0,60354000000.0,,3700000000.0
PNLF.JK,2018-12-31,,4482142000000.0,21792812000000.0,28130000000.0,28252725000000.0,4002759000000.0,164049000000.0,13648475000000.0,1019877000000.0,4141578000000.0,202299000000.0,3791567000000.0,3462265000000.0,,4141578000000.0,162633000000.0,7543437000000.0,20077138000000.0,21525594000000.0,,,,3349506000000.0,,267218000000.0,1977771000000.0,35648000000.0,,4683000000.0
AUTO.JK,2021-12-31,2914054000000.0,5101517000000.0,10847592000000.0,381544000000.0,16947148000000.0,481973000000.0,256676000000.0,7151635000000.0,779856000000.0,299930000000.0,1476412000000.0,1837380000000.0,4320354000000.0,489698000000.0,299930000000.0,3232407000000.0,6621704000000.0,5417278000000.0,10648245000000.0,,,2356438000000.0,2208504000000.0,245000000000.0,69347000000.0,998039000000.0,2090742000000.0,130000000000.0,
AUTO.JK,2020-12-31,2914054000000.0,3909303000000.0,10293093000000.0,320354000000.0,15180094000000.0,481973000000.0,301138000000.0,6647757000000.0,823054000000.0,249309000000.0,1310886000000.0,1503144000000.0,2775650000000.0,429383000000.0,249309000000.0,3521659000000.0,5153633000000.0,4999602000000.0,10098779000000.0,,300000000000.0,1557446000000.0,1323053000000.0,,64314000000.0,977698000000.0,1763221000000.0,130000000000.0,
AUTO.JK,2019-12-31,2914054000000.0,4365175000000.0,10580610000000.0,375244000000.0,16015709000000.0,481973000000.0,344521000000.0,6937524000000.0,676176000000.0,247059000000.0,1376652000000.0,788153000000.0,3438999000000.0,443903000000.0,247059000000.0,3513176000000.0,5544549000000.0,5367248000000.0,10366526000000.0,,250000000000.0,2109754000000.0,1776905000000.0,,84084000000.0,1069924000000.0,2215190000000.0,130000000000.0,
AUTO.JK,2018-12-31,2914054000000.0,4626013000000.0,10207884000000.0,464345000000.0,15889648000000.0,481973000000.0,418448000000.0,6548719000000.0,559314000000.0,263138000000.0,1515792000000.0,889615000000.0,4066699000000.0,430389000000.0,263138000000.0,3498912000000.0,6013683000000.0,4642867000000.0,9989490000000.0,,,2472029000000.0,1983785000000.0,349812000000.0,88394000000.0,1055751000000.0,2154602000000.0,130000000000.0,
