emiten,tanggal,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
UNIC.JK,2021-12-31,,,73861914,8862499.0,58219737,20545496,93961266,73209078,73209078,206692.0,-284277,,,,15809197,371080905,297871827,277119639,652836,,58052717,58219737
UNIC.JK,2020-12-31,,,38453089,8382180.0,27703452,19102681,55446614,35713393,35713393,630540.0,-197368,,,,11158268,324957368,289243975,269510754,2739696,,27294821,27703452
UNIC.JK,2019-12-31,,,13831527,8929718.0,12212707,18116008,33923330,15481974,15481974,325348.0,-1373800,,,,2443198,322098564,306616590,288175234,-1650447,,11388329,12212707
UNIC.JK,2018-12-31,,,28215810,8943416.0,17717226,17618838,32548972,14727927,14727927,202207.0,-2097778,,,,10935180,350397369,335669442,317848397,13487883,,17280630,17717226
CLEO.JK,2021-12-31,,,230343242053,,180711667020,192924817630,455625968395,261608182455,261608182455,1092968310.0,-13523533819,,,,49631575033,1103519743574,841911561119,647893775179,-31264940402,,180711667020,180711667020
CLEO.JK,2020-12-31,,,168964556985,,132772234495,189372116063,403453216060,213024104210,213024104210,1056995787.0,-25247847586,,,,36192322490,972634784176,759610679966,569181568116,-44059547225,,132772234495,132772234495
CLEO.JK,2019-12-31,,,172667589552,,130756566406,178242403372,385466432726,205768914930,205768914930,1455114424.0,-14564459528,,,,41911127844,1084912780290,879143865360,699446347564,-33101325378,,130756461708,130756566406
CLEO.JK,2018-12-31,,,81834159473,583406.0,63262127839,154329100953,263513889731,108042128872,108042128872,1142659906.0,-22163045575,,,,18572406999,831104026853,723061897981,567590137122,-26207969399,,63261752474,63262127839
BOGA.JK,2021-12-31,,,37471580135,121529664.0,27497597310,35296806149,63239789525,27942983376,27942983376,,-2898577244,,,,9948655962,556343297730,528400314354,493103508205,9528596759,,27522924173,27497597310
BOGA.JK,2020-12-31,,,15784634474,96202801.0,9743363290,29352530403,35676247553,6323717150,6323717150,,-5913913850,,,,6036414462,478025803002,471702085852,442349555449,9460917324,,9748220012,9743363290
BOGA.JK,2019-12-31,,,17651441119,91346079.0,9814928852,30397414848,48386163614,17988748766,17988748766,,-7137103633,,,,7822924680,790812109230,772823360464,742425945616,-337307647,,9828516439,9814928852
BOGA.JK,2018-12-31,,,18985636053,77758492.0,11658981248,25548142242,46527657940,24176251562,24176251562,-3196735864.0,-5190615509,,,,7304354911,692194495232,668018243670,645666837292,-5190615509,,11681281142,11658981248
DSNG.JK,2021-12-31,,,965884000000,125126000000.0,727153000000,690629000000,2087344000000,1417906000000,1417906000000,-10256000000.0,-413234000000,,,,226235000000,7124495000000,5706589000000,5037151000000,-452022000000,,739649000000,727153000000
DSNG.JK,2020-12-31,,,695296000000,109008000000.0,476637000000,670469000000,1752443000000,1030912000000,1030912000000,49936000000.0,-503805000000,,,,217125000000,6698918000000,5668006000000,4946475000000,-335616000000,,478171000000,476637000000
DSNG.JK,2019-12-31,,,280084000000,85348000000.0,179940000000,719258000000,1462406000000,754152000000,754152000000,-11004000000.0,-537577000000,,,,101920000000,5736684000000,4982532000000,4274278000000,-474068000000,,178164000000,179940000000
DSNG.JK,2018-12-31,,,611264000000,87773000000.0,420502000000,590291000000,1491554000000,908670000000,908670000000,-7407000000.0,-312467000000,,,,178847000000,4761805000000,3853135000000,3270251000000,-297406000000,-5172000000.0,432417000000,420502000000
IPTV.JK,2021-12-31,,,217756000000,179003000000.0,198660000000,374755000000,861623000000,486868000000,486868000000,,-218361000000,,,,25288000000,3741668000000,3254800000000,2880045000000,-269112000000,,192468000000,198660000000
IPTV.JK,2020-12-31,,,290700000000,205360000000.0,229987000000,351685000000,903361000000,551676000000,551676000000,,-187173000000,,,,50332000000,3685291000000,3133615000000,2781930000000,-260976000000,,240368000000,229987000000
IPTV.JK,2019-12-31,,,323366000000,167542000000.0,312346000000,347137000000,783927000000,436790000000,436790000000,,-229298000000,,,,-2819000000,3524913000000,3088123000000,2740986000000,-113424000000,,326185000000,312346000000
IPTV.JK,2018-12-31,,,-112286000000,40061000000.0,-46988000000,328380000000,659699000000,331319000000,331319000000,,-191076000000,,,,-43155000000,3227280000000,2895961000000,2567581000000,-443605000000,,-69131000000,-46988000000
BUMI.JK,2021-12-31,,,291061679,1127106626.0,168018153,77876631,201736646,123860015,123860015,,-213266427,,,,67684665,1008212975,884352960,806476329,167201664,,223377014,168018153
BUMI.JK,2020-12-31,,,-322439419,731450969.0,-338023994,54594288,91508745,-76886902,-76886902,3777875.0,-222509876,,,,14911550,790436397,867323299,698927652,-245552517,,-337350969,-338023994
