emiten,tanggal,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,shortLongTermDebt,minorityInterest,longTermInvestments,shortTermInvestments
MCOL.JK,2021-12-31,,95516400.0,173934322.0,382121473.0,,66012101.0,576551349.0,37832823.0,31544212.0,251040237.0,15879323.0,,-2267987.0,35038646.0,228307949.0,121899643.0,1457218.0,-2267987.0,223906599.0,313388349.0,382121473.0,41876281.0,7439969.0,10934114.0,22221070.0,5656650.0,20495554.0,4217755.0,
MCOL.JK,2020-12-31,,63109086.0,151945703.0,148190474.0,,11734390.0,317128077.0,35339591.0,3236360.0,51302783.0,16066560.0,,-1560986.0,27182391.0,67618851.0,71988042.0,1309546.0,-1560986.0,193181121.0,91726725.0,148190474.0,14209551.0,36140252.0,6032285.0,14622932.0,24307939.0,16991900.0,5037840.0,
MCOL.JK,2019-12-31,,63109086.0,161959123.0,154727540.0,,15653222.0,332205493.0,35339591.0,2628967.0,57213943.0,16689041.0,,-935080.0,41727914.0,37804552.0,84471645.0,1426734.0,-935080.0,199149662.0,86285667.0,154727540.0,23685866.0,35534978.0,21513407.0,23016556.0,16918325.0,15518830.0,5042250.0,
MCOL.JK,2018-12-31,,63109086.0,126369632.0,141509917.0,,4618498.0,280305287.0,35339591.0,1382837.0,43924292.0,10379331.0,,-863052.0,45116516.0,14942621.0,79268437.0,1591822.0,-863052.0,163788204.0,71400567.0,141509917.0,31886074.0,10374025.0,22654806.0,25148675.0,10901565.0,12425738.0,,
CITA.JK,2021-12-31,,1125412249316.0,635243465372.0,3671260151802.0,,7353142351.0,4305752389646.0,396036125000.0,21068453526.0,2157950098225.0,79325808078.0,,-8138320739.0,293875289889.0,167437777525.0,555917657294.0,8675290386.0,-8138320739.0,866533399804.0,1227615176899.0,3671260151802.0,495505523346.0,,536923288720.0,380527604927.0,3244346240.0,-751227528.0,1917728523054.0,
CITA.JK,2020-12-31,,1125412249316.0,686128746815.0,3454636059168.0,,55920819775.0,4140022660450.0,396036125000.0,26907428760.0,1946955605461.0,82294025874.0,,-13767920609.0,295499413788.0,193540574802.0,600627663847.0,9448448702.0,-13767920609.0,891040550854.0,1248596075999.0,3454636059168.0,271033996413.0,3207057094.0,750861551501.0,339406222970.0,32836546916.0,-742145533.0,1704886619809.0,
CITA.JK,2019-12-31,,135681167.0,1847122969502.0,2014909948668.0,,56077031020.0,3861308057131.0,337073490000.0,93090941874.0,1671266460687.0,49910343079.0,,6434316814.0,345823797469.0,124622002158.0,1430330374800.0,10462531920.0,6434316814.0,862554384821.0,971407339213.0,2014909948668.0,360729591467.0,355245307493.0,387631680147.0,523547139655.0,297675697205.0,-724861039.0,1681522535628.0,
CITA.JK,2018-12-31,,135681167.0,1768872308186.0,1500350892987.0,,48341880716.0,3268567743522.0,337073490000.0,39141555851.0,1016239384502.0,39634566957.0,,146902337318.0,316155778091.0,37342200054.0,1369124187467.0,9490484230.0,146902337318.0,686567048203.0,626368355469.0,1500350892987.0,141028759300.0,334258063140.0,404257133095.0,210602618536.0,555331465367.0,-655457651.0,1639476561759.0,
TAPG.JK,2021-12-31,25715000000.0,3335405000000.0,4650315000000.0,7513220000000.0,1990000000.0,392281000000.0,12446326000000.0,1985254000000.0,420554000000.0,2810399000000.0,385665000000.0,60652000000.0,-617838000000.0,719552000000.0,1280238000000.0,1604503000000.0,485484000000.0,-617838000000.0,7118593000000.0,2449417000000.0,7426853000000.0,71002000000.0,2657634000000.0,673274000000.0,267317000000.0,639875000000.0,282791000000.0,2072397000000.0,2345000000.0
TAPG.JK,2020-12-31,21648000000.0,3261608000000.0,5667688000000.0,6468886000000.0,2073000000.0,339716000000.0,12323970000000.0,1898634000000.0,292138000000.0,1951335000000.0,317668000000.0,60652000000.0,-642691000000.0,615887000000.0,1489961000000.0,1913632000000.0,392549000000.0,-642691000000.0,7202247000000.0,2572084000000.0,6386586000000.0,145899000000.0,3389494000000.0,636749000000.0,384580000000.0,657247000000.0,187396000000.0,1851452000000.0,4617000000.0
TAPG.JK,2019-12-31,22127000000.0,3261608000000.0,6514873000000.0,5584315000000.0,658000000.0,255955000000.0,12265776000000.0,1898634000000.0,268415000000.0,1040267000000.0,280730000000.0,60652000000.0,-616194000000.0,691202000000.0,1464146000000.0,2070823000000.0,415192000000.0,-616194000000.0,7273229000000.0,2725186000000.0,5501536000000.0,147478000000.0,4035317000000.0,687743000000.0,411419000000.0,593614000000.0,166588000000.0,1493380000000.0,154867000000.0
TAPG.JK,2018-12-31,19593000000.0,3261608000000.0,7591070000000.0,5392517000000.0,5929000000.0,266060000000.0,13154169000000.0,1898634000000.0,200201000000.0,848852000000.0,254463000000.0,63228000000.0,-616577000000.0,832795000000.0,2833684000000.0,2770053000000.0,486489000000.0,-616577000000.0,6915482000000.0,3925848000000.0,5309696000000.0,109747000000.0,4430036000000.0,621627000000.0,357015000000.0,449977000000.0,170582000000.0,1397223000000.0,157768000000.0
ARCI.JK,2021-12-31,,95790451.0,457110083.0,232669284.0,,14991553.0,689697405.0,20350482.0,6930934.0,121842427.0,54444963.0,,-5314076.0,128488974.0,12298872.0,201424186.0,199339.0,-5314076.0,480015880.0,79159781.0,232669284.0,13162181.0,201240934.0,44286038.0,41732994.0,68423742.0,-81962.0,2032770.0,
ARCI.JK,2020-12-31,,33995425.0,505893585.0,94322230.0,,21447348.0,600236306.0,19491334.0,8153317.0,46115116.0,53490502.0,,-5279645.0,109359547.0,40190872.0,125998254.0,2715726.0,-5279645.0,388679436.0,101941620.0,94322230.0,14404614.0,326404829.0,37829124.0,8338238.0,68576090.0,20491.0,255703.0,
ARCI.JK,2019-12-31,,33995425.0,439595484.0,173779707.0,,20847256.0,613403859.0,19491334.0,8529553.0,125544065.0,52759009.0,,-5251117.0,114155079.0,48416517.0,105883372.0,4703358.0,-5251117.0,325684590.0,173564190.0,173779707.0,86703120.0,280953103.0,28015539.0,9426815.0,52208417.0,28668.0,,
ARCI.JK,2018-12-31,,33995425.0,480015329.0,155674762.0,,9109895.0,635690180.0,19491334.0,8752116.0,107514708.0,52331896.0,,-5326705.0,113857610.0,15729800.0,94650590.0,4963942.0,-5326705.0,335490819.0,186341751.0,155674762.0,107844977.0,333032843.0,51936775.0,10414660.0,51065863.0,89.0,,
FAPA.JK,2021-12-31,,462087643325.0,4748318317446.0,2998753855691.0,,270721863052.0,7934144926261.0,3629411800000.0,452880898279.0,-1143113812551.0,127520213765.0,,50368224917.0,745335120517.0,166445075824.0,854169641996.0,197314921621.0,50368224917.0,6001247604721.0,1187562201023.0,2998753855691.0,57803879303.0,3765792524920.0,505522786837.0,229591219925.0,264601396699.0,187072753124.0,,
FAPA.JK,2020-12-31,,462087643325.0,5102786548569.0,2588159400319.0,,228171600915.0,7800327777736.0,3629411800000.0,312968404410.0,-1527550990227.0,123861578220.0,,24210947221.0,645338550954.0,45019351674.0,1017373587933.0,222610251434.0,24210947221.0,6316768713620.0,838220513162.0,2588159400319.0,45427998311.0,3961112209466.0,429266993984.0,281739236398.0,179017462612.0,109381828848.0,,
FAPA.JK,2019-12-31,,2907499550.0,4386226940047.0,3324516313272.0,,313181393394.0,7673293881197.0,866000000000.0,373131929183.0,-1407225406064.0,86577221174.0,,3862834219786.0,568310648002.0,25416260990.0,1623835693551.0,217599772297.0,3862834219786.0,6193367273095.0,879610497600.0,3324516313272.0,96022022031.0,2674737144158.0,378778081506.0,311882182258.0,648657906175.0,-37449372122.0,32005462500.0,
FAPA.JK,2018-12-31,,2907499550.0,4415550214652.0,2801535689313.0,,351454759787.0,7190750943977.0,866000000000.0,185495004241.0,-1167128157400.0,61586411478.0,,3099756347163.0,395084734301.0,21155150322.0,1794390236516.0,125210400828.0,3099756347163.0,5933719892170.0,829940855006.0,2801535689313.0,113938368239.0,2559041945658.0,505944558718.0,290723362633.0,752786546917.0,-26334959988.0,32005462500.0,
BSSR.JK,2021-12-31,,48431262.0,182704693.0,252611443.0,133795.0,103769306.0,435317386.0,28468640.0,16944424.0,182086220.0,7658899.0,20102790.0,-6374679.0,13264209.0,165766995.0,169686767.0,5601715.0,-6374679.0,130166345.0,271784042.0,232508653.0,68173796.0,5317708.0,20239812.0,19466784.0,5955940.0,1250.0,,
BSSR.JK,2020-12-31,,48431262.0,72967723.0,190374976.0,242418.0,5896027.0,263343768.0,28468640.0,6607229.0,119849753.0,7474198.0,20102790.0,-6374679.0,22975476.0,25437581.0,60853847.0,3934010.0,-6374679.0,124297476.0,95968026.0,170272186.0,55871140.0,4375000.0,7587854.0,15021971.0,5000000.0,1069.0,,
BSSR.JK,2019-12-31,,48431262.0,80362658.0,170316626.0,303701.0,2429731.0,250680316.0,28468640.0,1279818.0,99791403.0,6723006.0,20102790.0,-6374679.0,23106629.0,12752524.0,64264652.0,3865683.0,-6374679.0,129933563.0,77537334.0,150213836.0,50555706.0,9375000.0,12366729.0,28803679.0,5000000.0,1032.0,,
BSSR.JK,2018-12-31,,48431262.0,94820865.0,150278353.0,195316.0,3668365.0,245100202.0,28468640.0,2649828.0,79753130.0,5991432.0,20102790.0,-6374679.0,8318301.0,17968352.0,74454433.0,2666682.0,-6374679.0,126219972.0,90459139.0,130175563.0,53586152.0,14375000.0,15939832.0,25019845.0,5000000.0,984.0,,
BJTM.JK,2021-12-31,,532734000000.0,89812791000000.0,10910539000000.0,83864000000.0,810905000000.0,100723330000000.0,3753875000000.0,9682648000000.0,5824847000000.0,,,799083000000.0,41661128000000.0,12150452000000.0,89422906000000.0,627211000000.0,799083000000.0,1144211000000.0,25534968000000.0,10910539000000.0,230431000000.0,389885000000.0,,85334767000000.0,274046000000.0,,32383023000000.0,3420685000000.0
