emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,dividendsPaid,effectOfExchangeRate,otherCashflowsFromInvestingActivities,repurchaseOfStock
SIMP.JK,2021-12-31,,0.0,-1376346000000.0,-938076000000.0,-1039809000000.0,,,984414000000.0,1299214000000.0,3706169000000.0,1386476000000.0,-55230000000.0,1335279000000.0,-1207006000000.0,-46503000000.0,9200000000.0,-195203000000.0,
SIMP.JK,2020-12-31,,0.0,-1575455000000.0,-194266000000.0,-235689000000.0,,,234281000000.0,710284000000.0,2511877000000.0,1395563000000.0,-41423000000.0,882033000000.0,-1365789000000.0,-46503000000.0,9551000000.0,-212258000000.0,
SIMP.JK,2019-12-31,-373766000000.0,0.0,-2513962000000.0,462567000000.0,508098000000.0,,,-546148000000.0,-354664000000.0,1677215000000.0,1404040000000.0,45531000000.0,819323000000.0,-1777264000000.0,-46503000000.0,-26015000000.0,-374129000000.0,
SIMP.JK,2018-12-31,-109323000000.0,0.0,-2120297000000.0,977747000000.0,746377000000.0,,,-76566000000.0,-189147000000.0,1155072000000.0,1356320000000.0,-76357000000.0,-124682000000.0,-1570282000000.0,-155013000000.0,29701000000.0,-467800000000.0,
MLPT.JK,2021-12-31,-32501000000.0,0.0,-118233000000.0,-93340000000.0,-295714000000.0,,,259198000000.0,73937000000.0,487141000000.0,150371000000.0,13251000000.0,77572000000.0,-86496000000.0,-215625000000.0,743000000.0,,
MLPT.JK,2020-12-31,-14395000000.0,0.0,-94404000000.0,-8125000000.0,-261079000000.0,,,172535000000.0,226453000000.0,580494000000.0,159627000000.0,-3579000000.0,248332000000.0,-80872000000.0,-249375000000.0,1442000000.0,,
MLPT.JK,2019-12-31,-15057000000.0,0.0,-314630000000.0,7838000000.0,-48726000000.0,,,137275000000.0,-217045000000.0,150130000000.0,132781000000.0,23124000000.0,-119926000000.0,-302596000000.0,-79688000000.0,-3819000000.0,,
MLPT.JK,2018-12-31,-2951000000.0,0.0,-138429000000.0,6236000000.0,-38311000000.0,,,99666000000.0,-44604000000.0,127022000000.0,101022000000.0,11703000000.0,-73666000000.0,-129457000000.0,-56250000000.0,5114000000.0,,
PLIN.JK,2021-12-31,,0.0,-127371590000.0,,-305077112000.0,,,447757412000.0,-71350891000.0,361097811000.0,52184137000.0,-2750000000.0,-138843738000.0,-125330053000.0,-302327112000.0,,14363840000.0,
PLIN.JK,2020-12-31,-131780000.0,0.0,-62645279000.0,479351840000.0,131077688000.0,,,-575176897000.0,36086222000.0,-32346187000.0,58072601000.0,-2750000000.0,484758109000.0,-91877772000.0,-348274152000.0,,49625534000.0,
PLIN.JK,2019-12-31,-437293000.0,0.0,1757625772000.0,-2623907338000.0,-2484104606000.0,,1915628000000.0,532693269000.0,-118427436000.0,608051398000.0,76039874000.0,-2750000000.0,-681745000.0,-39544779000.0,-1775825268000.0,,1644137608000.0,
PLIN.JK,2018-12-31,-438501000.0,0.0,-200225404000.0,-17467875000.0,1028125000.0,,1915628000000.0,553262253000.0,368849453000.0,568046732000.0,89723834000.0,18496000000.0,-74939355000.0,-59424781000.0,-1775825268000.0,,-106873127000.0,
