emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,dividendsPaid,effectOfExchangeRate,otherCashflowsFromInvestingActivities,repurchaseOfStock
SAMF.JK,2018-12-31,-32650000000.0,0.0,-3557822322.0,-19091231727.0,96599530640.0,,93000000000.0,81531794256.0,-1102682158.0,-94144390476.0,17153731804.0,156595460978.0,-192829916536.0,-3557822322.0,-40904698611.0,,,
PALM.JK,2021-12-31,339058836000.0,0.0,318732666000.0,-54740000000.0,-54740000000.0,,,2014375469000.0,408524966000.0,144532300000.0,12077007000.0,,-1881920176000.0,-20473763000.0,,,,
PALM.JK,2020-12-31,290583050000.0,0.0,264264562000.0,-87173506000.0,-320687785000.0,,,1993617292000.0,-1853788000.0,54569435000.0,13210411000.0,-11613000.0,-1952258268000.0,-27869956000.0,-233502666000.0,,,
PALM.JK,2019-12-31,122229451000.0,0.0,87817836000.0,-78184120000.0,-96923601000.0,,,-70724206000.0,-43741104000.0,-34635339000.0,14184160000.0,-11613000.0,21904707000.0,-35150565000.0,-17689596000.0,,,-1049885000.0
PALM.JK,2018-12-31,-45589683000.0,0.0,-117698370000.0,-667501340000.0,172487743000.0,,,-111414418000.0,-19469836000.0,-74259209000.0,31568290000.0,1111700000000.0,5586919000.0,-72237617000.0,-258421210000.0,,,-13289707000.0
PNLF.JK,2021-12-31,-11659000000.0,0.0,596411000000.0,-6005000000.0,-167637000000.0,,,1327813000000.0,373229000000.0,-55683000000.0,27413000000.0,-161632000000.0,-1410909000000.0,-3734000000.0,,138000000.0,614172000000.0,
PNLF.JK,2020-12-31,1109002000000.0,0.0,1779264000000.0,-6005000000.0,-85340000000.0,,,1859764000000.0,1745316000000.0,51091000000.0,29821000000.0,-85340000000.0,-1838494000000.0,-2411000000.0,,301000000.0,652424000000.0,
PNLF.JK,2019-12-31,-183508000000.0,0.0,491265000000.0,-6005000000.0,-162229000000.0,,,1975327000000.0,78330000000.0,-250168000000.0,10342000000.0,-162229000000.0,-2235837000000.0,-1989000000.0,,-538000000.0,663527000000.0,
PNLF.JK,2018-12-31,-441670000000.0,0.0,426307000000.0,-6005000000.0,-149401000000.0,,,1829402000000.0,318329000000.0,40593000000.0,11518000000.0,-149401000000.0,-1800327000000.0,-2318000000.0,,830000000.0,890551000000.0,
AUTO.JK,2021-12-31,-23202000000.0,0.0,-138158000000.0,-275636000000.0,-450109000000.0,,,611348000000.0,334236000000.0,911735000000.0,524327000000.0,-46761000000.0,-223940000000.0,-234348000000.0,-127712000000.0,10768000000.0,149963000000.0,
AUTO.JK,2020-12-31,52000000.0,0.0,-20476000000.0,-60992000000.0,-369203000000.0,,,2245000000.0,720964000000.0,1148276000000.0,510136000000.0,-105777000000.0,635895000000.0,-292820000000.0,-202434000000.0,-37633000000.0,305556000000.0,
AUTO.JK,2019-12-31,-407976000000.0,0.0,-673430000000.0,-82196000000.0,-512615000000.0,,,739672000000.0,-106111000000.0,1072057000000.0,482816000000.0,-164844000000.0,-150431000000.0,-452542000000.0,-265575000000.0,7877000000.0,185267000000.0,
AUTO.JK,2018-12-31,-35000000000.0,0.0,-212611000000.0,105617000000.0,-216949000000.0,,,610985000000.0,208375000000.0,678469000000.0,474031000000.0,-91273000000.0,-406547000000.0,-514264000000.0,-231293000000.0,-40534000000.0,289729000000.0,
