emiten,tanggal,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,intangibleAssets,goodWill,deferredLongTermAssetCharges,longTermInvestments,shortTermInvestments,deferredLongTermLiab
BTPS.JK,2018-12-31,846440000000.0,8042343000000.0,3996932000000.0,,114355000000.0,12039275000000.0,770370000000.0,553375000000.0,2353047000000.0,27542000000.0,27075000000.0,7177032000000.0,2554755000000.0,8014801000000.0,,27075000000.0,176801000000.0,3188726000000.0,3951198000000.0,,,,7612114000000.0,45734000000.0,,99584000000.0,1450982000000.0,,
HRUM.JK,2021-12-31,133353933.0,223950846.0,468964740.0,181706013.0,31877677.0,874621599.0,28877151.0,27356808.0,317402934.0,60762974.0,-10669278.0,21676931.0,149354808.0,80577513.0,16660000.0,776201.0,326779231.0,247611807.0,465084728.0,47937967.0,82552500.0,21292217.0,17338144.0,,3880012.0,4069368.0,274673618.0,,
HRUM.JK,2020-12-31,112772500.0,43905598.0,369911326.0,84885292.0,7996917.0,498702216.0,28877151.0,15043305.0,249650741.0,17937426.0,-21389066.0,17945359.0,211130696.0,24761588.0,,-1024835.0,126770098.0,249455822.0,366031314.0,9689293.0,,11943160.0,5023288.0,,3880012.0,3977061.0,100650925.0,,
HRUM.JK,2019-12-31,112772500.0,47418441.0,314143585.0,85439928.0,7989650.0,447001954.0,28877151.0,19557895.0,190507183.0,16147869.0,-18013249.0,22163135.0,226523205.0,31270572.0,,-841388.0,131919912.0,288389905.0,310263573.0,23721261.0,,16258147.0,18057793.0,,3880012.0,5917591.0,648990.0,,
HRUM.JK,2018-12-31,112772500.0,79502404.0,302040405.0,86446386.0,13559924.0,467989195.0,28877151.0,20214976.0,179642343.0,11349079.0,-19251589.0,14458406.0,216441996.0,68153325.0,,-2079728.0,136987506.0,310761349.0,298160393.0,36328338.0,,35258447.0,41510682.0,,3880012.0,7337543.0,1901922.0,,
CMRY.JK,2021-12-31,3727518000000.0,906840000000.0,4696889000000.0,50000000.0,223393000000.0,5603779000000.0,79347000000.0,6557000000.0,890024000000.0,29125000000.0,,70798000000.0,3661841000000.0,844888000000.0,8762000000.0,,674474000000.0,4832308000000.0,4696498000000.0,656520000000.0,32827000000.0,506666000000.0,336660000000.0,391000000.0,,20431000000.0,25808000000.0,,
CMRY.JK,2020-12-31,169753000000.0,352403000000.0,734350000000.0,29000000.0,40711000000.0,1086782000000.0,67445000000.0,1414000000.0,497152000000.0,36370000000.0,,31855000000.0,67047000000.0,275469000000.0,9083000000.0,,473829000000.0,556924000000.0,734350000000.0,325214000000.0,40564000000.0,162566000000.0,138829000000.0,,,16263000000.0,24174000000.0,,
CMRY.JK,2019-12-31,169753000000.0,256543000000.0,558727000000.0,21000000.0,32618000000.0,815291000000.0,67445000000.0,7484000000.0,321529000000.0,30087000000.0,,29457000000.0,20427000000.0,181222000000.0,11510000000.0,,418662000000.0,341175000000.0,558727000000.0,187852000000.0,45234000000.0,121023000000.0,92054000000.0,,,10729000000.0,25997000000.0,,
CMRY.JK,2018-12-31,169753000000.0,207982000000.0,451677000000.0,16000000.0,56795000000.0,659675000000.0,67445000000.0,3580000000.0,214479000000.0,24536000000.0,,51190000000.0,18562000000.0,183041000000.0,286000000.0,,301899000000.0,294448000000.0,451677000000.0,151688000000.0,405000000.0,116626000000.0,81844000000.0,,,11031000000.0,12138000000.0,,
FREN.JK,2021-12-31,826398789433.0,30704407248908.0,12653394188711.0,48305256.0,4349598687363.0,43357849742875.0,37161209633400.0,85600970178.0,-26034214234122.0,1401753705166.0,700000000000.0,5141386456957.0,463219099857.0,9603232140323.0,1122933767119.0,700000000000.0,33291782920059.0,2322497796081.0,10830299178838.0,156195089562.0,9668467921890.0,73045469122.0,385518619.0,921329878523.0,901765131350.0,1796137106348.0,779087559905.0,,6113612825.0
FREN.JK,2020-12-31,713340973067.0,26318344155226.0,12365888731128.0,43659722.0,3943292877599.0,38684276546076.0,32676808734000.0,271973952778.0,-25624260975939.0,1471487205121.0,4600000000000.0,4780213679331.0,654460680316.0,8417955655404.0,1036161455230.0,4600000000000.0,29672953182374.0,2646319224796.0,10781098271553.0,270332307126.0,9885154585684.0,57516266028.0,601636372.0,683025328225.0,901765131350.0,1672335718421.0,,,12899153130.0
FREN.JK,2019-12-31,713340973067.0,14914975380320.0,12735431986863.0,54811156.0,3262127744559.0,27650462178339.0,28146978619300.0,255034907251.0,-24124887605504.0,1358907753985.0,8000000000000.0,4339625134833.0,196775520432.0,6119936082173.0,803498662363.0,8000000000000.0,19894482043118.0,1774596661176.0,11093673647651.0,98471026545.0,6520263520542.0,60265792900.0,12275717510.0,739993207862.0,901765131350.0,1605313151236.0,,,469275001966.0
FREN.JK,2018-12-31,713340973067.0,12765589253394.0,12447898368124.0,107455518.0,2221113057553.0,25213595077036.0,23462023225000.0,297773042606.0,-21927465829943.0,1200767251067.0,10200000000000.0,4833114823030.0,405702084176.0,6113366615810.0,2005875634165.0,10200000000000.0,16747033996892.0,1987582883558.0,10802034994568.0,120531000809.0,4300147306394.0,67645533383.0,12017417537.0,744098242206.0,901765131350.0,1450633380973.0,,,1360699090333.0
BNII.JK,2021-12-31,6357376000000.0,140033353000000.0,28301139000000.0,423984000000.0,2259230000000.0,168758476000000.0,3855908000000.0,7351364000000.0,15610844000000.0,2367569000000.0,2477011000000.0,99468850000000.0,19747653000000.0,131390738000000.0,4840272000000.0,2477011000000.0,3506141000000.0,36306843000000.0,28093753000000.0,2163917000000.0,5882352000000.0,702834000000.0,118941138000000.0,200258000000.0,7128000000.0,401735000000.0,29269256000000.0,3553304000000.0,344106000000.0
BNII.JK,2020-12-31,6357376000000.0,146000782000000.0,26837593000000.0,386037000000.0,2270793000000.0,173224412000000.0,3855908000000.0,7339056000000.0,14219143000000.0,2382720000000.0,2405166000000.0,103017082000000.0,19571106000000.0,134848369000000.0,4748141000000.0,2405166000000.0,3479263000000.0,42235665000000.0,26611955000000.0,1164913000000.0,8305268000000.0,660554000000.0,121239173000000.0,218510000000.0,7128000000.0,373487000000.0,24266764000000.0,10781436000000.0,361444000000.0
BNII.JK,2019-12-31,6357376000000.0,142397914000000.0,26249433000000.0,435483000000.0,2816662000000.0,169082830000000.0,3855908000000.0,10433436000000.0,14016496000000.0,2126056000000.0,2019653000000.0,121014407000000.0,10502988000000.0,125963549000000.0,4452830000000.0,2019653000000.0,2927444000000.0,28389957000000.0,26007628000000.0,1827424000000.0,14308309000000.0,495751000000.0,113739947000000.0,234677000000.0,7128000000.0,422228000000.0,16509217000000.0,2469895000000.0,232284000000.0
BNII.JK,2018-12-31,6357376000000.0,152442167000000.0,24717762000000.0,372929000000.0,2517845000000.0,177532858000000.0,3855908000000.0,12844469000000.0,12722621000000.0,2473386000000.0,1781857000000.0,132267907000000.0,8729884000000.0,134590498000000.0,6072784000000.0,1781857000000.0,2926594000000.0,25598642000000.0,24518031000000.0,1720996000000.0,15378283000000.0,414959000000.0,119457451000000.0,192603000000.0,7128000000.0,590234000000.0,16539984000000.0,59457000000.0,220327000000.0
