emiten,tanggal,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,intangibleAssets,goodWill,deferredLongTermAssetCharges,longTermInvestments,shortTermInvestments,deferredLongTermLiab
GEMS.JK,2020-12-31,229019198.0,464283221.0,346531302.0,2903242.0,44712237.0,813717765.0,65065961.0,68170295.0,129362077.0,60569746.0,-76915934.0,75992099.0,202782114.0,330623136.0,16477226.0,-76915934.0,305340378.0,407856734.0,322032957.0,110971761.0,72760612.0,19332525.0,161122072.0,106981.0,24391364.0,6905275.0,30209.0,,
GEMS.JK,2019-12-31,229019198.0,422379157.0,355926022.0,2340988.0,13910088.0,780646167.0,65065961.0,69818309.0,138430698.0,58394015.0,-76589835.0,76340647.0,134509807.0,277997670.0,12117456.0,-76589835.0,312050752.0,367763825.0,331465288.0,127507232.0,85987472.0,22552076.0,170499313.0,69370.0,24391364.0,7125962.0,30209.0,,
GEMS.JK,2018-12-31,229019198.0,385233714.0,314601568.0,1211348.0,26906331.0,701046630.0,65065961.0,104116316.0,96021812.0,62350634.0,-75505403.0,70896278.0,78698801.0,248222303.0,9183960.0,-75505403.0,294627077.0,310997057.0,290105559.0,106814436.0,74660777.0,19439560.0,148656333.0,104645.0,24391364.0,6018839.0,30209.0,,
BEBS.JK,2021-12-31,91904751867.0,46450401712.0,672982985581.0,8864016310.0,34940388975.0,728297403603.0,450000000000.0,49949764449.0,131091990139.0,1203102874.0,-13756425.0,,26330591177.0,45247298838.0,,-13756425.0,557856029747.0,170441373856.0,672982985581.0,55371142149.0,,38687276541.0,6639199493.0,,,,,,
BEBS.JK,2020-12-31,,27134228108.0,370991897307.0,8872816310.0,6256378365.0,406998941725.0,350000000000.0,17322000000.0,21011924090.0,232301326.0,-20026783.0,554828768.0,234744580.0,22205495157.0,,-20026783.0,358761956059.0,47682156898.0,370991897307.0,8029270943.0,,21434960516.0,7522530915.0,,,554828768.0,,,
BEBS.JK,2019-12-31,,345405701220.0,25221235491.0,,50762936.0,370626936711.0,25000000000.0,25000000000.0,221235491.0,95374467.0,,618514183.0,113880972.0,332572536551.0,,,34817846946.0,335190575582.0,25221235491.0,301207928000.0,,8413368222.0,157525849.0,,,,,,
BBHI.JK,2021-12-31,28888724813.0,3346086245899.0,1303270902833.0,,76891908856.0,4649357148732.0,1168293357100.0,199861806678.0,56372562023.0,13090970379.0,49716258897.0,2187980252851.0,181907541872.0,3329703591520.0,,49716258897.0,30123236623.0,612847878499.0,1299726622074.0,7577745966.0,,221936929863.0,2285227498567.0,3544280759.0,,1635358624.0,1814861500000.0,,
BBHI.JK,2020-12-31,30292149898.0,2239597029811.0,347066458180.0,,4780979860.0,2586663487991.0,418443179500.0,76232793570.0,-136102056170.0,24405700038.0,34433184952.0,1257925803080.0,54924587548.0,2215191329773.0,,34433184952.0,30376640192.0,359646201881.0,342468005476.0,19782689547.0,,205581414783.0,1490834874415.0,4598452704.0,,5690466420.0,934116390134.0,499922278.0,
BBHI.JK,2019-12-31,30292149898.0,2227407291122.0,299765877648.0,,8370113441.0,2527173168770.0,418443179500.0,139022380797.0,-173113447507.0,25251466085.0,24143995757.0,1569784865611.0,438078776272.0,2202155825037.0,,24143995757.0,32804430650.0,805552676290.0,296299873398.0,19082461639.0,,152669063444.0,2187369259639.0,3466004250.0,,13860213445.0,115565191969.0,46902157067.0,
BBHI.JK,2018-12-31,30292149898.0,1927690426617.0,336482136901.0,,5236933366.0,2264172563518.0,418443179500.0,133554439355.0,-136093427673.0,24347259162.0,23840235176.0,1537911991292.0,257578621588.0,1903343167455.0,,23840235176.0,34368921424.0,595942867692.0,331870781106.0,18435167826.0,,163436586998.0,1891523612303.0,4611355795.0,,4243225824.0,91337427315.0,11199999999.0,
SMGR.JK,2021-12-31,1458258000000.0,36721357000000.0,36154557000000.0,3628326000000.0,547502000000.0,76504240000000.0,593152000000.0,737236000000.0,32944087000000.0,7793667000000.0,1159060000000.0,2641157000000.0,2470289000000.0,14210166000000.0,2999175000000.0,1159060000000.0,54720267000000.0,15270235000000.0,32337248000000.0,5871267000000.0,14360638000000.0,4615474000000.0,7612522000000.0,2472659000000.0,1344650000000.0,473521000000.0,55272000000.0,1357454000000.0,
SMGR.JK,2020-12-31,1458258000000.0,42352909000000.0,34173409000000.0,1479926000000.0,711386000000.0,78006244000000.0,593152000000.0,631721000000.0,32039825000000.0,7221517000000.0,82174000000.0,2338242000000.0,2930598000000.0,11506163000000.0,1100000000000.0,82174000000.0,56053483000000.0,15564604000000.0,30211714000000.0,6038038000000.0,23038769000000.0,4547825000000.0,6520699000000.0,2608353000000.0,1353342000000.0,551979000000.0,88220000000.0,1103469000000.0,
SMGR.JK,2019-12-31,1458258000000.0,45915143000000.0,32276815000000.0,1615109000000.0,1119867000000.0,79807067000000.0,593152000000.0,858315000000.0,29774283000000.0,6925189000000.0,451122000000.0,2145666000000.0,3950448000000.0,12240252000000.0,2052348000000.0,451122000000.0,56601702000000.0,16658531000000.0,28016756000000.0,6859591000000.0,26725245000000.0,4641646000000.0,5669759000000.0,2909363000000.0,1350696000000.0,658262000000.0,141109000000.0,67222000000.0,
SMGR.JK,2018-12-31,1458258000000.0,18168521000000.0,31192085000000.0,1423230000000.0,572666000000.0,50783836000000.0,593152000000.0,1121411000000.0,28613778000000.0,2076424000000.0,526897000000.0,1074715000000.0,5245731000000.0,8179819000000.0,50136000000.0,526897000000.0,32391950000000.0,16091024000000.0,30107398000000.0,5959717000000.0,7638985000000.0,3544142000000.0,4476149000000.0,751568000000.0,333119000000.0,562609000000.0,141460000000.0,8453000000.0,
INTP.JK,2021-12-31,2698863000000.0,5515150000000.0,20620964000000.0,,698730000000.0,26136114000000.0,1840616000000.0,279267000000.0,17669148000000.0,754704000000.0,-1587663000000.0,315993000000.0,6141267000000.0,4646506000000.0,,,14342412000000.0,11336733000000.0,20615259000000.0,2617718000000.0,,2267421000000.0,2127044000000.0,5705000000.0,,68173000000.0,135271000000.0,,
INTP.JK,2020-12-31,2698863000000.0,5168424000000.0,22176248000000.0,,603993000000.0,27344672000000.0,1840616000000.0,134038000000.0,17636769000000.0,705852000000.0,,545811000000.0,7697631000000.0,4215956000000.0,,,14397092000000.0,12299306000000.0,22170105000000.0,2620510000000.0,,1823772000000.0,1602701000000.0,6143000000.0,,73396000000.0,96320000000.0,,
INTP.JK,2019-12-31,2698863000000.0,4627488000000.0,23080261000000.0,,467900000000.0,27707749000000.0,1840616000000.0,220610000000.0,18540782000000.0,716416000000.0,,203860000000.0,7651750000000.0,3907492000000.0,,,14080158000000.0,12829494000000.0,22561750000000.0,3021217000000.0,,1895176000000.0,1773951000000.0,518511000000.0,,75284000000.0,75726000000.0,,
INTP.JK,2018-12-31,2698863000000.0,4566973000000.0,23221589000000.0,,383334000000.0,27788562000000.0,1840616000000.0,146812000000.0,18892488000000.0,635941000000.0,-210378000000.0,251302000000.0,7225876000000.0,3925649000000.0,,-210378000000.0,14637185000000.0,12315796000000.0,22735687000000.0,3050527000000.0,,1837769000000.0,1793728000000.0,485902000000.0,,109088000000.0,98377000000.0,,
SRTG.JK,2021-12-31,5184710000000.0,5136745000000.0,55993735000000.0,21047000000.0,7243000000.0,61151527000000.0,271297000000.0,4598000000.0,50448596000000.0,1169368000000.0,89132000000.0,372567000000.0,462112000000.0,7243000000.0,,127183000000.0,,1325908000000.0,55993735000000.0,859198000000.0,3960134000000.0,,,,,,59453052000000.0,,
SRTG.JK,2020-12-31,5185019000000.0,3652322000000.0,31377521000000.0,19106000000.0,11301000000.0,35048949000000.0,271297000000.0,3807000000.0,25851638000000.0,361854000000.0,69567000000.0,342431000000.0,430605000000.0,11301000000.0,,123262000000.0,,514952000000.0,31377521000000.0,80540000000.0,3279167000000.0,,,,,,34191566000000.0,,
SRTG.JK,2019-12-31,5185019000000.0,3883358000000.0,22724763000000.0,49402000000.0,29499000000.0,26657523000000.0,271297000000.0,3072000000.0,17177360000000.0,496410000000.0,91087000000.0,139260000000.0,393720000000.0,29499000000.0,,97184000000.0,,837081000000.0,22724763000000.0,440289000000.0,3357449000000.0,,,,,,25681182000000.0,,
SRTG.JK,2018-12-31,5185019000000.0,4150626000000.0,15655468000000.0,308780000000.0,48268000000.0,20114874000000.0,271297000000.0,52674000000.0,10105699000000.0,146709000000.0,93453000000.0,86491000000.0,782337000000.0,52719000000.0,,97437000000.0,,1200911000000.0,15655468000000.0,365900000000.0,3951198000000.0,,,,,,18827472000000.0,,
DSSA.JK,2021-12-31,10531355.0,1259863437.0,1527542293.0,222666966.0,185082760.0,3010072696.0,72498628.0,49784517.0,814437617.0,137410565.0,630074693.0,182215650.0,521356411.0,673072115.0,89830108.0,630074693.0,860403546.0,1145452766.0,1425159980.0,319424145.0,445325017.0,79885769.0,204400355.0,23105480.0,79276833.0,24957283.0,719618421.0,85734608.0,
DSSA.JK,2020-12-31,10531355.0,1311320300.0,1358977818.0,229932504.0,94072002.0,2900230622.0,72498628.0,95090874.0,678277700.0,171310662.0,597670135.0,191441530.0,610992594.0,724504586.0,224267722.0,597670135.0,879706512.0,1124916288.0,1242662761.0,234897276.0,413113758.0,89627245.0,186552048.0,23638224.0,92676833.0,27576318.0,587851235.0,70082740.0,
DSSA.JK,2019-12-31,10531355.0,2080864382.0,1485644593.0,152464089.0,166217408.0,3718973064.0,72498628.0,208800560.0,774799342.0,253842661.0,627815268.0,1530742268.0,325908109.0,667387770.0,153715003.0,627815268.0,694612922.0,865283201.0,1373083903.0,220257888.0,1158024185.0,65225440.0,201730968.0,11330857.0,101229833.0,42131073.0,515773983.0,,
DSSA.JK,2018-12-31,10531355.0,1873497037.0,1384782809.0,128511037.0,178821627.0,3386790883.0,72498628.0,219632457.0,724859554.0,243617723.0,576893272.0,1418620785.0,222608203.0,651017400.0,164786030.0,576893272.0,685659524.0,793587813.0,1264479823.0,236079081.0,977497383.0,75446846.0,187639917.0,12085153.0,108217833.0,37378732.0,368619775.0,,
ISAT.JK,2021-12-31,1546587000000.0,53094346000000.0,9180455000000.0,1122347000000.0,12744847000000.0,63397148000000.0,543393000000.0,1993794000000.0,6703092000000.0,1320229000000.0,387383000000.0,4098826000000.0,3789006000000.0,28658152000000.0,7666698000000.0,387383000000.0,45515184000000.0,11499439000000.0,7554390000000.0,2059993000000.0,8823666000000.0,18110000000.0,981761000000.0,301682000000.0,1324383000000.0,850394000000.0,657634000000.0,15652000000.0,
ISAT.JK,2020-12-31,1546587000000.0,49865344000000.0,11870482000000.0,1042914000000.0,14207200000000.0,62778740000000.0,543393000000.0,1533231000000.0,9426998000000.0,4040526000000.0,353504000000.0,4411008000000.0,1782246000000.0,22658094000000.0,2423307000000.0,353504000000.0,46522054000000.0,9594951000000.0,10150724000000.0,2589479000000.0,13586926000000.0,39813000000.0,657184000000.0,395375000000.0,1324383000000.0,1348036000000.0,530969000000.0,15926000000.0,
ISAT.JK,2019-12-31,1546587000000.0,49105807000000.0,12723270000000.0,983923000000.0,10726658000000.0,62813000000000.0,543393000000.0,754967000000.0,10143717000000.0,4396804000000.0,489573000000.0,4380414000000.0,5881174000000.0,22129440000000.0,5675497000000.0,489573000000.0,42753285000000.0,12444795000000.0,11056489000000.0,3037776000000.0,15931653000000.0,29406000000.0,607185000000.0,342398000000.0,1324383000000.0,1295455000000.0,1567725000000.0,5643000000.0,
ISAT.JK,2018-12-31,1546587000000.0,41003340000000.0,11174104000000.0,962143000000.0,10701490000000.0,53139587000000.0,543393000000.0,903376000000.0,8497003000000.0,2077052000000.0,587121000000.0,4968477000000.0,1045041000000.0,21040365000000.0,5805743000000.0,587121000000.0,34488374000000.0,7906525000000.0,7192138000000.0,2961752000000.0,15074734000000.0,47889000000.0,802933000000.0,2657583000000.0,1324383000000.0,1249018000000.0,1794245000000.0,462000000.0,
PGAS.JK,2021-12-31,,4226024344.0,2525349902.0,759574656.0,510540186.0,7510948902.0,344018831.0,36500945.0,2700285955.0,450138916.0,-518954884.0,530303909.0,1503293693.0,880909800.0,18540657.0,-518954884.0,4447960458.0,2191174530.0,2522807414.0,506490042.0,2421816421.0,54752577.0,165447030.0,2542488.0,,122293961.0,338967517.0,72977664.0,
PGAS.JK,2020-12-31,,4578547540.0,2233136700.0,722302155.0,669462826.0,7533986395.0,344018831.0,88576019.0,2396462090.0,437566687.0,-507344221.0,569517183.0,1179044518.0,1183155336.0,90725906.0,-507344221.0,4614273958.0,2005785786.0,2229818592.0,596115767.0,2458058821.0,68893975.0,215075275.0,3318108.0,,116927658.0,341091360.0,65775856.0,
PGAS.JK,2019-12-31,,4139412275.0,2560866153.0,673434728.0,425430297.0,7373713156.0,344018831.0,68002653.0,2728810783.0,456441207.0,-511963461.0,551317242.0,1040376489.0,1123361297.0,56994647.0,-511963461.0,4248020845.0,2204651127.0,2557040075.0,822471646.0,2529045959.0,70797779.0,260092040.0,3826078.0,,126316157.0,365897864.0,186360050.0,
PGAS.JK,2018-12-31,,4737382456.0,2574537400.0,627353311.0,458684992.0,7939273167.0,344018831.0,82955005.0,2758599371.0,370828667.0,-528080802.0,709640067.0,1315234446.0,1604524366.0,77088965.0,-528080802.0,4370060938.0,2473608746.0,2569987437.0,905409799.0,2735818692.0,78508478.0,213792906.0,4494587.0,55376.0,127295543.0,381413453.0,63633805.0,
EXCL.JK,2021-12-31,12216315000000.0,52664537000000.0,20088745000000.0,,13492401000000.0,72753282000000.0,1072467000000.0,396495000000.0,6934408000000.0,2338390000000.0,-134445000000.0,513377000000.0,2664387000000.0,20953921000000.0,1745085000000.0,,51912214000000.0,7733191000000.0,7694830000000.0,720320000000.0,8527146000000.0,156440000000.0,568794000000.0,5712558000000.0,6681357000000.0,,200585000000.0,,6429000000.0
EXCL.JK,2020-12-31,12232120000000.0,48607431000000.0,19137366000000.0,,11521770000000.0,67744797000000.0,1070601000000.0,304620000000.0,5969090000000.0,2364753000000.0,-134445000000.0,436380000000.0,2965589000000.0,18857026000000.0,1575522000000.0,,47162250000000.0,7571123000000.0,6739583000000.0,663694000000.0,7772632000000.0,143377000000.0,360045000000.0,5716426000000.0,6681357000000.0,85330000000.0,177261000000.0,,3697000000.0
EXCL.JK,2019-12-31,12202382000000.0,43603276000000.0,19121966000000.0,,12029690000000.0,62725242000000.0,1068796000000.0,596053000000.0,5850788000000.0,2840407000000.0,,938886000000.0,1603445000000.0,21292684000000.0,5461516000000.0,,42081680000000.0,7145648000000.0,6706424000000.0,904928000000.0,7347815000000.0,74608000000.0,688402000000.0,5734185000000.0,6681357000000.0,,143486000000.0,,3411000000.0
EXCL.JK,2018-12-31,12149371000000.0,39270856000000.0,18343098000000.0,,11460206000000.0,57613954000000.0,1068796000000.0,1290774000000.0,5124931000000.0,3044679000000.0,,1347467000000.0,1047115000000.0,15733294000000.0,1329016000000.0,,36759530000000.0,7058652000000.0,5894793000000.0,717623000000.0,11234551000000.0,189063000000.0,786632000000.0,5766948000000.0,6681357000000.0,283836000000.0,,,9248000000.0
PTBA.JK,2021-12-31,594303000000.0,11869979000000.0,24059665000000.0,194059000000.0,1564045000000.0,36123703000000.0,1152066000000.0,157072000000.0,22113233000000.0,3743022000000.0,200063000000.0,2143645000000.0,4394195000000.0,7500647000000.0,3700000000.0,243320000000.0,10468755000000.0,18211500000000.0,23957588000000.0,3099840000000.0,2240000000.0,1207585000000.0,1270363000000.0,,102077000000.0,768833000000.0,5197726000000.0,9352808000000.0,
PTBA.JK,2020-12-31,282305000000.0,7117559000000.0,16763404000000.0,175792000000.0,540791000000.0,24056755000000.0,1152066000000.0,71903000000.0,15520575000000.0,2845159000000.0,-191542000000.0,1887377000000.0,4340947000000.0,3872457000000.0,106883000000.0,223202000000.0,9753783000000.0,8364356000000.0,16661327000000.0,1578867000000.0,5993000000.0,805436000000.0,697381000000.0,,102077000000.0,542644000000.0,3949162000000.0,1431611000000.0,
PTBA.JK,2019-12-31,282305000000.0,7675226000000.0,18258275000000.0,164551000000.0,496809000000.0,26098052000000.0,1152066000000.0,2782955000000.0,17057049000000.0,2675265000000.0,-233145000000.0,2019070000000.0,4756801000000.0,4691251000000.0,152353000000.0,169078000000.0,9315788000000.0,11679884000000.0,18156198000000.0,2482837000000.0,10121000000.0,1383064000000.0,1020094000000.0,,102077000000.0,641944000000.0,2981233000000.0,179556000000.0,
PTBA.JK,2018-12-31,30486000000.0,7903237000000.0,16015169000000.0,254527000000.0,549012000000.0,24172933000000.0,1152066000000.0,453371000000.0,16814700000000.0,2507193000000.0,-1982083000000.0,1595936000000.0,6301163000000.0,4935696000000.0,31901000000.0,319554000000.0,8426736000000.0,11426678000000.0,15913092000000.0,2521257000000.0,233488000000.0,1551135000000.0,1047997000000.0,,102077000000.0,725212000000.0,2621506000000.0,323570000000.0,
MIKA.JK,2021-12-31,1362714825029.0,935827261183.0,5272555499044.0,652588337627.0,381749872821.0,6860971097854.0,142463495000.0,5943082823.0,4155714096344.0,173366240976.0,-388336917329.0,531073921238.0,1282727987995.0,762461020207.0,,18035141457.0,2696471818054.0,3197513553227.0,4836643693709.0,301053157641.0,,67044051239.0,205940517158.0,253595427970.0,182316377365.0,39299881548.0,,1534119085147.0,
MIKA.JK,2020-12-31,1362714825029.0,855187376315.0,4919902704082.0,597189379611.0,225120421403.0,6372279460008.0,142463495000.0,8017974595.0,3404791903393.0,286755740742.0,9932480660.0,318517256386.0,705012644922.0,568431635573.0,,19209069449.0,2534240119676.0,3103602759723.0,4503983379859.0,708991972196.0,,55031322342.0,201343010284.0,233602946858.0,182316377365.0,63443769905.0,,1604339216944.0,
MIKA.JK,2019-12-31,1362714825029.0,783434418324.0,4295673249265.0,496977740586.0,87225460708.0,5576085408175.0,142463495000.0,14018175186.0,2776960537338.0,350587873661.0,13534391898.0,337476695721.0,568521660840.0,430760170055.0,2977126290.0,14376321391.0,2389696634708.0,2475229826873.0,3921990998392.0,513635900245.0,2086374608.0,48505558844.0,161985151703.0,191365873508.0,182316377365.0,90765332099.0,,1297080416782.0,
MIKA.JK,2018-12-31,1908987762494.0,639496458042.0,4071350251848.0,378570165863.0,76846414177.0,5089416875753.0,145507360000.0,4557505682.0,2317996332396.0,317786546309.0,-301141203042.0,356492911104.0,830677412813.0,311891416187.0,7894091194.0,31328809091.0,2066106271946.0,2417657675136.0,3822190234281.0,356573828330.0,9818495546.0,39815270241.0,96598517886.0,119465740302.0,129694277265.0,79011716816.0,,1177115063316.0,
AGRO.JK,2021-12-31,2943713773000.0,14408859476000.0,2457663179000.0,,109329394000.0,16866522655000.0,2274652671000.0,715092094000.0,-2811334765000.0,191889058000.0,50631500000.0,10108381946000.0,1582622960000.0,14197612020000.0,238862928000.0,50631500000.0,284369892000.0,3136014187000.0,2451907441000.0,7432208000.0,16517311000.0,4430650000.0,13498296529000.0,5755738000.0,,371739430000.0,3332000892000.0,650377813000.0,
AGRO.JK,2020-12-31,1827438716000.0,23727802051000.0,4287690211000.0,,32360775000.0,28015492262000.0,2134329023000.0,821226582000.0,234366642000.0,138440571000.0,91555830000.0,18610688789000.0,1862128398000.0,23330898182000.0,,91555830000.0,269123694000.0,6317646569000.0,4279375836000.0,21591589000.0,255934645000.0,7908756000.0,22997691743000.0,8314375000.0,,94378701000.0,2809718835000.0,3047732345000.0,
AGRO.JK,2019-12-31,1825177644000.0,22586218693000.0,4481704219000.0,,25278141000.0,27067922912000.0,2134329023000.0,1322768532000.0,521394125000.0,70612107000.0,803427000.0,18564875939000.0,1090692298000.0,22277217711000.0,260770484000.0,803427000.0,262120871000.0,5793778399000.0,4481704219000.0,21591589000.0,238388875000.0,2994358000.0,21144628415000.0,,,29224491000.0,2447147703000.0,2268980518000.0,
AGRO.JK,2018-12-31,1825177644000.0,18889385436000.0,4424285816000.0,,90221979000.0,23313671252000.0,2134329023000.0,1129800867000.0,511175229000.0,52295563000.0,-46396080000.0,15262815722000.0,4712461282000.0,18338553176000.0,,-46396080000.0,259140701000.0,6070952904000.0,4424285816000.0,,498536697000.0,3702274000.0,18065774947000.0,,,40981257000.0,1720761925000.0,21670658000.0,
BANK.JK,2021-12-31,10870000000.0,1126835000000.0,1046327000000.0,,3905000000.0,2173162000000.0,1324135000000.0,26353000000.0,-299997000000.0,3925000000.0,11319000000.0,,1142145000000.0,1102156000000.0,,11319000000.0,51114000000.0,1218421000000.0,1040724000000.0,33758000000.0,,,1038184000000.0,5603000000.0,,,898024000000.0,,
BANK.JK,2020-12-31,,80123000000.0,641274000000.0,,642000000.0,721397000000.0,819307000000.0,11957000000.0,-178722000000.0,1836000000.0,689000000.0,52000000.0,51300000000.0,78287000000.0,,689000000.0,12630000000.0,99902000000.0,641189000000.0,33758000000.0,,,40171000000.0,85000000.0,,,608728000000.0,,
BANK.JK,2019-12-31,,119906000000.0,595717000000.0,,365000000.0,715623000000.0,819307000000.0,12798000000.0,-226496000000.0,60470000000.0,2906000000.0,6119000000.0,112033000000.0,59436000000.0,,2906000000.0,,162106000000.0,595717000000.0,33758000000.0,,,1000000.0,,,,547398000000.0,,
BANK.JK,2018-12-31,,131649000000.0,530263000000.0,,1184000000.0,661912000000.0,819307000000.0,7339000000.0,-303800000000.0,62637000000.0,14756000000.0,68961000000.0,377158000000.0,69012000000.0,,14756000000.0,,420253000000.0,530263000000.0,,,,17000000.0,,,,172698000000.0,,
JSMR.JK,2021-12-31,3997085000000.0,75742569000000.0,20605851000000.0,4894464000000.0,3957912000000.0,101242884000000.0,3628936000000.0,603841000000.0,13677902000000.0,6018282000000.0,-698072000000.0,3405452000000.0,6279089000000.0,12014583000000.0,3022255000000.0,-698072000000.0,833394000000.0,10361876000000.0,-59016892000000.0,2032306000000.0,57650253000000.0,139402000000.0,433025000000.0,79580894000000.0,41849000000.0,,7019419000000.0,1288096000000.0,
