emiten,tanggal,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,inventory,accountsPayable,shortLongTermDebt,longTermDebt,intangibleAssets,goodWill,deferredLongTermAssetCharges
SMSM.JK,2019-12-31,49899000000.0,664678000000.0,2089147000000.0,353156000000.0,,78025000000.0,3106981000000.0,143967000000.0,79979000000.0,1893165000000.0,175201000000.0,2116000000.0,163142000000.0,244032000000.0,461192000000.0,2116000000.0,750504000000.0,2138324000000.0,43741000000.0,2077877000000.0,,1024031000000.0,783584000000.0,260196000000.0,14819000000.0,21658000000.0,11270000000.0,,62762000000.0
SMSM.JK,2018-12-31,49899000000.0,650926000000.0,1863199000000.0,287078000000.0,,87854000000.0,2801203000000.0,143967000000.0,82060000000.0,1666299000000.0,148453000000.0,3034000000.0,125697000000.0,66860000000.0,470116000000.0,3034000000.0,749122000000.0,1853782000000.0,66035000000.0,1856632000000.0,,942463000000.0,758315000000.0,251669000000.0,9067000000.0,25231000000.0,6567000000.0,,40124000000.0
LSIP.JK,2021-12-31,1030312000000.0,1678676000000.0,10171198000000.0,1308000000.0,15355000000.0,266209000000.0,11851182000000.0,682286000000.0,258210000000.0,8446652000000.0,978348000000.0,11948000000.0,213769000000.0,3367867000000.0,696556000000.0,15218000000.0,5834689000000.0,4307772000000.0,1264252000000.0,9940498000000.0,,307328000000.0,367649000000.0,212055000000.0,,,230700000000.0,,168000000.0
LSIP.JK,2020-12-31,1030312000000.0,1636456000000.0,9284231000000.0,2101000000.0,20842000000.0,238743000000.0,10922788000000.0,682286000000.0,251380000000.0,7559992000000.0,1039451000000.0,11641000000.0,211813000000.0,1958874000000.0,597005000000.0,14911000000.0,6316600000000.0,2920275000000.0,1267456000000.0,9077587000000.0,,339080000000.0,364228000000.0,164238000000.0,,,206644000000.0,,1104000000.0
LSIP.JK,2019-12-31,1030312000000.0,1726822000000.0,8495878000000.0,2622000000.0,26353000000.0,143750000000.0,10225322000000.0,682286000000.0,245895000000.0,6775153000000.0,1260016000000.0,8127000000.0,236533000000.0,1131575000000.0,466806000000.0,11397000000.0,6311102000000.0,2192494000000.0,1289099000000.0,8299784000000.0,,468618000000.0,341851000000.0,234867000000.0,,,196094000000.0,,1072000000.0
LSIP.JK,2018-12-31,1030312000000.0,1705175000000.0,8328225000000.0,3894000000.0,32856000000.0,171476000000.0,10037294000000.0,682286000000.0,139243000000.0,6606765000000.0,1180361000000.0,8862000000.0,399746000000.0,1663456000000.0,524814000000.0,12132000000.0,6234540000000.0,2444027000000.0,958981000000.0,8328225000000.0,,152026000000.0,488712000000.0,233651000000.0,,,,,14038000000.0
ROTI.JK,2021-12-31,1486392647799.0,1341864891951.0,2849372324268.0,47206458.0,,171809932793.0,4191284422677.0,123729777760.0,4741688255.0,1612234910767.0,337560499677.0,-372985012058.0,250998950757.0,758901794493.0,483213195704.0,,2528850870495.0,1282057210341.0,23980820368.0,2743975753552.0,,386527573728.0,119581372896.0,206106824547.0,,496833333333.0,105396570716.0,,7668646354.0
ROTI.JK,2020-12-31,1486392647799.0,1224495624254.0,3227623050462.0,47997269.0,,164786276058.0,4452166671985.0,123729777760.0,11594945424.0,1617500624903.0,307829276305.0,,305499996062.0,1010872461721.0,404567270700.0,,2462564816487.0,1549617329468.0,23751946688.0,3116890467182.0,,410268924995.0,103693623334.0,165384575026.0,,495833333333.0,110732583280.0,,7130794039.0
ROTI.JK,2019-12-31,1458867087549.0,1589486465854.0,3069195537015.0,23401842082.0,,230351525441.0,4682083844951.0,123729777760.0,68205390684.0,1565296764733.0,276789397289.0,-78698093027.0,174758870716.0,1185910198515.0,1106938318565.0,-1453360286.0,2540413874692.0,1874411044438.0,23507637557.0,3000203119467.0,,524475209047.0,83599374391.0,213356133238.0,499807179992.0,205758750000.0,68992417548.0,,1711634110.0
ROTI.JK,2018-12-31,1458867087549.0,1476909260772.0,2841883886948.0,75017233163.0,,232619456574.0,4393810380883.0,123729777760.0,55366738053.0,1337358114301.0,245725080703.0,-78071092662.0,211547752367.0,1294525260890.0,525422150049.0,-826359921.0,2222133112899.0,1876409299238.0,22281617509.0,2780445288078.0,,454076170257.0,65127735601.0,190086375903.0,,705762030020.0,61438598870.0,,
TECH.JK,2021-12-31,23582016208.0,10154243149.0,57819749205.0,-1425568886.0,,3272240892.0,66548423468.0,62815000000.0,224799495.0,-27903138637.0,5929215451.0,-674128366.0,545578709.0,37967044668.0,4225027698.0,-674128366.0,2796349912.0,63206494847.0,,57819749205.0,,24938902500.0,28691599.0,217677551.0,,,,,117959409.0
TECH.JK,2020-12-31,23582016208.0,12230327889.0,53152021788.0,-130590002.0,,1778618713.0,65251759675.0,62815000000.0,170476942.0,-32058477329.0,5513694702.0,-1186517091.0,484144614.0,44123669532.0,6716633187.0,-1186517091.0,2878415984.0,61889199077.0,,53152021788.0,,17490610109.0,40173321.0,936740000.0,,,,,3620951.0
