emiten,tanggal,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,deferredLongTermLiab
SMMA.JK,2021-12-31,,1647520000000.0,94727715000000.0,20272811000000.0,2509473000000.0,45558290000000.0,117509999000000.0,1334891000000.0,4320435000000.0,16954465000000.0,36772243000000.0,14496000000.0,335935000000.0,20861587000000.0,18594240000000.0,50404792000000.0,242245000000.0,,335935000000.0,3612207000000.0,90041437000000.0,2980272000000.0,20258315000000.0,58507364000000.0,8145982000000.0,7550680000000.0,32603000000.0,4080105000000.0,
SMMA.JK,2020-12-31,,1647520000000.0,85533979000000.0,19995886000000.0,2383216000000.0,38298925000000.0,107913081000000.0,1334891000000.0,3195230000000.0,16029825000000.0,35944196000000.0,14496000000.0,983650000000.0,23013517000000.0,9611475000000.0,42347602000000.0,228540000000.0,,983650000000.0,3697904000000.0,78277349000000.0,2909815000000.0,19981390000000.0,55980005000000.0,9054945000000.0,7242181000000.0,64678000000.0,2238543000000.0,
SMMA.JK,2019-12-31,,1647520000000.0,77460250000000.0,19784272000000.0,2380335000000.0,31415535000000.0,99624857000000.0,1334891000000.0,2470895000000.0,16448905000000.0,36368378000000.0,14496000000.0,352956000000.0,25892311000000.0,7564788000000.0,34468205000000.0,95211000000.0,,352956000000.0,3186125000000.0,67580501000000.0,2951424000000.0,19769776000000.0,50967584000000.0,6186562000000.0,6623667000000.0,36259000000.0,2096091000000.0,
SMMA.JK,2018-12-31,,1647520000000.0,75550211000000.0,19437115000000.0,5676125000000.0,26739103000000.0,100663451000000.0,1334891000000.0,2492705000000.0,11482666000000.0,39855983000000.0,14496000000.0,4972038000000.0,22653488000000.0,9621616000000.0,33311618000000.0,74013000000.0,,4972038000000.0,3266344000000.0,73763899000000.0,965224000000.0,19422619000000.0,54096375000000.0,7118259000000.0,2382610000000.0,43848000000.0,2689031000000.0,
BRIS.JK,2021-12-31,,,240275147000000.0,25013934000000.0,,1729057000000.0,265289081000000.0,20564654000000.0,20856023000000.0,10208992000000.0,179390932000000.0,,-5759712000000.0,157887744000000.0,14910291000000.0,60595114000000.0,1445324000000.0,,-5759712000000.0,4055953000000.0,35766314000000.0,67579070000000.0,25013934000000.0,,,,,57386280000000.0,
BRIS.JK,2020-12-31,,,217838379000000.0,21743145000000.0,,2175293000000.0,239581524000000.0,3142019000000.0,15083156000000.0,7247817000000.0,153037370000000.0,,11353309000000.0,144327173000000.0,20710044000000.0,64620082000000.0,1109281000000.0,,11353309000000.0,3397075000000.0,42751639000000.0,49105637000000.0,21743145000000.0,6958439000000.0,,,,61230172000000.0,
BRIS.JK,2019-12-31,,517000000.0,38035452000000.0,5088036000000.0,,206032000000.0,43123488000000.0,4858057000000.0,1997122000000.0,222964000000.0,28662744000000.0,,6498000000.0,26493431000000.0,2838223000000.0,9372708000000.0,238999000000.0,,6498000000.0,224050000000.0,7957358000000.0,8448649000000.0,5088036000000.0,1000000000000.0,22124000000.0,,1821000000.0,8997585000000.0,
BRIS.JK,2018-12-31,,517000000.0,32842537000000.0,5026640000000.0,,170262000000.0,37869177000000.0,4858057000000.0,2127179000000.0,159608000000.0,23900710000000.0,,8458000000.0,21130246000000.0,4069374000000.0,8941827000000.0,163670000000.0,,8458000000.0,221444000000.0,7428850000000.0,9088637000000.0,5026640000000.0,700000000000.0,32952000000.0,,238678000000.0,8689987000000.0,
MTEL.JK,2021-12-31,975501421000.0,13066552238000.0,24082708466000.0,33645609820000.0,,1427862999000.0,57728318286000.0,19041523249000.0,811628509000.0,1537283467000.0,476289569000.0,466719136000.0,250866000.0,131413968000.0,19133193156000.0,6475515478000.0,134971000.0,2405550160000.0,250866000.0,34851885227000.0,21302798534000.0,,32203389263000.0,,1126960851000.0,15665427725000.0,,1273234932000.0,8962894000.0
MTEL.JK,2020-12-31,1114851582000.0,,17122064447000.0,8163147496000.0,,1040193341000.0,25285211943000.0,4928534941000.0,677959747000.0,3282456769000.0,328574930000.0,466719136000.0,-47844214000.0,158470107000.0,516025575000.0,7347938748000.0,,3649660969000.0,-47844214000.0,20651368770000.0,2893802348000.0,,6581576778000.0,,1576909684000.0,8710594197000.0,,1197441130000.0,28925607000.0
MTEL.JK,2019-12-31,702760022000.0,,12359874053000.0,7731297165000.0,,1527730840000.0,20091171218000.0,4928534941000.0,701855309000.0,2845127328000.0,334697165000.0,466719136000.0,-42365104000.0,1536974394000.0,347457529000.0,4931313094000.0,,1676026313000.0,-42365104000.0,14508618941000.0,2876098725000.0,,6561818007000.0,,1378863428000.0,7093863794000.0,,802907585000.0,42792698000.0
MTEL.JK,2018-12-31,71246118000.0,,10167326596000.0,2885897668000.0,,1007567487000.0,13053224264000.0,484673939000.0,306751945000.0,2441713174000.0,83307516000.0,,-40489445000.0,949647715000.0,316129348000.0,3677517868000.0,,817147183000.0,-40489445000.0,9983505490000.0,2048824941000.0,,2814651550000.0,,1143561794000.0,6406501212000.0,,1256570851000.0,
TBIG.JK,2021-12-31,18069000000.0,,32081197000000.0,9272781000000.0,516457000000.0,1930468000000.0,41870435000000.0,453140000000.0,1060323000000.0,3426948000000.0,12948000000.0,381189000000.0,5392693000000.0,1349013000000.0,629125000000.0,8432425000000.0,,5614342000000.0,6420961000000.0,37100911000000.0,3021253000000.0,,8873523000000.0,,1077936000000.0,23132002000000.0,226408000000.0,37435000000.0,
TBIG.JK,2020-12-31,7574000000.0,,27217465000000.0,8709682000000.0,594156000000.0,1708896000000.0,36521303000000.0,453140000000.0,237502000000.0,2204422000000.0,36261000000.0,381189000000.0,6052120000000.0,1551902000000.0,947341000000.0,13777876000000.0,60726000000.0,10757896000000.0,7080388000000.0,31353244000000.0,3227394000000.0,,8320919000000.0,,1453471000000.0,13089433000000.0,517280000000.0,571000000000.0,
TBIG.JK,2019-12-31,654000000.0,,25348426000000.0,4993572000000.0,529712000000.0,1591225000000.0,30871710000000.0,453140000000.0,475991000000.0,1611111000000.0,26352000000.0,381189000000.0,2929321000000.0,3464487000000.0,525242000000.0,4513623000000.0,249591000000.0,2146911000000.0,3957589000000.0,24648640000000.0,2376740000000.0,,4611729000000.0,1508000000.0,1266719000000.0,20794204000000.0,17708000000.0,247591000000.0,
TBIG.JK,2018-12-31,1685000000.0,,25434182000000.0,3370679000000.0,308886000000.0,1713319000000.0,29113747000000.0,453140000000.0,514462000000.0,1341646000000.0,42695000000.0,428610000000.0,1575893000000.0,4779064000000.0,220586000000.0,6424937000000.0,344703000000.0,3889467000000.0,2561272000000.0,21876923000000.0,2027465000000.0,,2940384000000.0,1508000000.0,1211105000000.0,18953682000000.0,22723000000.0,231711000000.0,
MEGA.JK,2021-12-31,,2048761000000.0,113734926000000.0,19144464000000.0,,806136000000.0,132879390000000.0,3481888000000.0,7703816000000.0,10474813000000.0,1074974000000.0,,3139002000000.0,61011350000000.0,11463523000000.0,112575664000000.0,,,3139002000000.0,5655825000000.0,40524948000000.0,25687267000000.0,19144464000000.0,19786320000000.0,139846000000.0,50000000000.0,1332331000000.0,100171855000000.0,
MEGA.JK,2020-12-31,,2048761000000.0,93994503000000.0,18208150000000.0,,985352000000.0,112202653000000.0,3481888000000.0,3858866000000.0,8333150000000.0,574762000000.0,,4344351000000.0,48625879000000.0,5497848000000.0,93327909000000.0,,,4344351000000.0,5832815000000.0,30179630000000.0,27564329000000.0,18208150000000.0,18820544000000.0,280160000000.0,50000000000.0,1567781000000.0,80089405000000.0,
MEGA.JK,2019-12-31,,2048761000000.0,85262393000000.0,15541438000000.0,,1041811000000.0,100803831000000.0,3481888000000.0,5545772000000.0,6346114000000.0,1087354000000.0,,3664675000000.0,53039214000000.0,9580982000000.0,84175039000000.0,,,3664675000000.0,5906523000000.0,21371890000000.0,20486204000000.0,15541438000000.0,3961541000000.0,887972000000.0,,723564000000.0,73988092000000.0,28741000000.0
MEGA.JK,2018-12-31,,2048761000000.0,69979273000000.0,13782673000000.0,,1190370000000.0,83761946000000.0,3481888000000.0,5185509000000.0,4909418000000.0,418919000000.0,,3342606000000.0,42559549000000.0,3983981000000.0,69560354000000.0,111284000000.0,,3342606000000.0,6045523000000.0,12937349000000.0,22219525000000.0,13782673000000.0,2602987000000.0,22060000000.0,,748535000000.0,61712155000000.0,23766000000.0
GGRM.JK,2021-12-31,,53700000000.0,30676095000000.0,59288208000000.0,66000000.0,1152331000000.0,89964369000000.0,962044000000.0,4476364000000.0,58305843000000.0,2184145000000.0,,-33379000000.0,827985000000.0,4169740000000.0,28369283000000.0,123422000000.0,32000000000.0,-33379000000.0,29823806000000.0,59312578000000.0,,59288208000000.0,75000000000.0,2773872000000.0,122667000000.0,47606791000000.0,1002233000000.0,
GGRM.JK,2020-12-31,,53700000000.0,19668941000000.0,58522408000000.0,60000000.0,669157000000.0,78191409000000.0,962044000000.0,1783861000000.0,57540043000000.0,2502282000000.0,,-33379000000.0,975236000000.0,4774272000000.0,17009992000000.0,141905000000.0,20000000000.0,-33379000000.0,27678244000000.0,49537929000000.0,,58522408000000.0,40000000000.0,2556127000000.0,156667000000.0,40016438000000.0,1123703000000.0,
GGRM.JK,2019-12-31,,53700000000.0,27716516000000.0,50930703000000.0,55000000.0,1400139000000.0,78647274000000.0,962044000000.0,3227626000000.0,49948338000000.0,2281122000000.0,,-33379000000.0,1192158000000.0,3571886000000.0,25258727000000.0,143510000000.0,20000000000.0,-33379000000.0,25373983000000.0,52081133000000.0,,50930703000000.0,115424000000.0,1875909000000.0,176667000000.0,43018974000000.0,1297463000000.0,
GGRM.JK,2018-12-31,,53700000000.0,23963934000000.0,45133233000000.0,52000000.0,632759000000.0,69097219000000.0,962044000000.0,2057501000000.0,44150868000000.0,1960367000000.0,,-33379000000.0,1053942000000.0,2034169000000.0,22003567000000.0,117752000000.0,,-33379000000.0,22758558000000.0,45284719000000.0,,45133233000000.0,140589000000.0,1725933000000.0,,38695520000000.0,1129544000000.0,
AVIA.JK,2021-12-31,,7793217601930.0,1458140304638.0,9412189018486.0,3430913456.0,214192622883.0,10873760236580.0,619535556000.0,18757481145.0,770393304224.0,73626178218.0,,229042556332.0,302615792839.0,1288214014542.0,1339681209150.0,,,229042556332.0,1666964197409.0,8886438988796.0,17741257536.0,9412189018486.0,4840680012840.0,1274261442684.0,,1453228611919.0,768748437693.0,
AVIA.JK,2020-12-31,,2208573270799.0,1186250145899.0,4684631832850.0,2556229.0,201307858149.0,5870884534978.0,557535556000.0,6284155000.0,1685779715294.0,90288670848.0,,232743290757.0,293799016626.0,1361183696546.0,1022577796449.0,,,232743290757.0,1655584802628.0,3921500715724.0,,4684631832850.0,475615501050.0,1046258781191.0,,1014896177618.0,488885290252.0,
AVIA.JK,2019-12-31,,2208573270799.0,728317770319.0,4219108839621.0,2480307.0,116183164784.0,4947429090247.0,557535556000.0,375041321.0,1249632561727.0,94233303430.0,,203367451095.0,328095952034.0,855450153856.0,634084466889.0,,,203367451095.0,1499803493873.0,3095107083674.0,24422560666.0,4219108839621.0,,979103529826.0,,1149885985451.0,392316660808.0,
AVIA.JK,2018-12-31,,2208573270799.0,642482906812.0,4410106117079.0,2192262.0,111141831758.0,5052591216153.0,557535556000.0,508768200.0,1490264125355.0,86367564513.0,,153733164925.0,282435863263.0,1293788488235.0,556115342299.0,,,153733164925.0,1406585025696.0,3335257972122.0,28312355072.0,4410106117079.0,,834802112989.0,,1153925068547.0,321831256689.0,
INDF.JK,2021-12-31,1725760000000.0,283732000000.0,92724082000000.0,48264727000000.0,38367384000000.0,12641684000000.0,179356193000000.0,878043000000.0,2276555000000.0,36855458000000.0,7066447000000.0,56462875000000.0,10247494000000.0,6660294000000.0,29478126000000.0,40403404000000.0,959710000000.0,4011524000000.0,10247494000000.0,48221750000000.0,54183399000000.0,12102115000000.0,-9923908000000.0,1153637000000.0,8464306000000.0,45082012000000.0,12683836000000.0,5157135000000.0,819824000000.0
INDF.JK,2020-12-31,1858998000000.0,283732000000.0,83998472000000.0,42374298000000.0,36763746000000.0,3817876000000.0,163136516000000.0,878043000000.0,2349857000000.0,31115800000000.0,16799033000000.0,56462875000000.0,10096723000000.0,7345167000000.0,17336960000000.0,27975875000000.0,1213499000000.0,912918000000.0,10096723000000.0,47369217000000.0,38418238000000.0,11682021000000.0,-15947575000000.0,1275000000.0,7451670000000.0,39089209000000.0,11150432000000.0,4407555000000.0,830573000000.0
INDF.JK,2019-12-31,2011090000000.0,283732000000.0,41996071000000.0,37777948000000.0,16424540000000.0,2119032000000.0,96198559000000.0,878043000000.0,1754639000000.0,26779999000000.0,7844374000000.0,4305329000000.0,9836174000000.0,10341130000000.0,13745118000000.0,24686862000000.0,1659709000000.0,1016614000000.0,9836174000000.0,43072504000000.0,31403445000000.0,5065061000000.0,31461529000000.0,55492000000.0,5964410000000.0,9464835000000.0,9658705000000.0,4521883000000.0,854175000000.0
INDF.JK,2018-12-31,2136679000000.0,283732000000.0,46620996000000.0,33614280000000.0,16302520000000.0,1725138000000.0,96537796000000.0,878043000000.0,1843163000000.0,23303960000000.0,7499460000000.0,4320534000000.0,9148545000000.0,10248339000000.0,8809253000000.0,31204102000000.0,1854918000000.0,4502363000000.0,9148545000000.0,42388236000000.0,33272618000000.0,4171390000000.0,27157067000000.0,4118936000000.0,6572676000000.0,7917434000000.0,11644156000000.0,4028945000000.0,805980000000.0
BNLI.JK,2021-12-31,543984000000.0,26810147000000.0,197765327000000.0,36613715000000.0,,2349601000000.0,234379042000000.0,4855313000000.0,13926300000000.0,2311899000000.0,902496000000.0,,2636356000000.0,120911406000000.0,33233263000000.0,187422057000000.0,1825368000000.0,1350000000.0,2636362000000.0,3290547000000.0,68530493000000.0,41102612000000.0,36069731000000.0,19441703000000.0,,9329879000000.0,104961000000.0,183233033000000.0,200729000000.0
BNLI.JK,2020-12-31,447902000000.0,16870764000000.0,162654644000000.0,35071443000000.0,10000000.0,1757660000000.0,197726097000000.0,3837985000000.0,8567804000000.0,1050966000000.0,1164271000000.0,113015000000.0,13311728000000.0,114024260000000.0,20978268000000.0,151485135000000.0,2195260000000.0,8000000.0,13311728000000.0,3073596000000.0,56810344000000.0,23256980000000.0,34510526000000.0,24313156000000.0,,9821003000000.0,404870000000.0,148001373000000.0,186182000000.0
BNLI.JK,2019-12-31,403937000000.0,17252901000000.0,137413908000000.0,24037341000000.0,10000000.0,2062483000000.0,161451259000000.0,3837985000000.0,11977565000000.0,1022066000000.0,775054000000.0,113015000000.0,1924389000000.0,108558127000000.0,15117821000000.0,134347155000000.0,1643021000000.0,,1924389000000.0,2451459000000.0,33694853000000.0,16229868000000.0,23520389000000.0,3337553000000.0,,2291699000000.0,363879000000.0,125460900000000.0,169841000000.0
BNLI.JK,2018-12-31,385411000000.0,17252901000000.0,130440930000000.0,22451926000000.0,10000000.0,3061551000000.0,152892866000000.0,3837985000000.0,13342759000000.0,-404805000000.0,700943000000.0,113015000000.0,1765845000000.0,103581447000000.0,11994251000000.0,124938729000000.0,2181667000000.0,,1765845000000.0,2552305000000.0,31270976000000.0,14989712000000.0,21953500000000.0,3514311000000.0,,4801258000000.0,249151000000.0,120595860000000.0,179986000000.0
ANTM.JK,2021-12-31,42121000000.0,3934833000000.0,12079056000000.0,20837079000000.0,18000000.0,1548431000000.0,32916154000000.0,2403075000000.0,606666000000.0,10271507000000.0,1729609000000.0,68336000000.0,4227664000000.0,1168879000000.0,5089160000000.0,6562383000000.0,111471000000.0,1079630000000.0,4227664000000.0,18138307000000.0,11728143000000.0,1770368000000.0,20726622000000.0,963918000000.0,1945036000000.0,3703354000000.0,3107312000000.0,1399446000000.0,
ANTM.JK,2020-12-31,46927000000.0,3934833000000.0,12690064000000.0,19039427000000.0,21000000.0,1257646000000.0,31729513000000.0,2403075000000.0,717935000000.0,8786064000000.0,1661350000000.0,68336000000.0,3915455000000.0,1753516000000.0,3984388000000.0,7553261000000.0,173374000000.0,3132500000000.0,3915455000000.0,19638266000000.0,9150514000000.0,1071954000000.0,18924164000000.0,,1812981000000.0,3387657000000.0,2626022000000.0,672748000000.0,
ANTM.JK,2019-12-31,42992368000.0,3934833124000.0,12061488555000.0,18133399320000.0,19854000.0,583505073000.0,30194907730000.0,2403076472000.0,788469433000.0,7912776028000.0,1204095275000.0,68336044000.0,3882713696000.0,1396383286000.0,3636243080000.0,5293238393000.0,129448529000.0,1585286186000.0,3882713696000.0,20277426854000.0,7665239260000.0,744529918000.0,18022070908000.0,,1430500901000.0,5564154887000.0,1796301441000.0,739743696000.0,
ANTM.JK,2018-12-31,50860511000.0,3934833124000.0,13746984554000.0,18448347320000.0,18970000.0,898423732000.0,32195350845000.0,2403076472000.0,178396504000.0,8148384431000.0,837459261000.0,101759427000.0,3962053293000.0,2662095317000.0,4299068085000.0,5561931474000.0,140868263000.0,1121605386000.0,3962053293000.0,20893372150000.0,7342040979000.0,1145222461000.0,18295727382000.0,,994799551000.0,7347593819000.0,1845550076000.0,867746116000.0,
TOWR.JK,2021-12-31,1184458000000.0,20576000000.0,53766654000000.0,12030997000000.0,31019000000.0,3927313000000.0,65828670000000.0,510146000000.0,334837000000.0,12394007000000.0,1557406000000.0,15475044000000.0,-893732000000.0,1611892000000.0,4748364000000.0,21880264000000.0,12715000000.0,16440408000000.0,37690000000.0,39627830000000.0,7398138000000.0,531308000000.0,-4628505000000.0,,2184362000000.0,28136688000000.0,,521678000000.0,687074000000.0
TOWR.JK,2020-12-31,983947000000.0,20576000000.0,24065502000000.0,10154040000000.0,30008000000.0,1937473000000.0,34249550000000.0,510146000000.0,202176000000.0,10365634000000.0,950892000000.0,360279000000.0,-742316000000.0,1404863000000.0,1442627000000.0,7225188000000.0,1701000000.0,4109801000000.0,44585000000.0,28021919000000.0,3002332000000.0,476210000000.0,8809814000000.0,,1275857000000.0,14158680000000.0,,534866000000.0,738051000000.0
TOWR.JK,2019-12-31,1097718000000.0,20576000000.0,18905074000000.0,8724530000000.0,36091000000.0,1702676000000.0,27665695000000.0,510146000000.0,446973000000.0,8705096000000.0,1042690000000.0,360279000000.0,-511288000000.0,3860883000000.0,593765000000.0,4565104000000.0,2608000000.0,1944764000000.0,2775000000.0,19648004000000.0,2474389000000.0,224422000000.0,7266533000000.0,,1377711000000.0,13297280000000.0,,633818000000.0,3182537000000.0
TOWR.JK,2018-12-31,832382000000.0,20576000000.0,14926338000000.0,8033276000000.0,4000000.0,1251755000000.0,22959618000000.0,510146000000.0,236486000000.0,7547836000000.0,1048839000000.0,360279000000.0,-45282000000.0,3294205000000.0,963383000000.0,4751801000000.0,3793000000.0,2390701000000.0,81356000000.0,15980147000000.0,2275390000000.0,217215000000.0,6840615000000.0,,1017571000000.0,9124897000000.0,,697115000000.0,2510235000000.0
