emiten,tanggal,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,deferredLongTermLiab
EMTK.JK,2020-12-31,1108402298000.0,2092715725000.0,5485106483000.0,10687767851000.0,1711271300000.0,1349832136000.0,17884145634000.0,1128791468000.0,805351034000.0,-1080923431000.0,511754490000.0,2073828818000.0,8547184089000.0,341779740000.0,2694706379000.0,2864848927000.0,97362863000.0,191012500000.0,8875897207000.0,4726730912000.0,7330342675000.0,2303061191000.0,7505536735000.0,296835871000.0,2396616652000.0,2084386654000.0,1081013347000.0,595421543000.0,
EMTK.JK,2019-12-31,1234766565000.0,2079706363000.0,5275358414000.0,9875880436000.0,2389399002000.0,1232940861000.0,17540637852000.0,1128455048000.0,1784562616000.0,-3139096924000.0,998248820000.0,1917805979000.0,9806815949000.0,697705181000.0,3315187283000.0,2689303079000.0,256899808000.0,22400000000.0,9806815949000.0,3028963325000.0,8606558382000.0,2054838420000.0,6723307892000.0,53469251000.0,2185361442000.0,1586720645000.0,1216289017000.0,775962673000.0,
EMTK.JK,2018-12-31,2036286137000.0,2068557276000.0,4061078369000.0,11919369221000.0,3544964094000.0,920496856000.0,19525411684000.0,1128006488000.0,1890382219000.0,-1623062610000.0,1711107133000.0,1917805979000.0,10345868067000.0,590931681000.0,4624271256000.0,2273024715000.0,201647388000.0,21000000000.0,10345868067000.0,2518586345000.0,9818543808000.0,2643257734000.0,7965277105000.0,104442567000.0,1978867412000.0,75875026000.0,1168833255000.0,708263050000.0,
BBNI.JK,2021-12-31,,17010254000000.0,838317715000000.0,123738372000000.0,2781605000000.0,14727671000000.0,964837692000000.0,9054807000000.0,73334183000000.0,78250204000000.0,24906715000000.0,,19423107000000.0,562003607000000.0,124657856000000.0,776483934000000.0,6230293000000.0,14034037000000.0,19630582000000.0,26882982000000.0,229201642000000.0,146749461000000.0,123738372000000.0,22896721000000.0,3333395000000.0,35725688000000.0,1527739000000.0,743545620000000.0,209473000000.0
BBNI.JK,2020-12-31,,14568468000000.0,778465226000000.0,110192520000000.0,2679679000000.0,17052226000000.0,891337425000000.0,9054807000000.0,59073483000000.0,66980701000000.0,23218693000000.0,,19588544000000.0,570523792000000.0,91835819000000.0,709208114000000.0,4799832000000.0,24136000000.0,19667993000000.0,27362400000000.0,172575056000000.0,120876177000000.0,110192520000000.0,11591366000000.0,3874790000000.0,44892899000000.0,1867506000000.0,688824338000000.0,296217000000.0
BBNI.JK,2019-12-31,,14568468000000.0,720601260000000.0,122515579000000.0,2488369000000.0,27388405000000.0,845605208000000.0,9054807000000.0,59283632000000.0,82463505000000.0,16586168000000.0,,16428799000000.0,564949358000000.0,44078507000000.0,660240630000000.0,1349343000000.0,683683000000.0,16428799000000.0,26524759000000.0,148743932000000.0,105387159000000.0,122515579000000.0,34434240000000.0,3785287000000.0,43774462000000.0,1163563000000.0,626236719000000.0,333981000000.0
BBNI.JK,2018-12-31,,14568468000000.0,698198222000000.0,108076884000000.0,2296905000000.0,23248421000000.0,808572011000000.0,9054807000000.0,61764066000000.0,71046832000000.0,15555497000000.0,,13406777000000.0,527761936000000.0,63327518000000.0,641277098000000.0,1676366000000.0,,13406777000000.0,26126508000000.0,138594468000000.0,116089099000000.0,108076884000000.0,3174601000000.0,3429531000000.0,41365627000000.0,960001000000.0,593007373000000.0,445507000000.0
HMSP.JK,2021-12-31,,20640641000000.0,23899022000000.0,29191406000000.0,,858344000000.0,53090428000000.0,465272000000.0,1911736000000.0,7469336000000.0,1746976000000.0,60423000000.0,616157000000.0,5583063000000.0,17843656000000.0,21964259000000.0,312903000000.0,,616157000000.0,6038643000000.0,41323105000000.0,85194000000.0,29130983000000.0,21198000000.0,2896599000000.0,,18508353000000.0,4125246000000.0,
HMSP.JK,2020-12-31,,20586373000000.0,19432604000000.0,30241426000000.0,,1356704000000.0,49674030000000.0,465272000000.0,1780848000000.0,8573617000000.0,2494653000000.0,60423000000.0,616164000000.0,1858805000000.0,15804309000000.0,16743834000000.0,393862000000.0,,616164000000.0,6582808000000.0,41091638000000.0,80356000000.0,30181003000000.0,709535000000.0,4101514000000.0,,18620309000000.0,3347193000000.0,
HMSP.JK,2019-12-31,,20568076000000.0,15223076000000.0,35679730000000.0,,1537608000000.0,50902806000000.0,465272000000.0,1287648000000.0,14029964000000.0,2238752000000.0,60423000000.0,616418000000.0,1765805000000.0,18820695000000.0,12727676000000.0,345043000000.0,,616418000000.0,7297912000000.0,41697015000000.0,81651000000.0,35619307000000.0,401155000000.0,3786241000000.0,,17328847000000.0,3738048000000.0,
HMSP.JK,2018-12-31,,20546151000000.0,11244167000000.0,35358253000000.0,,1012673000000.0,46602420000000.0,465272000000.0,1007738000000.0,13730669000000.0,2369519000000.0,60423000000.0,616161000000.0,1351653000000.0,15516439000000.0,8793999000000.0,335166000000.0,,616161000000.0,7288435000000.0,37831483000000.0,70426000000.0,35297830000000.0,1273838000000.0,3815335000000.0,,16067133000000.0,3371056000000.0,
ICBP.JK,2021-12-31,1725760000000.0,5985469000000.0,63342765000000.0,33881903000000.0,20841960000000.0,11263483000000.0,118066628000000.0,583095000000.0,598779000000.0,26917455000000.0,3601237000000.0,54006155000000.0,395884000000.0,2884393000000.0,20377977000000.0,18896133000000.0,427117000000.0,322524000000.0,395884000000.0,14384046000000.0,33997637000000.0,11068637000000.0,-21850012000000.0,284220000000.0,6834281000000.0,40738477000000.0,5857217000000.0,3585935000000.0,62613000000.0
ICBP.JK,2020-12-31,1858998000000.0,5985469000000.0,53270272000000.0,29430291000000.0,20887762000000.0,2489876000000.0,103588325000000.0,583095000000.0,794278000000.0,22576202000000.0,13186244000000.0,54006155000000.0,285525000000.0,2755603000000.0,9535418000000.0,9176164000000.0,478140000000.0,212742000000.0,285525000000.0,13606107000000.0,20716223000000.0,10645239000000.0,-26434862000000.0,,5746755000000.0,30780605000000.0,4586940000000.0,3045111000000.0,85940000000.0
ICBP.JK,2019-12-31,2011090000000.0,5985469000000.0,12038210000000.0,25300838000000.0,1370266000000.0,1070416000000.0,38709314000000.0,583095000000.0,247579000000.0,18495204000000.0,3779776000000.0,1775839000000.0,237070000000.0,3064777000000.0,8359164000000.0,6556359000000.0,533188000000.0,196001000000.0,237070000000.0,11342412000000.0,16624925000000.0,3890271000000.0,21513909000000.0,,4131950000000.0,1702075000000.0,3840690000000.0,2635433000000.0,108686000000.0
ICBP.JK,2018-12-31,2136679000000.0,5985469000000.0,11660003000000.0,21618923000000.0,1088227000000.0,825435000000.0,34367153000000.0,583095000000.0,452593000000.0,15029629000000.0,3572866000000.0,1775839000000.0,20730000000.0,2886047000000.0,4726822000000.0,7235398000000.0,562770000000.0,245011000000.0,20730000000.0,10741622000000.0,14121568000000.0,2705398000000.0,17706405000000.0,563840000000.0,4271356000000.0,851739000000.0,4001277000000.0,2956189000000.0,128010000000.0
CPIN.JK,2021-12-31,12417000000.0,,10296052000000.0,25135288000000.0,14711000000.0,29488000000.0,35446051000000.0,163980000000.0,4385592000000.0,24996417000000.0,823384000000.0,444803000000.0,-25109000000.0,2293920000000.0,1803188000000.0,7836101000000.0,763387000000.0,,-25109000000.0,16916648000000.0,15715060000000.0,63203000000.0,24678068000000.0,,1794358000000.0,1357636000000.0,7655165000000.0,2401690000000.0,
CPIN.JK,2020-12-31,16464000000.0,,7809608000000.0,23333031000000.0,16652000000.0,597639000000.0,31159291000000.0,163980000000.0,2883187000000.0,23194160000000.0,840868000000.0,444803000000.0,-25109000000.0,2009193000000.0,2677813000000.0,5356453000000.0,481015000000.0,,-25109000000.0,15094385000000.0,13531817000000.0,62629000000.0,22871764000000.0,,1977986000000.0,1328132000000.0,5693119000000.0,1504135000000.0,
CPIN.JK,2019-12-31,27763000000.0,,8213550000000.0,20882907000000.0,12951000000.0,525702000000.0,29109408000000.0,163980000000.0,2865917000000.0,20744036000000.0,815122000000.0,444803000000.0,-25109000000.0,2063359000000.0,1961373000000.0,5120390000000.0,386633000000.0,,-25109000000.0,13521979000000.0,12995504000000.0,56000000000.0,20410341000000.0,,2122633000000.0,2278038000000.0,5811753000000.0,1403532000000.0,
CPIN.JK,2018-12-31,41461000000.0,,8253944000000.0,19375720000000.0,15454000000.0,903226000000.0,27645118000000.0,163980000000.0,2294339000000.0,19236849000000.0,771247000000.0,444803000000.0,-25109000000.0,1319634000000.0,2803131000000.0,4732868000000.0,32295000000.0,,-25109000000.0,11685261000000.0,14097959000000.0,56000000000.0,18889456000000.0,,2870698000000.0,2749829000000.0,5835077000000.0,1732586000000.0,
BYAN.JK,2021-12-31,,200250655.0,570805817.0,1800178920.0,62727454.0,258749306.0,2433712191.0,35685809.0,130451018.0,1641937852.0,117824017.0,,-77695396.0,200738259.0,980507356.0,452981800.0,26694787.0,,-77695396.0,814541143.0,1418432789.0,,1800178920.0,,217598015.0,,89876400.0,82269175.0,
BYAN.JK,2020-12-31,,200250655.0,758171248.0,831441671.0,30112103.0,60710938.0,1619725022.0,35685809.0,135884116.0,728537430.0,121475107.0,,-133032223.0,129649952.0,383810000.0,236695460.0,34213197.0,,-133032223.0,720800066.0,769275004.0,,831441671.0,,161784434.0,394743190.0,87796454.0,57841084.0,
BYAN.JK,2019-12-31,,200250655.0,658959960.0,595608662.0,23471501.0,32312860.0,1278040123.0,35685809.0,20071451.0,467153174.0,78022877.0,,-107480976.0,207827383.0,174489542.0,580937083.0,22349762.0,,-107480976.0,550637524.0,519575216.0,,595608662.0,,115486841.0,,209527382.0,95316035.0,
BYAN.JK,2018-12-31,,200250655.0,472793557.0,649177300.0,28893034.0,97109096.0,1150863891.0,35685809.0,32224440.0,543648173.0,75570495.0,,-130407337.0,143199390.0,229184053.0,397223062.0,32922378.0,,-130407337.0,516203835.0,491460666.0,,649177300.0,,108751908.0,,121300265.0,84187662.0,
MDKA.JK,2021-12-31,,454779498.0,499182362.0,755566432.0,23843865.0,27163814.0,1278592659.0,36112298.0,20321108.0,224361211.0,53720610.0,,40313425.0,216540785.0,185470530.0,297241459.0,14482810.0,207521851.0,40427397.0,649133730.0,411315044.0,1603100.0,755566432.0,47065590.0,27040386.0,126288054.0,131417430.0,29609241.0,
MDKA.JK,2020-12-31,,286506032.0,365960757.0,534989545.0,28656336.0,19604163.0,929606638.0,34690620.0,12900228.0,188222534.0,49224685.0,,25570359.0,85932023.0,51026290.0,192217456.0,19287993.0,130689653.0,25570359.0,640561307.0,199308697.0,3804611.0,534989545.0,,34395850.0,101015040.0,100986329.0,20199606.0,
MDKA.JK,2019-12-31,,286506032.0,427008847.0,492948897.0,31295419.0,51891399.0,951253163.0,34690620.0,11700359.0,152026401.0,39956225.0,,19725844.0,99661166.0,49592601.0,254068583.0,17804346.0,150608410.0,19725844.0,646832353.0,204759644.0,,492948897.0,,47230018.0,98400800.0,96236666.0,33306306.0,
MDKA.JK,2018-12-31,,228827551.0,375656245.0,355331920.0,66821213.0,33882521.0,797809378.0,33164174.0,20703042.0,81199278.0,33214910.0,,12140917.0,49767362.0,14086200.0,182984988.0,14821247.0,92779995.0,12140917.0,593386211.0,154655805.0,,355331920.0,,32484880.0,156658960.0,87381683.0,42339606.0,
UNTR.JK,2021-12-31,,9703937000000.0,40738599000000.0,68559923000000.0,3262834000000.0,4091866000000.0,112561356000000.0,932534000000.0,1838050000000.0,56673028000000.0,7267840000000.0,2427501000000.0,1250424000000.0,7248144000000.0,33321741000000.0,30489218000000.0,2250054000000.0,5380112000000.0,1250424000000.0,39000101000000.0,60604068000000.0,3281542000000.0,66132422000000.0,,14237178000000.0,2519235000000.0,9454035000000.0,14517987000000.0,917403000000.0
UNTR.JK,2020-12-31,,9703937000000.0,36653823000000.0,60286383000000.0,2860757000000.0,2221911000000.0,99800963000000.0,932534000000.0,1969062000000.0,49492445000000.0,7273946000000.0,2504650000000.0,157467000000.0,7195336000000.0,20498574000000.0,20943824000000.0,1819495000000.0,2521095000000.0,157467000000.0,43905309000000.0,44195782000000.0,1999886000000.0,57781733000000.0,,12215111000000.0,7809147000000.0,8002357000000.0,10272648000000.0,1269189000000.0
UNTR.JK,2019-12-31,,9703937000000.0,50603301000000.0,58212056000000.0,2898018000000.0,3288325000000.0,111713375000000.0,932534000000.0,1345937000000.0,47059898000000.0,7405920000000.0,2822475000000.0,515687000000.0,8037381000000.0,12090661000000.0,32585529000000.0,1930468000000.0,2506949000000.0,515687000000.0,47972185000000.0,50826955000000.0,2054379000000.0,55389581000000.0,,22182810000000.0,10182349000000.0,11545058000000.0,20909134000000.0,1514603000000.0
UNTR.JK,2018-12-31,,9703937000000.0,59230338000000.0,53779330000000.0,3271349000000.0,4378831000000.0,116281017000000.0,932534000000.0,4014354000000.0,40521820000000.0,7158875000000.0,2895667000000.0,2621039000000.0,8101612000000.0,13438175000000.0,48785716000000.0,1583067000000.0,54327000000.0,2621039000000.0,47443616000000.0,55651808000000.0,2188314000000.0,50883663000000.0,,23503136000000.0,2959283000000.0,14414468000000.0,32309484000000.0,1190165000000.0
BRPT.JK,2021-12-31,1086745000.0,104889000.0,4974476000.0,1748057000.0,2519018000.0,85905000.0,9241551000.0,981373000.0,284562000.0,314142000.0,941583000.0,485814000.0,347653000.0,773110000.0,1875393000.0,1132850000.0,168000.0,197112000.0,358260000.0,3086749000.0,3564431000.0,244702000.0,175498000.0,721248000.0,288923000.0,2889132000.0,382109000.0,782276000.0,15372000.0
BRPT.JK,2020-12-31,1143158000.0,96028000.0,4732198000.0,1331406000.0,1625951000.0,113326000.0,7689555000.0,978875000.0,295501000.0,223027000.0,946995000.0,485814000.0,33476000.0,770082000.0,1135310000.0,1099536000.0,213000.0,196895000.0,44083000.0,3042726000.0,2056677000.0,191098000.0,-297566000.0,95122000.0,243766000.0,2677832000.0,276354000.0,725636000.0,17630000.0
BRPT.JK,2019-12-31,1198138000.0,127718000.0,4426628000.0,1175536000.0,1580271000.0,169164000.0,7182435000.0,948025000.0,327850000.0,182545000.0,960282000.0,485814000.0,-82752000.0,693333000.0,744202000.0,1105635000.0,375000.0,186261000.0,-74711000.0,2944372000.0,1828133000.0,32645000.0,-508416000.0,87854000.0,345506000.0,2360711000.0,307945000.0,690407000.0,22715000.0
BRPT.JK,2018-12-31,1198771000.0,126594000.0,4340449000.0,1174816000.0,1527226000.0,107958000.0,7042491000.0,947615000.0,633927000.0,138415000.0,937959000.0,485814000.0,-37808000.0,593733000.0,800572000.0,1168410000.0,313000.0,430155000.0,-29767000.0,2678901000.0,2042975000.0,42297000.0,-509769000.0,47815000.0,271726000.0,2234080000.0,275091000.0,569519000.0,28705000.0
ADRO.JK,2021-12-31,4849000.0,1154494000.0,3128621000.0,4136780000.0,321535000.0,723721000.0,7586936000.0,342940000.0,69006000.0,2783495000.0,430466000.0,776943000.0,-144149000.0,358779000.0,1811141000.0,1361558000.0,92933000.0,218971000.0,-47079000.0,2614589000.0,2838132000.0,993644000.0,3354988000.0,220700000.0,611547000.0,1294326000.0,125738000.0,272409000.0,
ADRO.JK,2020-12-31,6479000.0,1154494000.0,2429852000.0,3712080000.0,239634000.0,76260000.0,6381566000.0,342940000.0,31848000.0,2347061000.0,419459000.0,776943000.0,-132415000.0,266778000.0,1173703000.0,1144923000.0,25136000.0,596005000.0,-132415000.0,2908930000.0,1731867000.0,690569000.0,2928658000.0,152809000.0,268373000.0,788612000.0,105134000.0,214273000.0,
ADRO.JK,2019-12-31,,1154494000.0,3233710000.0,3730072000.0,253323000.0,231497000.0,7217105000.0,342940000.0,60418000.0,2288597000.0,595432000.0,776943000.0,-55959000.0,343015000.0,1576191000.0,1232601000.0,33212000.0,507986000.0,-55959000.0,3256646000.0,2109924000.0,730577000.0,2953129000.0,6291000.0,345994000.0,1294662000.0,121030000.0,335521000.0,
ADRO.JK,2018-12-31,,1154494000.0,2758063000.0,3650399000.0,652293000.0,181903000.0,7060755000.0,342940000.0,85512000.0,2161277000.0,730372000.0,793610000.0,-8312000.0,168642000.0,927896000.0,816443000.0,27336000.0,182671000.0,-8312000.0,3906424000.0,1600294000.0,591785000.0,2856789000.0,89147000.0,385734000.0,1085959000.0,112005000.0,341766000.0,
KLBF.JK,2021-12-31,923047654926.0,,4400757363148.0,19579526242616.0,1686351550507.0,1038436604467.0,25666635156271.0,468751221100.0,468944753450.0,18746849491480.0,333591797002.0,209683527509.0,363925530036.0,416489711997.0,6216247801928.0,3534656089431.0,91861895896.0,69999978142.0,365988730036.0,8101932953225.0,15712209507638.0,303271800976.0,18446795060181.0,258923289805.0,3545142655612.0,490277125583.0,5162582562603.0,1667595790804.0,
KLBF.JK,2020-12-31,464791871558.0,,4288218173294.0,17405532929396.0,870549214684.0,1034408066218.0,22564300317374.0,468751221100.0,304003819329.0,16875670700517.0,323440239467.0,195225854255.0,61111007779.0,395468056006.0,5207929420504.0,3176226387674.0,85420248716.0,123843142605.0,63174207779.0,8310144409530.0,13075331880715.0,123338245310.0,16745515203583.0,188316348252.0,3594926677688.0,722819149618.0,3745067401421.0,1240385598118.0,
KLBF.JK,2019-12-31,369273278506.0,,3559144386553.0,15893126390994.0,812456085037.0,684107305434.0,20264726862584.0,468751221100.0,318138653068.0,15361120510782.0,334347235935.0,293279778022.0,63254659112.0,622304417687.0,3040487103572.0,2577108805851.0,123162296975.0,19424285946.0,63254659112.0,7666314692908.0,11222490978401.0,91063717060.0,15230573334466.0,195618535562.0,3697660122083.0,647647475827.0,3885097804170.0,1215860422464.0,
KLBF.JK,2018-12-31,140160919601.0,,2851611349015.0,14623457976061.0,671136820293.0,560236763844.0,18146206145369.0,468751221100.0,277512532571.0,14073109113567.0,305442033643.0,293279778022.0,81597641394.0,725569479317.0,3153327557478.0,2286167471594.0,131100220342.0,27102572574.0,81597641394.0,6252801150475.0,10648288386726.0,86106431228.0,14190017278438.0,178719216214.0,3373569270404.0,259831249648.0,3602941730299.0,1289897769454.0,
