emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,dividendsPaid,otherCashflowsFromInvestingActivities,repurchaseOfStock,issuanceOfStock,changeToOperatingActivities
ERAA.JK,2020-12-31,-7033963000.0,0.0,-375131621000.0,-1351466963000.0,-1301648676000.0,612004625000.0,1180124307000.0,4199245000.0,2852705359000.0,401516624000.0,58779222000.0,1835967330000.0,-303310409000.0,-219398741000.0,-26416375000.0,-8960935000.0,,
ERAA.JK,2019-12-31,-8016512000.0,0.0,-377007113000.0,-1697522112000.0,-1861393512000.0,295066452000.0,197122093000.0,4731953000.0,2430790765000.0,123432159000.0,-4371400000.0,1942582703000.0,-244958085000.0,-159500000000.0,-129249000000.0,-8960935000.0,,
ERAA.JK,2018-12-31,-2423500000.0,0.0,-398640137000.0,2411018438000.0,2618523738000.0,850089697000.0,-200399831000.0,7104579000.0,-2427388011000.0,89629157000.0,12045300000.0,-3492359230000.0,-169531905000.0,-110200000000.0,-219455073000.0,-8960935000.0,305660000000.0,
CMNP.JK,2021-12-31,-29914110000.0,0.0,-494684969000.0,-3617730458000.0,-3536533963000.0,737587843000.0,-2677905756000.0,4207240000.0,1349105936000.0,116624748000.0,80500000000.0,494893345000.0,-28659876000.0,,857675565000.0,,696495000.0,
CMNP.JK,2020-12-31,-233027152000.0,0.0,-86735821000.0,-903144162000.0,641639389000.0,448129359000.0,853478884000.0,-29952672000.0,328527988000.0,108213611000.0,154625000000.0,-227814982000.0,-26574497000.0,,1624364039000.0,,1390158551000.0,
CMNP.JK,2019-12-31,-233027152000.0,0.0,-2248378192000.0,1005489797000.0,1260755147000.0,758668998000.0,-571604184000.0,-27239773000.0,443258634000.0,122745519000.0,255265350000.0,-438155883000.0,-43087798000.0,,631171934000.0,,1390158551000.0,
CMNP.JK,2018-12-31,-65545200000.0,0.0,-1752114563482.0,1135456748805.0,1743899197995.0,755859306042.0,652092256287.0,10310599583.0,649997022191.0,188573095961.0,182192449190.0,-294435379812.0,-20573794207.0,,707483424029.0,,426250000000.0,
EDGE.JK,2021-12-31,,0.0,-433193000000.0,-2157000000.0,593817000000.0,123570000000.0,230125000000.0,,69501000000.0,45391000000.0,,-99493000000.0,-434257000000.0,,-383000000.0,,595974000000.0,
EDGE.JK,2020-12-31,,0.0,-157060000000.0,-2059000000.0,-118059000000.0,121777000000.0,-93074000000.0,,182045000000.0,21684000000.0,,38522000000.0,-202399000000.0,-116000000000.0,26097000000.0,,595974000000.0,
EDGE.JK,2019-12-31,1748795546.0,0.0,-36412523245.0,-2059000000.0,9879921.0,102292537178.0,98543924669.0,,134946567993.0,18048124550.0,9879921.0,14197852524.0,-37772867725.0,-116000000000.0,-462860938.0,,595974000000.0,
