emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,dividendsPaid,otherCashflowsFromInvestingActivities,repurchaseOfStock,issuanceOfStock,changeToOperatingActivities
MPRO.JK,2021-12-31,,0.0,-1627277000.0,18700000000.0,18700000000.0,-13851774000.0,6154380000.0,,-10918343000.0,688460000.0,,2244971000.0,-1796077000.0,,,,,
MPRO.JK,2020-12-31,,0.0,154942000.0,21100000000.0,21100000000.0,12800231000.0,12886675000.0,,-8368267000.0,719894000.0,,-21888392000.0,-22734000.0,,,,,
MPRO.JK,2019-12-31,,0.0,79088599000.0,-126370990000.0,-126370990000.0,50080892000.0,-290487926000.0,,-243205535000.0,890291000.0,,-294176718000.0,-60433000.0,,83941497000.0,,,
MPRO.JK,2018-12-31,,0.0,-256278829000.0,-425358976000.0,500987434000.0,-42206194000.0,174307881000.0,,-70400724000.0,903228000.0,,-29097758000.0,-2479908000.0,,83941497000.0,,926346410000.0,
FILM.JK,2021-12-31,,0.0,13513947206.0,-710138729.0,-103717401329.0,33670492951.0,-38403410382.0,,51800043740.0,32101635880.0,,-113177031535.0,-13895552794.0,-103007262600.0,26000000000.0,,,
FILM.JK,2020-12-31,1622132777.0,0.0,-12055667575.0,-128410329.0,-24576745229.0,-56959984824.0,-56895469757.0,,-20263056953.0,30265642188.0,,-87430183079.0,-19475739496.0,-103007262600.0,5260399832.0,-24448334900.0,,
FILM.JK,2019-12-31,-5000000000.0,0.0,-80054587421.0,1946190870.0,1946190870.0,60964618745.0,-73142372879.0,,4966023673.0,18699521110.0,,-168833255892.0,-69189434701.0,-103007262600.0,-6157915191.0,-24448334900.0,,
FILM.JK,2018-12-31,-5000000000.0,0.0,-298325725593.0,39859818064.0,534031518064.0,109049067647.0,233489125116.0,,-2216667355.0,13878012685.0,200000000.0,-125143747687.0,-101819225593.0,-103007262600.0,-6157915191.0,-24448334900.0,493971700000.0,
HERO.JK,2021-12-31,,0.0,-58051000000.0,902300000000.0,902300000000.0,-963526000000.0,181988000000.0,-579000000.0,-661682000000.0,780208000000.0,,-478364000000.0,-462598000000.0,,,,,
HERO.JK,2020-12-31,,0.0,-161619000000.0,250646000000.0,250646000000.0,-1214602000000.0,-181168000000.0,118000000.0,-270313000000.0,481210000000.0,,463079000000.0,-156481000000.0,,,,,
HERO.JK,2019-12-31,,0.0,-341883000000.0,250646000000.0,250646000000.0,-28216000000.0,-331187000000.0,-72000000.0,10768000000.0,218758000000.0,,-278626000000.0,-357408000000.0,,,,,
HERO.JK,2018-12-31,,0.0,-234103000000.0,250646000000.0,250646000000.0,-1250189000000.0,272701000000.0,-86000000.0,506890000000.0,439705000000.0,,1317374000000.0,-226235000000.0,,,,,
ESSA.JK,2021-12-31,,0.0,-1739130.0,-11860960.0,-83465125.0,13969192.0,7063740.0,,92267995.0,47132536.0,-71604165.0,31166267.0,-1837732.0,,,,,
ESSA.JK,2020-12-31,,0.0,-61162991.0,-53500494.0,-59212953.0,-19126417.0,-73511206.0,,46864738.0,47461452.0,-18693726.0,18529703.0,-5175728.0,,-56000000.0,,12981267.0,
ESSA.JK,2019-12-31,,0.0,51092672.0,-65313972.0,-96870310.0,2637947.0,41908081.0,,87685719.0,46996533.0,-31556338.0,38051239.0,-4916618.0,,56000000.0,,12981267.0,
ESSA.JK,2018-12-31,,0.0,-37847744.0,51356943.0,75288177.0,33904083.0,65565297.0,,28124864.0,19567393.0,-11139060.0,-25346612.0,-37867945.0,,56000000.0,,35070294.0,
ADMF.JK,2021-12-31,,0.0,-67852000000.0,-6075432000000.0,-6588432000000.0,1212700000000.0,-2589859000000.0,,4066425000000.0,159535000000.0,,2633526000000.0,-27166000000.0,-513000000000.0,,,,
ADMF.JK,2020-12-31,,0.0,-132291000000.0,-6161025000000.0,-7215525000000.0,1025573000000.0,1104917000000.0,,8452733000000.0,162006000000.0,,7211531000000.0,-50430000000.0,-1054500000000.0,,,,
ADMF.JK,2019-12-31,,0.0,-149358000000.0,1311117000000.0,403117000000.0,2108691000000.0,1433168000000.0,,1179409000000.0,59423000000.0,,-1024876000000.0,-79429000000.0,-908000000000.0,,,,
ADMF.JK,2018-12-31,,0.0,-145468000000.0,973627000000.0,269127000000.0,1815263000000.0,-532394000000.0,,-656053000000.0,60322000000.0,,-2564067000000.0,-103992000000.0,-704500000000.0,,,,
