emiten,tanggal,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,totalCashFromOperatingActivities,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,issuanceOfStock,investments,effectOfExchangeRate,changeToOperatingActivities,repurchaseOfStock
AMRT.JK,2021-12-31,0.0,-3659677000000.0,-2625344000000.0,-3278614000000.0,1950991000000.0,-607918000000.0,6335963000000.0,-267092000000.0,1228323000000.0,-1789250000000.0,3156649000000.0,-1709463000000.0,-386178000000.0,,-191316000000.0,,,
AMRT.JK,2020-12-31,0.0,-3830974000000.0,-1599391000000.0,-2749689000000.0,1061476000000.0,-20490000000.0,6560173000000.0,-344307000000.0,2604138000000.0,-1976833000000.0,2894559000000.0,-1716662000000.0,-805991000000.0,,-186933000000.0,,,
AMRT.JK,2019-12-31,0.0,-2689191000000.0,-381788000000.0,-892330000000.0,1112513000000.0,1827621000000.0,5409142000000.0,-400917000000.0,1615233000000.0,-1254403000000.0,1217119000000.0,-1469836000000.0,-109625000000.0,,-52987000000.0,,,
AMRT.JK,2018-12-31,0.0,-1886495000000.0,-2160973000000.0,-2932622000000.0,650138000000.0,1137528000000.0,5956645000000.0,-532053000000.0,2679852000000.0,-704650000000.0,1306112000000.0,-1133318000000.0,-239596000000.0,,-78569000000.0,,,
INKP.JK,2021-12-31,0.0,-400286000.0,-73028000.0,-91541000.0,527079000.0,188666000.0,678665000.0,,-128555000.0,-407909000.0,280141000.0,7615000.0,-18513000.0,,,1828000.0,,
INKP.JK,2020-12-31,0.0,-160697000.0,-249970000.0,-269865000.0,294053000.0,97026000.0,543884000.0,,-32623000.0,-162552000.0,282454000.0,1847000.0,-19895000.0,,,-16296000.0,,
INKP.JK,2019-12-31,0.0,54729000.0,-522609000.0,-561516000.0,274370000.0,17509000.0,524706000.0,,-52801000.0,-43172000.0,303137000.0,86395000.0,-38907000.0,,,-410000.0,,
INKP.JK,2018-12-31,0.0,-750682000.0,385910000.0,347911000.0,588127000.0,136153000.0,544527000.0,,-336000000.0,-372722000.0,292400000.0,-379071000.0,-37999000.0,,-3621000.0,-5603000.0,,
MASA.JK,2021-12-31,0.0,-35383327.0,-19825174.0,-21790903.0,60973929.0,5695988.0,62943823.0,-1965729.0,-27472405.0,-20432932.0,29442299.0,15382.0,,,,-73605.0,,
MASA.JK,2020-12-31,0.0,-19081405.0,-40218332.0,-50601365.0,35354299.0,-3194798.0,66489212.0,-4487099.0,1802544.0,-19248156.0,29332369.0,33478.0,-5895934.0,,,-1240.0,,
MASA.JK,2019-12-31,0.0,64127005.0,-22559889.0,-38122704.0,-11188992.0,-3477399.0,-29530520.0,-15562815.0,-44589232.0,-3505300.0,26247704.0,205247.0,-5895934.0,,,48820.0,,
MASA.JK,2018-12-31,0.0,-11933068.0,-11284112.0,-20613533.0,-46539610.0,-4211095.0,28362725.0,-9329421.0,45981149.0,-23089527.0,28921186.0,852120.0,-5895934.0,,10000000.0,-27219.0,,
DNET.JK,2021-12-31,0.0,711995000000.0,-540631000000.0,-401606000000.0,943114000000.0,262693000000.0,-47696000000.0,139025000000.0,-1300152000000.0,-462790000000.0,308638000000.0,657713000000.0,,,517468000000.0,,,
DNET.JK,2020-12-31,0.0,-753498000000.0,1083013000000.0,1082675000000.0,328828000000.0,19105000000.0,-310072000000.0,-338000000.0,-866154000000.0,-499526000000.0,225210000000.0,625834000000.0,,,-879353000000.0,,,
DNET.JK,2019-12-31,0.0,-343453478938.0,566001758823.0,691130568879.0,523050243931.0,-184029065577.0,-531706155518.0,125128810056.0,-1196142221514.0,-702187270756.0,138905992719.0,479897769318.0,,,-121150000000.0,,,
DNET.JK,2018-12-31,0.0,-3549044749804.0,3027683373388.0,3147683373388.0,289411094974.0,-695715509938.0,-294354133522.0,120000000000.0,-665521220188.0,-560953829837.0,79291852982.0,198717872369.0,,,-3186692497336.0,,,
INCO.JK,2021-12-31,0.0,-180234000.0,-1314000.0,-34517000.0,165797000.0,119645000.0,334636000.0,-75000.0,11237000.0,-180653000.0,157602000.0,,-33128000.0,,,-240000.0,,
INCO.JK,2020-12-31,0.0,-150837000.0,-1512000.0,-1676000.0,82819000.0,139647000.0,292377000.0,-164000.0,60508000.0,-152149000.0,149050000.0,,-33128000.0,,,-217000.0,,
INCO.JK,2019-12-31,0.0,-166104000.0,-38745000.0,-24391000.0,57400000.0,-52118000.0,137994000.0,14354000.0,-51950000.0,-166560000.0,132544000.0,,-33128000.0,,,383000.0,,
INCO.JK,2018-12-31,0.0,-83784000.0,-37500000.0,-40429000.0,60512000.0,79454000.0,204359000.0,-2929000.0,14917000.0,-83784000.0,128930000.0,,-33128000.0,,,-692000.0,,
