emiten,tanggal,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,totalCashFromOperatingActivities,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,issuanceOfStock,investments,effectOfExchangeRate,changeToOperatingActivities,repurchaseOfStock
DSSA.JK,2019-12-31,0.0,-133982027.0,157729909.0,19054406.0,50220771.0,103299906.0,217500063.0,-138675503.0,120057289.0,-47312468.0,46803741.0,18619289.0,,,-41211561.0,727464.0,,
DSSA.JK,2018-12-31,0.0,-374904255.0,305253215.0,203699125.0,89354319.0,-35449903.0,136441726.0,-101554090.0,930527.0,-33502549.0,45555135.0,-22367944.0,,,-130292702.0,-686499.0,,
ISAT.JK,2021-12-31,0.0,-1209157000000.0,1773298000000.0,-7764587000000.0,6750873000000.0,2006760000000.0,10971911000000.0,-39170000000.0,-5982985000000.0,-9395238000000.0,10057861000000.0,41671000000.0,-9498715000000.0,,221393000000.0,8593000000.0,,
ISAT.JK,2020-12-31,0.0,-6962803000000.0,-8155264000000.0,-8177490000000.0,-716719000000.0,-4098928000000.0,11047901000000.0,-22226000000.0,1753205000000.0,-7351586000000.0,9871768000000.0,51174000000.0,-9498715000000.0,,571680000000.0,-6536000000.0,,
ISAT.JK,2019-12-31,0.0,-8883065000000.0,3181895000000.0,3143622000000.0,1568991000000.0,4836133000000.0,10588453000000.0,-38273000000.0,-550364000000.0,-10582150000000.0,9488510000000.0,30375000000.0,-9498715000000.0,,46592000000.0,-12877000000.0,,
ISAT.JK,2018-12-31,0.0,-5451915000000.0,1101106000000.0,624810000000.0,-2403843000000.0,-629704000000.0,4161943000000.0,-79619000000.0,-1683247000000.0,-5458311000000.0,8179235000000.0,123435000000.0,-396677000000.0,,-83579000000.0,35458000000.0,,
PGAS.JK,2021-12-31,0.0,-118178339.0,-110180151.0,-133687716.0,303823865.0,324249175.0,582705258.0,,-142941749.0,-221900984.0,421823142.0,20056389.0,-23507565.0,,83666256.0,-6590028.0,,
PGAS.JK,2020-12-31,0.0,41041668.0,-244934803.0,-312509912.0,-264773584.0,138668029.0,416874630.0,,291784544.0,-282913481.0,389863670.0,80277281.0,-67575109.0,,243677868.0,-6738357.0,,
PGAS.JK,2019-12-31,0.0,-946176927.0,-59123792.0,-156048185.0,67584090.0,-274857957.0,817892001.0,448285.0,306235272.0,-240548520.0,444072639.0,-624197866.0,-97372678.0,,-81430541.0,9475154.0,,
PGAS.JK,2018-12-31,0.0,-724024599.0,45803848.0,-10607964.0,304991574.0,174807079.0,918971233.0,-1402905.0,84256696.0,-368152347.0,528552176.0,167922599.0,-55008907.0,,170172074.0,-9531591.0,,
EXCL.JK,2021-12-31,0.0,-6930963000000.0,-2756949000000.0,-5333962000000.0,1287807000000.0,-301202000000.0,11963257000000.0,-2238831000000.0,948294000000.0,-7292595000000.0,9723124000000.0,52208000000.0,-338182000000.0,,,466000000.0,,
EXCL.JK,2020-12-31,0.0,-5497947000000.0,-4842703000000.0,-7090575000000.0,371598000000.0,1362144000000.0,13949485000000.0,-1900403000000.0,3589777000000.0,-7766226000000.0,9953450000000.0,55205000000.0,-213024000000.0,,,1181000000.0,,-134445000000.0
EXCL.JK,2019-12-31,0.0,-8692413000000.0,-2171109000000.0,-3090754000000.0,712579000000.0,556330000000.0,12357027000000.0,-919645000000.0,4281253000000.0,-9096137000000.0,7330432000000.0,48287000000.0,-213024000000.0,,,-17530000000.0,,-134445000000.0
