emiten,tanggal,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
STTP.JK,2021-12-31,,,765188720115,31230575695,617506021901,398541802228,1027254266040,624144508816,624144508816,4567954996.0,-5649763536,,,,147614953252,4241856914012,3617712405196,3214602647972,141044211299,,617573766863,617506021901
STTP.JK,2020-12-31,,,773607195121,31087830733,628562854883,317934423882,1065547152371,730158813748,730158813748,17453914741.0,-22100278926,,,,144978315572,3846300254825,3116141441077,2780753102454,43448381373,,628628879549,628562854883
STTP.JK,2019-12-31,,,607043293422,30971806067,482621766979,329961698056,935683770209,576157543452,576157543452,29564528701.0,-30727064628,,,,124452770582,3512509168853,2936351625401,2576825398644,30885749970,,482590522840,482621766979
STTP.JK,2018-12-31,,,324694650175,15822549429,255195841882,276219353482,610986830640,317203965164,317203965164,17563511994.0,-54067624513,,,,69605764156,2826957323397,2509753358233,2215970492757,7490685011,,255088886019,255195841882
LPKR.JK,2021-12-31,,,-1108251000000,3734030000000,-1602894000000,4198483000000,5207591000000,794812000000,794812000000,214296000000.0,-2318307000000,,,,514932000000,16138531000000,15343719000000,10930940000000,-1903063000000,,-1623183000000,-1602894000000
LPKR.JK,2020-12-31,,,-9310773000000,4096176000000,-8891100000000,3853993000000,667261000000,-3376002000000,-3376002000000,189270000000.0,-1843417000000,,,,326447000000,11810955000000,15186957000000,11143694000000,-5934771000000,,-9637220000000,-8891100000000
LPKR.JK,2019-12-31,,,-1665165000000,5601322000000,-1983299000000,3863332000000,3869949000000,-1444888000000,-1444888000000,1451505000000.0,-893772000000,,,,396253000000,12177173000000,13622061000000,8307224000000,-220277000000,,-2061418000000,-1983299000000
LPKR.JK,2018-12-31,,,2060165000000,7009159000000,719977000000,3432638000000,4719124000000,478841000000,478841000000,807645000000.0,-547237000000,,,,397480000000,11275019000000,10796178000000,6555895000000,1581324000000,,1662685000000,719977000000
MTDL.JK,2021-12-31,,,983477000000,1159546000000,508882000000,537577000000,1506149000000,947663000000,947663000000,,-946000000,,,,221643000000,18500587000000,17552924000000,16994438000000,35814000000,,761834000000,508882000000
MTDL.JK,2020-12-31,,,703330000000,1079792000000,364934000000,529760000000,1260867000000,712205000000,712205000000,,-4830000000,,,,161659000000,14021687000000,13309482000000,12760820000000,-8875000000,,541671000000,364934000000
MTDL.JK,2019-12-31,,,716958000000,944001000000,357071000000,436138000000,1200666000000,707078000000,707078000000,27930000000.0,-9434000000,,,,181848000000,15069692000000,14362614000000,13869026000000,9880000000,,535110000000,357071000000
MTDL.JK,2018-12-31,,,579270000000,795685000000,288044000000,374852000000,1007735000000,578194000000,578194000000,28806000000.0,-19190000000,,,,153186000000,12713412000000,12135218000000,11705677000000,1076000000,,426084000000,288044000000
TOBA.JK,2021-12-31,,,86472233,69325041,48081894,20052592,77798004,51694413,51694413,6050999.0,-25426426,,,,20864826,462666313,410971900,384868309,34777820,,65607407,48081894
TOBA.JK,2020-12-31,,,42082914,56837121,24563977,20101948,35722170,15060286,15060286,559936.0,-24007529,,,,6279048,331932404,316872118,296210234,27022628,,35803866,24563977
TOBA.JK,2019-12-31,,,62869168,54246406,26549065,24610504,91756172,69729317,69729317,-2583649.0,-22138896,,,,19123468,525524499,455795182,433768327,-6860149,,43745700,26549065
TOBA.JK,2018-12-31,,,97281622,32473457,37785670,32566959,124142272,86382900,86382900,5192413.0,-9665328,,,,29191826,438444319,352061419,314302047,10898722,,68089796,37785670
SOHO.JK,2021-12-31,21964000000,,691157000000,612000000,550176000000,867498000000,1546902000000,651816000000,651816000000,5624000000.0,-2333000000,,,,140066000000,7076164000000,6424348000000,5529262000000,39341000000,,551091000000,550176000000
SOHO.JK,2020-12-31,16900000000,,249674000000,1666000000,172108000000,1034383000000,1323228000000,239893000000,239893000000,32052000000.0,-16121000000,,,,77474000000,6163939000000,5924046000000,4840711000000,9781000000,,172200000000,172108000000
SOHO.JK,2019-12-31,14723000000,,192549000000,1587000000,118457000000,716750000000,992965000000,227218000000,227218000000,34274000000.0,-58629000000,,,,73847000000,5048301000000,4821083000000,4055336000000,-34669000000,,118702000000,118457000000
SOHO.JK,2018-12-31,13354000000,,90449000000,1350000000,49392000000,658174000000,874090000000,123026000000,123026000000,79536000000.0,-55296000000,,,,40995000000,4563185000000,4440159000000,3689095000000,-32577000000,,49454000000,49392000000
