emiten,tanggal,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
SMCB.JK,2021-12-31,,,1088306000000.0,,720933000000,1352224000000,2847734000000,1494608000000,1494608000000,902000000,-454856000000,,,,367373000000,11218181000000,9723573000000,8370447000000,-406302000000,,720933000000.0,720933000000.0
SMCB.JK,2020-12-31,,,977898000000.0,,650988000000,1360280000000,2981300000000,1682430000000,1682430000000,-61410000000,-673924000000,,,,326910000000,10108220000000,8425790000000,7126920000000,-704532000000,,650988000000.0,650988000000.0
SMCB.JK,2019-12-31,,,407610000000.0,,499052000000,1702734000000,2880548000000,1171960000000,1171960000000,5854000000,-842366000000,,,,-91442000000,11057843000000,9885883000000,8177295000000,-764350000000,,499052000000.0,499052000000.0
SMCB.JK,2018-12-31,,,-684197000000.0,,-827985000000,1631935000000,1640076000000,42586000000,42586000000,-34445000000,-728795000000,,,,143788000000,10377729000000,10335143000000,8737653000000,-726783000000,,-827985000000.0,-827985000000.0
NISP.JK,2021-12-31,,,3203792000000.0,198000000,2519574000000,4023855000000,7418540000000,0,3204271000000,190414000000,,,,,684173000000,7418540000000,4214269000000,0,-479000000,,2519619000000.0,2519574000000.0
NISP.JK,2020-12-31,,,2784855000000.0,103000000,2101670000000,3937513000000,6994214000000,0,2868450000000,188251000000,,,,,683184000000,6994214000000,4125764000000,0,-83595000000,,2101671000000.0,2101670000000.0
NISP.JK,2019-12-31,,,3891439000000.0,102000000,2939241000000,3573291000000,7691815000000,0,3922897000000,195627000000,,,,,952196000000,7691815000000,3768918000000,0,-31458000000,,2939243000000.0,2939241000000.0
NISP.JK,2018-12-31,,,3485834000000.0,102000000,2638064000000,3331611000000,7000191000000,0,3487433000000,181147000000,,,,,847770000000,7000191000000,3512758000000,0,-1599000000,,2638064000000.0,2638064000000.0
BBSI.JK,2021-12-31,,,84636012510.0,,65663254436,21846850951,106510007022,0,84446538866,216617205,,,,,18972758074,106837240959,22390702093,327233937,189473644,,65663254436.0,65663254436.0
BBSI.JK,2020-12-31,,,45116026336.0,,35175588135,19011890246,64546683519,0,45317781303,217011970,,,,,9940438201,64693977162,19376195859,147293643,-201754967,,35175588135.0,35175588135.0
BBSI.JK,2019-12-31,,,29696110534.0,,22261801330,20584157903,50140685071,0,29369582001,186945167,,,,,7434309204,50246894679,20877312678,106209608,326528533,,22261801330.0,22261801330.0
BBSI.JK,2018-12-31,,,34240485358.0,,25643697802,19306584350,53694678130,0,34220279636,167814144,,,,,8596787556,53841033813,19620754177,146355683,20205722,,25643697802.0,25643697802.0
SILO.JK,2021-12-31,,,972865000000.0,81775000000,674117000000,2218108000000,3416670000000,1095471000000,1095471000000,103091000000,-37916000000,,,,272681000000,9381891000000,8286420000000,5965221000000,-122606000000,,700184000000.0,674117000000.0
SILO.JK,2020-12-31,,,310650000000.0,55608000000,116163000000,1677442000000,2169625000000,400978000000,400978000000,91205000000,-71085000000,,,,185400000000,7110124000000,6709146000000,4940499000000,-90328000000,,125250000000.0,116163000000.0
SILO.JK,2019-12-31,,,-149536000000.0,46405000000,-338772000000,1735371000000,2053153000000,-79842000000,-79842000000,397624000000,-27538000000,,,,183462000000,7017919000000,7097761000000,4964766000000,-69694000000,,-332998000000.0,-338772000000.0
SILO.JK,2018-12-31,,,166156000000.0,30181000000,16182000000,1580488000000,1879004000000,210553000000,210553000000,87963000000,-21755000000,,,,139763000000,5964650000000,5754097000000,4085646000000,-44397000000,,26393000000.0,16182000000.0
KAEF.JK,2021-12-31,41348200000,,392883409000.0,92229247000,302273634000,2843470633000,4046182805000,969247100000,969247100000,-39660301000,-606813011000,,,,102994620000,12857626593000,11888379493000,8811443788000,-576363691000,,289888789000.0,302273634000.0
KAEF.JK,2020-12-31,15527142000,,73359098000.0,112275208000,17638834000,2791531697000,3329802776000,663996693000,663996693000,-291419328000,-596377203000,,,,52933342000,10006173023000,9342176330000,6676370247000,-590637595000,,20425756000.0,17638834000.0
KAEF.JK,2019-12-31,15323732000,,38315488000.0,171032898000,-12724002000,2734943608000,3154519225000,410180607000,410180607000,-107907635000,-497969909000,,,,22425049000,9400535476000,8990354869000,6246016251000,-371865119000,,15890439000.0,-12724002000.0
KAEF.JK,2018-12-31,14416791000,,755296048000.0,154465387000,491565938000,2189627664000,3058671160000,868308622000,868308622000,-84965264000,-227219753000,,,,220210725000,8459247287000,7590938665000,5400576127000,-113012574000,,535085323000.0,491565938000.0
IMPC.JK,2021-12-31,,,277985398688.0,211630112088,210038447571,462013870544,789538014449,318720157005,318720157005,8803986900,-49812526117,,,,71396421393,2227367211794,1908647054789,1437829197345,-40734758317,,206588977295.0,210038447571.0
IMPC.JK,2020-12-31,,,177448910900.0,218530635432,125060624062,400774169390,637308872556,226424653645,226424653645,10110049521,-66391570721,,,,61643586538,1797514877242,1571090223597,1160206004686,-48975742745,,115805324362.0,125060624062.0
IMPC.JK,2019-12-31,,,135372268999.0,230478196271,103701431423,271017141569,484755727745,206087745870,206087745870,7650840306,-70965395209,,,,42227068960,1495759701262,1289671955392,1011003973517,-70715476871,,93145200039.0,103701431423.0
IMPC.JK,2018-12-31,,,119392319830.0,256415018265,86440795418,248887727605,401253606938,153309441314,153309441314,-943561981,-72272544025,,,,13868390666,1395298815177,1241989373863,994045208239,-33917121484,,105523929164.0,86440795418.0
BJBR.JK,2021-12-31,,,2587582000000.0,47659000000,2031858000000,5518423000000,8669432000000,0,2598615000000,552394000000,,,,,568928000000,8934495000000,6335880000000,265063000000,-11033000000,,2018654000000.0,2031858000000.0
BJBR.JK,2020-12-31,,,2168028000000.0,46276000000,1687218000000,4993541000000,7557903000000,0,2212126000000,352236000000,,,,,478032000000,7813187000000,5601061000000,255284000000,-44098000000,,1689996000000.0,1687218000000.0
BJBR.JK,2019-12-31,,,1977962000000.0,49789000000,1558651000000,4234756000000,6570137000000,0,2059493000000,275888000000,,,,,413470000000,6775372000000,4715879000000,205235000000,-81531000000,,1564492000000.0,1558651000000.0
