emiten,tanggal,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
AGRO.JK,2021-12-31,,,-3303131348000,,-3045701407000,383224992000,-2907512014000,0,-3292714558000,1977552000,,,,,-257429941000,-2900117934000,392596624000,7394080000,-10416790000,,-3045701407000,-3045701407000
AGRO.JK,2020-12-31,,,64071757000,,31260682000,306854711000,367555336000,0,59165133000,1535492000,,,,,32811075000,373476009000,314310876000,5920673000,4906624000,,31260682000,31260682000
AGRO.JK,2019-12-31,,,74197988000,,51061421000,301746640000,377892431000,0,72113332000,4032459000,,,,,23136567000,383559916000,311446584000,5667485000,2084656000,,51061421000,51061421000
AGRO.JK,2018-12-31,,,292509384000,,204212623000,260691251000,555772383000,0,291812991000,3268141000,,,,,88296761000,560796207000,268983216000,5023824000,696393000,,204212623000,204212623000
BANK.JK,2021-12-31,,,-121275000000,,-121275000000,126421000000,18704000000,0,-122895000000,15178000000,,,,,0,33424000000,156319000000,14720000000,1620000000,,-121275000000,-121275000000
BANK.JK,2020-12-31,,,44868000000,,44868000000,36190000000,89146000000,0,46909000000,6047000000,,,,,0,96845000000,49936000000,7699000000,-2041000000,,44868000000,44868000000
BANK.JK,2019-12-31,,,76974000000,,77304000000,40601000000,50186000000,0,8556000000,1029000000,,,,,-330000000,56370000000,47814000000,6184000000,68418000000,,77304000000,77304000000
BANK.JK,2018-12-31,,,-64218000000,,-64720000000,62446000000,-24339000000,0,-88265000000,1480000000,,,,,502000000,-21969000000,66296000000,2370000000,24047000000,,-64720000000,-64720000000
JSMR.JK,2021-12-31,,,2072453000000,4894464000000,1615281000000,1318888000000,6975223000000,4792649000000,4792649000000,863686000000,-4469769000000,,,,1201217000000,15169552000000,10376903000000,8194329000000,-2720196000000,,871236000000,1615281000000
JSMR.JK,2020-12-31,,,696451000000,5701126000000,501047000000,1150103000000,5779851000000,3998890000000,3998890000000,630858000000,-3610284000000,,,,738080000000,13704021000000,9705131000000,7924170000000,-3302439000000,,-41629000000,501047000000
JSMR.JK,2019-12-31,,,3097603000000,4503057000000,2207117000000,1361403000000,6959348000000,4370786000000,4370786000000,1227159000000,-2404830000000,,,,1023715000000,26345260000000,21974474000000,19385912000000,-1273183000000,,2073888000000,2207117000000
JSMR.JK,2018-12-31,,,3210309000000,3290481000000,2202602000000,1188959000000,6317922000000,4256653000000,4256653000000,872310000000,-1750473000000,,,,1173816000000,36974075000000,32717422000000,30656153000000,-1046344000000,,2036493000000,2202602000000
CASA.JK,2021-12-31,,,60643000000,1386721000000,19405000000,999004000000,2474212000000,1475208000000,1475208000000,,-1372118000000,,,,17661000000,15614718000000,14139510000000,13140506000000,-1414565000000,,42982000000,19405000000
CASA.JK,2020-12-31,,,127104000000,1215590000000,62874000000,891272000000,2150026000000,1258754000000,1258754000000,,-1103154000000,,,,21703000000,11862658000000,10603904000000,9712632000000,-1131650000000,,105401000000,62874000000
CASA.JK,2019-12-31,,,23786000000,1034937000000,61175000000,448966000000,1073048000000,624082000000,624082000000,,-583877000000,,,,9015000000,12225316000000,11601234000000,11152268000000,-600296000000,,14771000000,61175000000
CASA.JK,2018-12-31,,,127887000000,1722000000,124406000000,135782000000,270142000000,134360000000,134360000000,,-42000000,,,,3483000000,8224317000000,8089957000000,7954175000000,-6473000000,,124404000000,124406000000
SIDO.JK,2021-12-31,,,1613231000000,7000000,1260898000000,726004000000,2286032000000,1581199000000,1581199000000,-21171000000,-739000000,,,,352333000000,4020980000000,2439781000000,1734948000000,32032000000,,1260898000000,1260898000000
SIDO.JK,2020-12-31,,,1199548000000,7000000,934016000000,692989000000,1838783000000,1151991000000,1151991000000,-6197000000,-415000000,,,,265532000000,3335411000000,2183420000000,1496628000000,47557000000,,934016000000,934016000000
SIDO.JK,2019-12-31,,,1073835000000,7000000,807689000000,663017000000,1680564000000,1031036000000,1031036000000,-13489000000,-18000000,,,,266146000000,3067434000000,2036398000000,1386870000000,42799000000,,807689000000,807689000000
SIDO.JK,2018-12-31,,,867837000000,7000000,663849000000,616756000000,1424391000000,816300000000,816300000000,-8665000000,-30000000,,,,203988000000,2763292000000,1946992000000,1338901000000,51537000000,,663849000000,663849000000
BTPS.JK,2021-12-31,,,1877473000000,200000000,1465005000000,1659005000000,3576427000000,0,1883135000000,34287000000,,,,,412468000000,3576427000000,1693292000000,0,-5662000000,,1465005000000,1465005000000
BTPS.JK,2020-12-31,,,1124296000000,200000000,854614000000,1550622000000,2717577000000,0,1125545000000,41410000000,,,,,269682000000,2717577000000,1592032000000,0,-1249000000,,854614000000,854614000000
