emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,otherCashflowsFromInvestingActivities,issuanceOfStock
BFIN.JK,2021-12-31,,0.0,-108156000000.0,-506205000000.0,-879824000000.0,,1131293000000.0,-445509000000.0,,542471000000.0,113784000000.0,-374109000000.0,490000000.0,-702606000000.0,-99446000000.0,,,
BFIN.JK,2020-12-31,,0.0,-84297000000.0,-3727769000000.0,-3907342000000.0,,701595000000.0,754659000000.0,,4746298000000.0,112789000000.0,-179573000000.0,490000000.0,3931914000000.0,-83622000000.0,,,
BFIN.JK,2019-12-31,,0.0,-88683000000.0,-473227000000.0,-1206476000000.0,,711685000000.0,-95215000000.0,,1199944000000.0,82206000000.0,-733255000000.0,6000000.0,406053000000.0,-104877000000.0,,,
BFIN.JK,2018-12-31,,0.0,-158350000000.0,1294482000000.0,1055055000000.0,,1467794000000.0,530044000000.0,,-366661000000.0,74607000000.0,-239430000000.0,3000000.0,-1909062000000.0,-158519000000.0,,,
SUPR.JK,2021-12-31,,0.0,65365000000.0,-961808000000.0,-1275647000000.0,,-68954000000.0,356239000000.0,-784000000.0,1567305000000.0,468319000000.0,,-313839000000.0,1167940000000.0,-394795000000.0,,,
SUPR.JK,2020-12-31,,0.0,-414341000000.0,-518629000000.0,-1211489000000.0,,189650000000.0,-124358000000.0,-976000000.0,1502448000000.0,607506000000.0,,-692860000000.0,705292000000.0,-414618000000.0,,,
SUPR.JK,2019-12-31,,0.0,-534308000000.0,-323188000000.0,-1128748000000.0,,228382000000.0,214489000000.0,576000000.0,1876969000000.0,193390000000.0,,-805560000000.0,1256394000000.0,-304037000000.0,,-223391000000.0,
SUPR.JK,2018-12-31,,0.0,-374824000000.0,-652027000000.0,-1385283000000.0,,-1223843000000.0,-133104000000.0,-10049000000.0,1637052000000.0,190586000000.0,,-733256000000.0,2670309000000.0,-164454000000.0,,-210370000000.0,
CTRA.JK,2021-12-31,-405396000000.0,0.0,-1100005000000.0,-466064000000.0,-678327000000.0,299509000000.0,1735329000000.0,1885901000000.0,2186000000.0,3647331000000.0,309063000000.0,-157553000000.0,-54710000000.0,1303430000000.0,-112630000000.0,,,
CTRA.JK,2020-12-31,-49576000000.0,0.0,-838435000000.0,769594000000.0,658298000000.0,52630000000.0,1320754000000.0,1037762000000.0,4620000000.0,1213679000000.0,299067000000.0,-148286000000.0,36990000000.0,-458772000000.0,-118933000000.0,,,
CTRA.JK,2019-12-31,352738000000.0,0.0,-581910000000.0,774791000000.0,603549000000.0,-37517000000.0,1157959000000.0,994825000000.0,-6640000000.0,979826000000.0,291679000000.0,-185357000000.0,14115000000.0,-432295000000.0,-149450000000.0,,146866000000.0,
CTRA.JK,2018-12-31,-158835000000.0,0.0,-1694312000000.0,740667000000.0,653258000000.0,-207421000000.0,1185478000000.0,4034000000.0,1527000000.0,1043561000000.0,315922000000.0,-176089000000.0,88680000000.0,-250418000000.0,-167709000000.0,,-145688000000.0,
BSIM.JK,2021-12-31,,0.0,-114928000000.0,-79966000000.0,9060309000000.0,-1129500000000.0,127748000000.0,9136474000000.0,85322000000.0,105771000000.0,398797000000.0,,7731300000000.0,728579000000.0,-115564000000.0,,,1408975000000.0
BSIM.JK,2020-12-31,,0.0,-242578000000.0,-96901000000.0,7473862000000.0,-7134377000000.0,118522000000.0,2103132000000.0,26032000000.0,-5154184000000.0,465605000000.0,,7270763000000.0,1378406000000.0,-242957000000.0,,,300000000000.0
BSIM.JK,2019-12-31,,0.0,-239975000000.0,-96901000000.0,5381227000000.0,-8215061000000.0,6752000000.0,-506526000000.0,-54410000000.0,-5593368000000.0,391164000000.0,,4381227000000.0,2228349000000.0,-225208000000.0,,,1000000000000.0
BSIM.JK,2018-12-31,,0.0,-187899000000.0,-96901000000.0,465223000000.0,-2497053000000.0,50472000000.0,-1100410000000.0,37746000000.0,-1415480000000.0,204393000000.0,,465223000000.0,812132000000.0,-184229000000.0,,,1000000000000.0
AKRA.JK,2021-12-31,,0.0,-208357987000.0,-1268137984000.0,-1683257211000.0,,1111613585000.0,1051128778000.0,-1813467000.0,2944557443000.0,404717270000.0,-532903579000.0,117784352000.0,1428226588000.0,-241758587000.0,,,
AKRA.JK,2020-12-31,24952485000.0,0.0,-139352627000.0,-756718289000.0,-1239093498000.0,,924918465000.0,-311417251000.0,55897000.0,1066972977000.0,380595689000.0,-395041207000.0,30737862000.0,-238541177000.0,-341016662000.0,-118071864000.0,,
AKRA.JK,2019-12-31,266586000.0,0.0,-779297473000.0,387416348000.0,-128832144000.0,,717205137000.0,-310302656000.0,-62469378000.0,660296339000.0,326886054000.0,-722645086000.0,206396594000.0,-383794852000.0,-807476770000.0,-118071864000.0,14426397000.0,
AKRA.JK,2018-12-31,132295650000.0,0.0,385813753000.0,1019463442000.0,350753571000.0,,1644834070000.0,399854524000.0,112151230000.0,-448864030000.0,291533021000.0,-883232882000.0,169562615000.0,-2385231121000.0,-1222119294000.0,-118071864000.0,1449752150000.0,44960396000.0
CARE.JK,2020-12-31,20000000000.0,0.0,-502268123814.0,-34181262959.0,970495601854.0,,14312842564.0,518530272130.0,,50302794090.0,12119215352.0,,-25323135187.0,23870736174.0,-522268123814.0,,,1030000000000.0
CARE.JK,2019-12-31,-220000000000.0,0.0,-681054951412.0,-367057919542.0,703045584923.0,,-24205411416.0,-985929060.0,,-22976562571.0,8110666282.0,,-1254646495535.0,-6881817437.0,-363310377411.0,,,2324750000000.0
CARE.JK,2018-12-31,-220000000000.0,0.0,-225978537009.0,251643701109.0,251643701109.0,,-27487240064.0,-3360363573.0,,-29025527673.0,7099700588.0,,-1254646495535.0,-8637988197.0,-8223740009.0,,,2324750000000.0
CARE.JK,2017-12-31,-220000000000.0,0.0,-41384972377.0,66973157338.0,66973157338.0,,-11519144124.0,8485736866.0,,-17102448095.0,2257061242.0,,-1254646495535.0,-7840365213.0,-4325647235.0,,,2324750000000.0
